Compound Id	40-h Tetrahymena toxicity as IGC50
1	0.33
2	0.97
3	0.38
4	1.2
5	4.93
6	39
7	10
8	1.6
9	4.67
10	0.23
11	0.053
12	0.16
13	0.27
14	8.71
15	0.095
16	0.17
17	0.17
18	0.005
19	0.006
20	0.0025
21	0.0042
22	0.054
23	0.0015
24	0.0011
25	0.0041
26	0.0012
27	0.0021
28	0.088
29	0.011
30	0.13
31	0.0049
32	0.066
33	0.0039
34	0.14
35	0.0084
36	0.0022
37	0.014
38	0.03
39	0.92
40	0.014
41	0.023
42	0.014
43	0.54
44	0.066
45	0.095
46	0.088
47	0.2
48	0.17
49	0.7
50	0.99
51	0.75
52	2.25
53	3.84
54	1.1
55	0.0061
56	0.0073
57	0.24
58	0.0034
59	0.0059
60	0.14
