Compound Id	Molecular Weight
1	216.18
2	216.18
3	186.15
4	260.3
5	254.27
6	360.81
7	645.28
8	318.85
9	284.41
10	252.3
11	973.64
12	464.84
13	268.26
14	330.73
15	160.16
16	179.21
17	178.22
18	232.23
19	319.32
20	356.04
21	566.66
22	361.35
23	334.38
24	137.13
25	505.43
26	155.15
27	266.39
28	308.29
29	263.24
30	392.38
31	401.41
32	76.12
33	331.33
34	132.15
35	444.42
36	351
37	351
38	250.32
39	290.38
40	240.33
41	406.89
42	279.28
43	370.38
44	542.62
45	538.63
46	484.54
47	273.29
48	418.49
49	432.88
50	464.56
51	391.81
52	444.42
53	273.28
