Compound Id	HOMO-LUMO gap
1	8.09
2	8.02
3	8.2
4	8.73
5	9.34
6	8.85
7	8.43
8	7.26
9	7.64
10	7.36
11	6.83
12	8.28
13	8.85
14	8.52
15	8.39
16	7.53
17	7.28
18	8.46
19	8.1
20	8.17
21	5.92
22	7.87
23	9.19
24	8.72
25	8.66
26	9.88
27	10.56
28	9.07
29	7.1
30	7.81
31	7.98
32	8.83
33	7.91
34	8.68
35	8.54
36	8.01
37	7.71
38	8.9
39	8.31
40	8.89
41	8.74
42	7.43
43	7.21
44	6.96
45	6.91
46	6.98
47	7.1
48	7.02
49	7.17
50	7.27
51	8.13
52	8.47
53	9.31
