Compound Id	Viscosity as logVis
[Emim][TF2N]_23	1.879
[Emim][TF2N]_24	1.997
[Prmim][TF2N]_1	1.751
[Bmim][TF2N]_1	0.979
[Bmim][TF2N]_2	1.041
[Bmim][TF2N]_3	1.029
[Bmim][TF2N]_4	1.079
[Bmim][TF2N]_5	1.061
[Bmim][TF2N]_6	1.19
[Bmim][TF2N]_7	1.176
[Bmim][TF2N]_8	1.305
[Bmim][TF2N]_9	1.301
[Bmim][TF2N]_10	1.455
[Bmim][TF2N]_11	1.439
[Bmim][TF2N]_12	1.59
[Bmim][TF2N]_13	1.602
[Bmim][TF2N]_14	1.659
[Bmim][TF2N]_15	1.698
[Bmim][TF2N]_16	1.839
[Bmim][TF2N]_17	1.716
[Bmim][TF2N]_18	1.699
[Bmim][TF2N]_19	1.805
[Bmim][TF2N]_20	1.799
[Bmim][TF2N]_21	1.803
[Bmim][TF2N]_22	1.912
[Bmim][TF2N]_23	2.026
[Bmim][TF2N]_24	2.033
[Bmim][TF2N]_25	2.147
[Bmim][TF2N]_26	2.282
[Hmim][TF2N]_1	0.484
[Hmim][TF2N]_2	0.716
[Hmim][TF2N]_3	0.875
[Hmim][TF2N]_4	0.921
[Hmim][TF2N]_5	0.96
[Hmim][TF2N]_6	1.025
[Hmim][TF2N]_7	1.057
[Hmim][TF2N]_8	1.137
[Hmim][TF2N]_9	1.164
[Hmim][TF2N]_10	1.176
[Hmim][TF2N]_11	1.253
[Hmim][TF2N]_12	1.29
[Hmim][TF2N]_13	1.386
[Hmim][TF2N]_14	1.419
[Hmim][TF2N]_15	1.534
[Hmim][TF2N]_16	1.576
[Hmim][TF2N]_17	1.571
[Hmim][TF2N]_18	1.713
[Hmim][TF2N]_19	1.749
[Hmim][TF2N]_20	1.847
[Hmim][TF2N]_21	1.907
[Hmim][TF2N]_22	1.954
[Hmim][TF2N]_23	1.957
[Hmim][TF2N]_24	2.186
[Hmim][TF2N]_25	2.208
[Hmim][TF2N]_26	2.317
[Hmim][TF2N]_27	2.464
[Hmim][TF2N]_28	2.621
[Hmim][TF2N]_29	2.787
[Hmim][TF2N]_30	2.974
[Omim][TF2N]_1	1.11
[Omim][TF2N]_2	1.104
[Omim][TF2N]_3	1.223
[Omim][TF2N]_4	1.223
[Omim][TF2N]_5	1.351
[Omim][TF2N]_6	1.356
[Omim][TF2N]_7	1.496
[Omim][TF2N]_8	1.502
[Omim][TF2N]_9	1.661
[Omim][TF2N]_10	1.667
[Omim][TF2N]_11	1.852
[Omim][TF2N]_12	1.854
[Omim][TF2N]_13	1.978
[Omim][TF2N]_14	1.954
[Omim][TF2N]_15	1.94
[Omim][TF2N]_16	2.061
[Omim][TF2N]_17	2.338
[Omim][TF2N]_18	2.301
[Dmim][TF2N]_1	1.712
[Dmim][TF2N]_2	1.862
[Dmim][TF2N]_3	1.993
[Dmim][TF2N]_4	2.08
[Dmim][TF2N]_5	2.152
[Dmim][TF2N]_6	2.093
[Emim][DCA]_1	1.057
[Emim][DCA]_2	1.188
[Emim][DCA]_3	1.297
[Emim][DCA]_4	1.207
[Emim][DCA]_5	1.204
[Emim][DCA]_6	1.23
[Emim][DCA]_7	1.358
[Emim][DCA]_8	1.529
[Emim][DCA]_9	1.717
[Bmim][DCA]_1	1.513
[Bmim][DCA]_2	1.459
[Prmim][I]_1	3.186
[Prmim][I]_2	3.01
[Prmim][I]_3	2.843
[Prmim][I]_4	2.544
[Prmim][I]_5	2.285
[Prmim][I]_6	2.057
[Prmim][I]_7	1.692
[Bmim][I]_1	2.99
[Hmim][I]_1	3.205
[IBmim][I]_1	3.047
[Bmim][MSO4]_1	1.477
[Bmim][MSO4]_2	1.626
[Bmim][MSO4]_3	1.794
