"Smiles","CSCL-ISHL—S9_AMES","CSCL-ISHL+S9_AMES","CSCL-ISHLoverall_AMES","Kirkland et al 2005 & 2011 [1, 2]*_AMES","US NTP_AMES","ECHA_AMES","Kirkland et al 2005 & 2011 [1, 2]*MLA_invitro","US NTP_MLA_invitro","SCCS_MLA_invitro","CosE_MLA_invitro","ECHA_MLA_invitro","Kirkland et al 2005 & 2011 [1, 2]*_MN_invitro","SCCS_MN_invitro","CosE_MN_invitro","CSCL-ISHL—S9_CA_invitro","CSCL-ISHL+S9_CA_invitro","Kirkland et al 2005 & 2011 [1, 2]*_CA_invitro","US NTP_CA_invitro","EFSA_CA_invitro","SCCS_CA_invitro","CosE_CA_invitro","ECHA_CA_invitro","CSCL-ISHL_MN_invivo","Kirkland et al 2005 & 2011 [1, 2]*_MN_invivo","US NTP_MN_invivo","EFSA_MN_invivo","SCCS_MN_invivo","CosE_MN_invivo","ECHA_MN_invivo","Kirkland et al 2005 & 2011 [1, 2]*_CA_invivo","US NTP_CA_invivo","Kirkland et al 2005 & 2011 [1, 2]*_UDS_invivo","Kirkland et al 2005 & 2011 [1, 2]*-transgenic","Kirkland et al 2005 & 2011 [1, 2]*_DNAdmg_invivo","Kirkland et al 2005 & 2011 [1, 2]*_Carc","NTP_Carc","EFSA_Carc","ECHA_Carc"
"Cc1cccn2c1nc3ccc(N)nc23",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,
"[H+].[Br-].Cn1c(N)nc2c1ccc3ncccc23",,,,1,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,1,1,1,,,
"Cn1c(N)nc2ncc(cc12)c3ccccc3",,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,0,,1,1,,1,,,
"Cc1nc(N)cc2[nH]c3ccccc3c12",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,
"Nc1ccc(cc1)c2ccc(cc2)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Nc1scc(n1)c2oc(cc2)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Nc1cc(ccc1O)[N+]([O-])=O",,,,1,1,,1,1,,,,,,,,,1,1,,,,,,0,0,,,,,,,,,,1,1,,
"Nc1ccc(cc1O)[N+]([O-])=O",,,,1,1,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"Nc1ccc(O)c(c1)[N+]([O-])=O",,,,1,1,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"Nc1ccc(O)cc1[N+]([O-])=O",,,,,,,,,0,0,,,,1,,,,,,1,1,,,,,,0,0,,,,,,,,,,
"Nc1ccc(cc1)/C=C/c2ccc(cc2)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Nc1sc(cn1)[N+]([O-])=O",,,,1,1,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"Nc1ccc(O)cc1",,,,1,0,,1,,,,,,,,,,1,,,1,,,,1,,,1,,,,,,,,1,,,
"[Cl-].[NH3+]c1cccc(O)c1",,,,,1,,,,0,0,,,1,1,,,,,,1,1,,,,,,0,0,,,,,,,,,,
"Nc1ccc(cc1)n2c3ccccc3c4ccncc24",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
"Nc1ccc2c([nH]c3ccccc23)n1",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,
"Nc1ccc(cc1)\C=C\c2ccccc2",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"O[P](O)(=O)CNCc1cc(cc2NC(=O)C(=O)Nc12)[N+]([O-])=O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CC(N)Cc1ccccc1",,,,,,,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,,,0,,
"COc1cc(N[S](C)(=O)=O)ccc1Nc2c3ccccc3nc4ccccc24",,,,1,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,1,,,,,,,,
"COc1ccccc1N",,,,1,1,,1,,,,,,,,,,,1,,,,,,0,0,,,,,,,0,1,1,1,1,,
"COc1ccc(N)cc1",,,,1,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,,,
"COc1cccc(N)c1",0,1,1,,1,,,,,,,,,,1,0,,1,,,,,1,,,,,,,,,,,,,,,
"O=C1c2ccccc2C(=O)c3ccccc13",,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
"COc1cccc2c1cc(c3c(cc4OCOc4c23)C(O)=O)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,
"OCC(O)C1OC(=C(O)C1=O)O",,,,,,,,,,,,1,,,,,,0,,,,,,,1,,,,,1,1,,,0,,0,,
"[H+].[Cl-].CN(C)c1ccc(cc1)C(=N)c2ccc(cc2)N(C)C",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,
"c1ccc2c(c1)cc3ccc4ccnc5ccc2c3c45",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,
"NC1=NC(=O)N(C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O",,,,1,1,,1,1,,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,1,1,,
"NC(COC(=O)C=[N+]=[N-])C(O)=O",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,
