"Smiles","CSCL-ISHL—S9_AMES","CSCL-ISHL+S9_AMES","CSCL-ISHLoverall_AMES","Kirkland et al 2005 & 2011 [1, 2]*_AMES","US NTP_AMES","ECHA_AMES","Kirkland et al 2005 & 2011 [1, 2]*MLA_invitro","US NTP_MLA_invitro","SCCS_MLA_invitro","CosE_MLA_invitro","ECHA_MLA_invitro","Kirkland et al 2005 & 2011 [1, 2]*_MN_invitro","SCCS_MN_invitro","CosE_MN_invitro","CSCL-ISHL—S9_CA_invitro","CSCL-ISHL+S9_CA_invitro","Kirkland et al 2005 & 2011 [1, 2]*_CA_invitro","US NTP_CA_invitro","EFSA_CA_invitro","SCCS_CA_invitro","CosE_CA_invitro","ECHA_CA_invitro","CSCL-ISHL_MN_invivo","Kirkland et al 2005 & 2011 [1, 2]*_MN_invivo","US NTP_MN_invivo","EFSA_MN_invivo","SCCS_MN_invivo","CosE_MN_invivo","ECHA_MN_invivo","Kirkland et al 2005 & 2011 [1, 2]*_CA_invivo","US NTP_CA_invivo","Kirkland et al 2005 & 2011 [1, 2]*_UDS_invivo","Kirkland et al 2005 & 2011 [1, 2]*-transgenic","Kirkland et al 2005 & 2011 [1, 2]*_DNAdmg_invivo","Kirkland et al 2005 & 2011 [1, 2]*_Carc","NTP_Carc","EFSA_Carc","ECHA_Carc"
"OC[C@H]1O[C@@H](C[C@@H]1O)N2C=C(CCCl)C(=O)NC2=O",,,,1,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,1,,,,,
"CC1CCC(CC1)NC(=O)N(CCCl)N=O",,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
"[H+].[Cl-].ClCc1ccccn1",,,,1,1,,1,1,,,,1,,,,,1,1,,,,,,,0,,,,,,,,,,0,0,,
"[H+].[Cl-].ClCc1cccnc1",,,,1,1,,1,1,,,,,,,,,1,1,,,,,,0,0,,,,,0,,,,,1,1,,
"ClCc1ccc2ccc3cccc4ccc1c2c34",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
"CC(=C)CCl",0,1,1,,,,,1,,,,,,,1,1,,1,,,,,0,,0,,,,,,1,,,,,1,,
"[O-][N+](=O)c1ccccc1Cl",,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"[O-][N+](=O)c1ccc(Cl)cc1",0,1,1,1,,,,,,,,,,,1,0,1,1,,,,,1,,,,,,,,,,,,1,,,
"[O-][N+](=O)c1cccc(Cl)c1",,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,
"[O-][N+](=O)c1ccc(/C=C/c2cccc(Cl)c2)cc1",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
"[O-][N+](=O)c1ccc(/C=C/c2ccc(Cl)cc2)cc1",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
"CN(C)N=Nc1ccc(Cl)cc1",,,,1,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,
"Nc1ccc(Cl)c(N)c1",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"Nc1ccc(Cl)cc1N",,,,1,1,,,,,,,,,,,,1,1,,,,,,1,1,,,,,,1,,1,,1,1,,
"Nc1ccc(N)c(Cl)c1.O[S](O)(=O)=O",,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,
"CC(O)CCl",,,,,1,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,0,,
"CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12",,,,1,,,,,,,,1,,,,,1,,,,,,,1,,,,,,1,,,,,,,,
"OCC1OC(O)C(NC(=O)N(CCCl)N=O)C(O)C1O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Oc1ccc(c2C(=O)c3c(ccc(O)c3C(=O)c12)[N+]([O-])=O)[N+]([O-])=O",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
"c1ccc2c(c1)ccc3c4ccccc4ccc23",,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,0,,,1,,,,,
"[Na+].[O-][N+](=O)c1ccc(Nc2ccc(Nc3ccccc3)c(c2)[S]([O-])(=O)=O)c(c1)[N+]([O-])=O",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"[Na+].[Na+].Cc1ccc(N\N=C2\C(=O)C(=Cc3ccc(cc23)[S]([O-])(=O)=O)[S]([O-])(=O)=O)c(C)c1",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,
"[Na+].[Na+].[O-][S](=O)(=O)c1ccc(N\N=C\2C=C(c3ccccc3C2=O)[S]([O-])(=O)=O)c4ccccc14",,,,1,0,,,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,0,0,,
"[Na+].[Na+].Cc1ccc(cc1)[S](=O)(=O)Oc2ccc(cc2)N=Nc3ccc(cc3C)c4ccc(N\N=C5\C(=O)C=Cc6cc(cc(c56)[S]([O-])(=O)=O)[S]([O-])(=O)=O)c(C)c4",,,,1,1,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,0,,,1,1,,
"[H+].[Cl-].Nc1ccc(cc1)C(c2ccc(N)cc2)=C3C=CC(=N)C=C3",,,,1,1,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,1,1,1,,
"[Na+].[Na+].[Na+].[Na+].Nc1cc(cc2C=C(\C(=N/Nc3ccc(cc3)c4ccc(N\N=C/5C(=O)c6c(N)cc(cc6C=C5[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc4)C(=O)c12)[S]([O-])(=O)=O)[S]([O-])(=O)=O",,,,1,1,,,1,,,,,,,,,0,0,,,,,,,,,,,,,,,,,1,1,,
"[Na+].[Na+].[Na+].[Na+].Cc1cc(ccc1N\N=C/2C(=O)c3c(N)cc(cc3C=C2[S]([O-])(=O)=O)[S]([O-])(=O)=O)c4ccc(N\N=C/5C(=O)c6c(N)cc(cc6C=C5[S]([O-])(=O)=O)[S]([O-])(=O)=O)c(C)c4",,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"[Na+].[Na+].[Na+].[Na+].Cc1cc(ccc1N\N=C\2C=Cc3c(cc(c(N)c3C2=O)[S]([O-])(=O)=O)[S]([O-])(=O)=O)c4ccc(N\N=C\5C=Cc6c(cc(c(N)c6C5=O)[S]([O-])(=O)=O)[S]([O-])(=O)=O)c(C)c4",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,
"[Na+].[Na+].[Na+].[Na+].COc1cc(ccc1N\N=C/2C(=O)c3c(N)cc(cc3C=C2[S]([O-])(=O)=O)[S]([O-])(=O)=O)c4ccc(N\N=C/5C(=O)c6c(N)cc(cc6C=C5[S]([O-])(=O)=O)[S]([O-])(=O)=O)c(OC)c4",,,,1,1,,1,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,1,1,,
"[Na+].[Na+].[Cu++].[O-]C(=O)c1cc(ccc1[O-])N=Nc2ccc(cc2)c3ccc(N\N=C/4C(=O)C=CC(=N/Nc5cc(ccc5[O-])[S]([O-])(=O)=O)\C4=O)cc3",,,,1,1,,,1,,,,,,,,,0,0,,,,,,,,,,,,,,1,,,1,1,,
"Nc1ccc(N)c2C(=O)c3c(N)ccc(N)c3C(=O)c12",,,,1,1,,,1,,,,,,,,,1,1,,,,,,,0,,,,,,,,,,1,1,,
"Cc1ccc2C(=O)c3ccccc3C(=O)c2c1N",,,,1,1,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"CC(=O)Nc1ccc(N\N=C\2C=C(C)C=CC2=O)cc1",,,,1,1,,,1,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,1,1,,
"Cc1ccc(N\N=C2/C(=O)C=Cc3ccccc23)c(c1)[N+]([O-])=O",,,,1,1,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,1,1,,
"COc1ccc(cc1N\N=C2\C(=O)C(=Cc3ccccc23)C(=O)Nc4cccc(c4)[N+]([O-])=O)[N+]([O-])=O",,,,1,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,,,
"[Na+].[Na+].Nc1c(cc(c2ccccc12)[S]([O-])(=O)=O)N=Nc3ccc(cc3)c4ccc(cc4)N=Nc5cc(c6ccccc6c5N)[S]([O-])(=O)=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cc1ccccc1N=Nc2ccc(N)c(C)c2",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,
"O=C\1C=Cc2ccccc2C1=N/Nc3ccccc3",,,,1,1,,,1,,,,,,,,,0,0,,,,,,1,,,,,,,,,,,1,1,,
"OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O",,,,1,,,1,,,,,1,,,,,1,,,,,,,0,,,,,,,,0,,,,,,
"N|[Pt](|N)(|[Cl])|[Cl]",,,,1,1,,1,,,,,1,,,,,1,1,,,,,,1,,,,,,1,,,1,1,1,,,
"O.O.O.O.[Co++].CC([O-])=O.CC([O-])=O",1,0,1,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,
"O.O.O.O.O.O.[Cl-].[Cl-].[Co++]",,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
"O.O.O.O.O.O.O.[Co++].[O-][S]([O-])(=O)=O",,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
"O=C1Oc2ccccc2C=C1",,,,1,1,,,,,,,0,,,,,1,1,,,,,,0,0,,,,,,,0,,,1,1,,
"COc1ccc(N)c(C)c1",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"COc1ccc(C)cc1N",0,1,1,1,1,,,,,,,,,,1,0,,1,,,,,0,0,0,,,,,,,,1,1,1,1,,
"C/C=C/C=O",,,,1,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,1,,,
"N.ON(N=O)c1ccccc1",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"CN(CCC#N)c1ccc(cc1)N=Nc2ccc3ncsc3c2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"[O-][N+](=O)c1ccc(\C=C\c2cccc(c2)C#N)cc1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"[O-][N+](=O)c1ccc(\C=C\c2ccc(cc2)C#N)cc1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"[O-][N+](=O)c1ccc(\C=C/c2cccc(c2)C#N)cc1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"[O-][N+](=O)c1ccc(\C=C/c2ccc(cc2)C#N)cc1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"[H+].[Cl-].NCCS",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O",,,,,,,1,1,,,,1,,,,,1,1,,,,,,,1,,,,,1,,,,,,,,
"c1cc2ccc3ccc4C=Cc5cc(c1)c2c3c45",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"ClCCN(CCCl)[P]1(=O)NCCCO1",,,,1,1,,1,1,,,,1,,,,,1,1,,,,,,1,1,,,,,,,,,1,,,,
"[Na+].COc1ccc(cc1)C(=O)\C(Br)=C/C([O-])=O",,,,1,1,,1,1,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,1,1,,
"CN(C)N\N=C/1N=CN=C1C(N)=O",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
"[Ba++].Cc1cc(N\N=C\2C(=O)C=Cc3ccccc23)c(cc1Cl)[S]([O-])(=O)=O.Cc4cc(N\N=C\5C(=O)C=Cc6ccccc56)c(cc4Cl)[S]([O-])(=O)=O",,,,1,1,,,0,,,,,,,,,0,0,,,,,,1,,,,,,,,0,,,1,1,,
"O=C1C(c2ccc3ccccc3n2)C(=O)c4ccccc14",,,,1,,,,,,,,,,,,,1,1,,,,,,,0,,,,,,,,,,,1,,
"Oc1cccc2C(=O)c3cccc(O)c3C(=O)c12",,,,1,1,,,,,,,,,,,,1,1,,,,,,,0,,,,,,,,,,1,,,
"COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(C)=O",,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,
"CC(=O)Nc1ccc(cc1)c2ccc(NC(C)=O)cc2",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,
"CC(C)N(C(C)C)C(=O)SC\C(Cl)=C\Cl",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"C=CCN(CC=C)N=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Nc1ccc(cc1N)c2ccc(N)c(N)c2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"[Cl-].Nc1ccc2c(Cc3cc([NH3+])ccc23)c1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Nc1ccc(cc1)/C=C/c2ccc(N)cc2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Nc1ccc(cc1)c2ccc(cc2)c3ccc(N)cc3",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Nc1nc(N)nc(n1)c2oc(cc2)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"[H+].[H+].[Cl-].[Cl-].Nc1ccc(O)c(N)c1",,,,1,1,,,1,,,,,,,,,0,0,,,,,,,,,,,,,,,,,1,1,,
"[H+].[H+].[Cl-].[Cl-].Nc1ccc(OCCO)c(N)c1",,,,,,,,,,0,,,1,1,,,,,,1,1,,,,,,0,0,,,,,,,,,,
"Cc1ccc(N)cc1N",0,1,1,1,1,,1,,,,,,,,1,1,1,1,,,,,,,0,,,,,,,1,1,1,1,1,,
"[H+].[H+].[Cl-].[Cl-].Cc1cc(N)ccc1N",,,,1,1,,,1,0,0,,,,,,,1,1,,1,1,,,0,,,0,0,,,,,,,0,0,,
"Cc1c(N)cccc1N",,,,1,1,,,1,,,,1,,,,,1,1,,,,,,,1,,,,,0,,,0,0,0,0,,
"c1ccc2c(c1)ccc3cc4c(ccc5ccccc45)cc23",,,,1,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,
"[nH]1c2ccc3ccccc3c2c4c1ccc5ccccc45",,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,1,,,
"OC(=O)C(Br)Br",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"BrC(Br)C#N",,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,
"Nc1ccc(cc1Br)c2ccc(N)c(Br)c2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"ClCC(Br)CBr",,,,1,1,,,1,,,,,,,,,1,1,,,,,,1,0,,,,,1,,1,1,,1,1,,
"OC(CBr)C(O)C(O)C(O)CBr",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"BrCCBr",,,,1,1,1,1,1,,,1,,,,,,1,1,,,,1,,0,1,,,,,0,,1,0,1,1,1,,1
"OC(CBr)C(O)C(O)C(O)CBr",,,,1,1,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,1,,,
"COC(=O)c1cc(ccc1N)c2ccc(N)c(c2)C(=O)OC",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"OCC(Br)CBr",,,,,1,,1,1,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,1,,
"CCCCNC(=O)N(CCCC)N=O",,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
"[Cl]|[Sn](|[Cl])(CCCC)CCCC",,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"OC(=O)C(Cl)Cl",,,,1,1,,1,,,,,0,,,,,1,,,,,,,1,0,,,,,,,,1,,1,0,,
"Nc1ccc(cc1Cl)c2ccc(N)c(Cl)c2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,,
"ClC(=C)C(Cl)=C",,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,
"ClC/C=C/CCl",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"ClCC(Cl)C=C",1,1,1,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,
"ClCCCl",,,,1,1,,,,,,,1,,,,,1,1,,,,,,0,0,,,,,,,,0,1,1,1,,
"ClCCl",,,,1,1,1,,,,,,,,,,,1,0,,,,1,,0,,,,,0,0,,0,1,1,,1,,1
"[O-][N+](=O)c1cc(Cl)ccc1Cl",1,1,1,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,
"[O-][N+](=O)c1ccc(Cl)cc1Cl",1,1,1,,1,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,
"[O-][N+](=O)c1ccc(Cl)c(Cl)c1",1,1,1,,1,,,,,,,,,,1,1,,0,,,,,,,,,,,,,,,,,,,,
"Oc1ccc(Cl)cc1Cl",,,,,,,,1,,,,,,,,,1,0,,,,,,,,,,,,1,,,,1,,0,,
"Nc1cc(Cl)c(N)c(Cl)c1",,,,1,1,,1,1,,,,,,,,,1,1,,,,,,,0,,,,,,1,0,,,1,1,,
"CC(Cl)CCl",,,,1,1,,1,1,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"OC(CCl)CCl",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ClC\C=C/Cl",,,,1,1,,1,1,,,,,,,,,0,0,1,,,,,,,,,,,1,1,0,,1,1,1,1,
"CO[P](=O)(OC)OC=C(Cl)Cl",,,,1,1,,1,1,,,,,,,,,1,1,1,,,,,,,1,,,,,,0,,,1,1,,
"Nc1ncnc2n(cnc12)[C@H]3CC[C@@H](CO)O3",,,,,1,,1,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,
"NC1=NC(=O)N(C=C1)[C@H]2CC[C@@H](CO)O2",,,,1,1,,1,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,
"C1OC1C2CO2",,,,1,1,,1,1,,,,1,,,,,1,,,,,,,1,,,,,,,,1,0,1,1,,,
"CCO[S](=O)(=O)OCC",1,1,1,1,,,1,,,,,1,,,1,1,1,,,,,,,1,,,,,,,,,,,1,,,
"Nc1ccc(cc1F)c2ccc(N)c(F)c2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"C1OC1COc2cccc(OCC3CO3)c2",,,,1,1,,1,1,,,,,,,,,1,1,,,,,,0,1,,,,,,1,,,,1,1,,
"NNc1nnc(NN)c2ccccc12",,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
"[O-][N+](=O)c1sc(cc1)C2NC(=O)c3ccccc3N2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"O=C1\C(Nc2ccccc12)=C/3Nc4ccccc4C3=O",,,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
"Oc1cc2CCNc2cc1O",,,,,,,,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,
"CNC(=O)CS[P](=S)(OC)OC",,,,1,1,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,1,0,0,,
"CC1CC(OC(C)O1)OC(C)=O",,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,0,,,
"COc1ccc(N)c(OC)c1",,,,1,1,,,1,,,,,,,,,1,1,,,,,,,0,,,,,,,,,,0,0,,
"COc1cc(ccc1N)c2ccc(N)c(OC)c2",0,1,1,1,1,,,1,,,,,,,1,1,1,0,,,,,1,,,,,,,1,,0,,,1,1,,
"COc1cc(ccc1N=C=O)c2ccc(N=C=O)c(OC)c2",,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,
"CN(C)c1ccc(cc1)N=Nc2ccccc2",,,,1,1,,,1,,,,,,,,,1,,,,,,,0,,,,,,,,1,,1,1,1,,
"CN(C)c1ccc(cc1)N=Nc2cccc3ccccc23",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"CN(C)c1ccc(cc1)N=Nc2ccc3ccccc3c2",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"CN(C)c1ccc(cc1)N=Nc2ccc3scnc3c2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
"CN(C)c1ccc(cc1)N=Nc2ccc3ncsc3c2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,
"CN(C)c1ccc(cc1)N=Nc2ccc3[nH]ncc3c2",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"CN(C)c1ccc(\C=C\c2ccccc2)cc1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"Cc1c2sc3ccccc3c2c(C)c4ccccc14",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"[Na+].CN(C)c1ccc(cc1)N=N[S]([O-])(=O)=O",,,,1,1,,1,1,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,
"CN(C)CCOC(=O)C=C",0,,,,,0,,,,,0,,,,1,1,,,,,,1,0,,,,,,0,,,,,,,,,
"CN(C)C=Nc1oc(\C=C\c2oc(cc2)[N+]([O-])=O)nn1",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Cc1c2ccccc2c(C)c3c4ccccc4ccc13",,,,1,1,,1,1,,,,1,,,,,1,,,,,,,1,1,,,,,,1,,1,,1,,,
"Cc1cc(ccc1N)c2ccc(N)c(C)c2",0,1,1,1,1,,,1,,,,,,,1,0,1,1,,,,,0,,,,,,,1,,0,,1,1,1,,
"CN(C)C(Cl)=O",,,,1,1,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,
"Cc1cc2[nH]c3cc(C)c4ccccc4c3c2c5ccccc15",,,,1,,,1,,,,,0,,,,,0,,,,,,,,,,,,,,,1,1,1,1,,,
"CN(C)N",1,1,1,1,,,1,,,,,,,,1,1,1,,,,,,1,1,0,,,,,,,,,,1,,,
"[H+].[H+].[Cl-].[Cl-].CNNC",,,,1,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,
"CN(C)Nc1scc(n1)c2oc(cc2)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CO[P+](=O)OC",,,,1,1,,,1,,,,,,,,,1,1,,,,,,,1,,,,,,1,,,,1,1,,
"CN(C)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Cn1c(C)ncc1[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"CO[P](Cl)(=S)OC",0,1,1,,,,,,,,,,,,1,1,,,,,,,0,,,,,,,,,,,,,,,
"CO[S](=O)(=O)OC",,,,1,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,
"CC(C)=CCl",,,,1,1,,,1,,,,,,,,,0,0,,,,,,,1,,,,,,,,,,1,1,,
"Nc1ccc(cc1[N+]([O-])=O)c2ccc(N)c(c2)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"[O-][N+](=O)c1ccc2ccc3c4ccccc4c(c5ccc1c2c35)[N+]([O-])=O",,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,
"[O-][N+](=O)c1ccc2ccc3c4c(ccc1c24)ccc3[N+]([O-])=O",,,,1,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,1,1,,1,,,
"[O-][N+](=O)c1ccc2ccc3ccc(c4ccc1c2c34)[N+]([O-])=O",,,,1,,,1,,,,,0,,,,,1,,,,,,,,,,,,,,,,1,,1,,,
"O=NN1CCCN(CC1)N=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"O=NN1CCN(CC1)N=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O",,,,1,1,,,1,,,,,,,,,0,0,,,,,,0,,,,,,,,1,,,1,1,,
"Cc1c(cccc1[N+]([O-])=O)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,
"Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,
"CCO[P](=S)(OCC)SC1OCCOC1S[P](=S)(OCC)OCC",,,,1,1,,,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,
"[Se]([Se]c1ccccc1)c2ccccc2",,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,
"N(c1ccccc1)c2ccc(Nc3ccccc3)cc2",,,,1,1,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,0,,,
"Nc1ccc(cc1)N=Nc2ccc(cc2)N(CCO)CCO",,,,,,,,,0,0,,,,,,,,,,1,1,,,,,,0,0,,,,,,,,,,
"Cc1ccc(cc1N=Nc2ccc(cc2)[N+]([O-])=O)N(CCO)CCO",,,,,,,,,0,,,,0,0,,,,,,1,,,,,,,0,0,,,,,,,,,,
"Nc1ccc(N)c2C(=O)c3ccccc3C(=O)c12",,,,,,,,,0,0,,,1,1,,,,,,1,,,,,,,0,0,,,,,,,,,,
"CCSCCS[P](=S)(OC)OC",,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
"Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1",,,,1,,,1,,,,,1,,,,,1,1,,,,,,,0,,,,,,,,,1,,,,
"ClCC1CO1",1,0,1,1,1,1,1,,,,,,,,1,1,1,1,,,,,0,0,0,,,,,,,,,,1,,,1
"CCC1CO1",,,,1,1,1,1,1,,,,,,,,,1,1,,,,1,,,0,,,,,,,,,,1,1,,1
"CC(=C)C(=O)OCC1CO1",1,1,1,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,
"CCC(C)(CCC(C)C)C(=O)OCC1CO1",,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O[P](O)(=O)CCCl",,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,
"CCOCCOCCO",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"CCc1ccc(cc1)C(C(Cl)Cl)c2ccc(CC)cc2",,,,1,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,,,
"OCCCl",1,0,1,,1,,,1,,,,,,,0,1,,1,,,,,0,,0,,,,,,,,,,,0,,
"C1CN1",,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1
