Compound Id	96-h Tetrahymena toxicity as log(1/IGC50)
1	-0.431
2	-0.274
3	0.176
4	0.346
5	0.803
6	1.239
7	1.094
8	0.284
9	0.277
10	0.504
11	0.670
12	0.031
13	0.483
14	0.078
15	-0.242
16	-0.953
17	-0.252
18	-0.062
19	0.229
20	0.609
21	0.730
22	1.351
23	0.473
24	0.957
25	1.118
26	0.506
27	-0.065
28	0.085
29	-0.381
30	-0.145
31	-1.043
32	-0.046
33	0.478
34	-0.192
35	0.206
36	0.635
37	0.473
38	0.980
39	0.913
40	1.233
41	1.292
42	1.383
43	1.195
44	2.092
45	0.618
46	0.017
47	0.545
48	0.681
49	0.854
50	1.926
51	0.654
52	0.516
53	0.266
54	-0.093
55	0.056
56	1.024
57	-0.384
58	-0.143
59	0.013
60	0.702
61	1.038
62	1.648
63	2.033
64	-0.819
65	-0.780
66	-0.828
67	0.084
68	0.572
69	1.655
70	1.355
71	0.122
72	1.271
73	-0.029
74	0.789
75	1.036
76	0.700
77	1.403
78	1.297
79	1.096
80	0.009
81	0.640
82	1.128
83	0.929
84	0.396
85	0.573
86	2.113
87	0.122
88	0.842
89	0.795
90	1.745
91	0.113
92	1.562
93	0.360
94	2.373
95	0.418
96	2.097
97	1.862
98	1.695
99	2.050
100	1.278
101	1.277
102	1.779
103	1.788
104	1.245
105	1.230
106	1.357
107	1.750
108	1.812
109	-0.155
110	1.729
111	0.930
112	1.203
113	2.699
114	2.222
115	1.167
116	2.573
117	1.631
118	2.523
119	2.664
