Compound Id	40-h Tetrahymena toxicity as log(1/IGC50)
1	-1.50
2	-1.04
3	-1.02
4	-0.99
5	-0.97
6	-0.83
7	-0.81
8	-0.78
9	-0.70
10	-0.60
11	-0.52
12	-0.51
13	-0.51
14	-0.39
15	-0.38
16	-0.38
17	-0.36
18	-0.30
19	-0.30
20	-0.29
21	-0.24
22	-0.21
23	-0.18
24	-0.18
25	-0.16
26	-0.14
27	-0.12
28	-0.09
29	-0.08
30	-0.06
31	-0.05
32	-0.03
33	-0.03
34	0.01
35	0.02
36	0.03
37	0.04
38	0.07
39	0.08
40	0.08
41	0.08
42	0.11
43	0.12
44	0.12
45	0.12
46	0.16
47	0.17
48	0.18
49	0.18
50	0.19
51	0.20
52	0.23
53	0.25
54	0.28
55	0.28
56	0.31
57	0.33
58	0.34
59	0.36
60	0.38
61	0.38
62	0.39
63	0.42
64	0.42
65	0.47
66	0.48
67	0.52
68	0.52
69	0.55
70	0.57
71	0.59
72	0.60
73	0.60
74	0.61
75	0.62
76	0.62
77	0.62
78	0.68
79	0.69
80	0.70
81	0.70
82	0.73
83	0.73
84	0.75
85	0.76
86	0.80
87	0.80
88	0.80
89	0.85
90	0.88
91	0.91
92	0.93
93	0.96
94	0.98
95	1.01
96	1.02
97	1.04
98	1.06
99	1.07
100	1.08
101	1.09
102	1.13
103	1.13
104	1.15
105	1.16
106	1.20
107	1.23
108	1.23
109	1.27
110	1.28
111	1.29
112	1.29
113	1.30
114	1.31
115	1.33
116	1.35
117	1.36
118	1.40
119	1.41
120	1.42
121	1.48
122	1.55
123	1.56
124	1.57
125	1.64
126	1.64
127	1.75
128	1.78
129	1.80
130	1.85
131	2.03
132	2.03
133	2.10
134	2.31
135	2.34
136	2.37
137	2.47
138	2.63
139	-0.16
140	0.27
141	0.54
142	0.63
143	0.95
144	1.08
145	1.23
146	1.62
147	1.64
148	1.72
149	1.75
150	2.05
151	2.22
152	2.66
153	2.71
154	-0.82
155	-0.52
156	-0.08
157	0.28
158	0.37
159	0.37
160	0.44
161	0.47
162	0.75
163	0.78
164	0.85
165	0.94
166	1.06
167	1.26
168	1.31
169	1.41
170	1.44
171	1.68
172	1.70
173	2.00
174	2.11
175	2.20
176	0.27
177	0.33
178	0.47
179	0.57
180	0.61
181	0.65
182	0.66
183	0.74
184	0.75
185	0.87
186	0.88
187	1.07
188	1.13
189	1.17
190	1.17
191	1.38
192	1.42
193	1.59
194	1.64
195	1.73
196	1.87
197	2.05
198	0.98
199	1.28
200	2.11
201	-1.26
202	-0.95
203	-0.65
204	-0.50
205	-0.33
206	-0.23
207	-0.14
208	-0.06
209	0.01
210	0.05
211	0.09
212	0.13
213	0.19
214	0.27
215	0.33
216	0.38
217	0.47
218	0.55
219	0.61
220	0.64
221	0.71
222	0.78
223	0.87
224	0.97
225	1.04
226	1.12
227	1.17
228	1.28
229	1.31
230	1.39
231	1.55
232	1.64
233	1.80
234	2.10
235	2.51
236	0.46
237	1.17
238	1.71
239	2.57
240	0.13
241	0.45
242	0.89
243	1.34
244	1.86
245	0.51
246	0.67
247	0.94
248	1.36
249	1.65
250	1.84
