Compound Id	Binary fingerprint descriptor of the presence of carbonyl at topological distance of 9
000098-08-8	0
000098-16-8	0
000098-56-6	0
000121-17-5	0
000335-76-2	1
000337-28-0	0
000350-57-2	0
000360-53-2	0
000360-54-3	0
000360-58-7	0
000376-53-4	0
000376-89-6	0
000378-75-6	0
000382-93-4	0
000422-05-9	0
000422-63-9	0
000424-40-8	0
000431-46-9	0
000559-11-5	1
000706-79-6	0
000920-66-1	0
001547-36-0	0
001835-49-0	0
001929-68-6	0
002368-64-1	0
002946-73-8	0
013838-16-9	0
015700-73-9	0
020404-94-8	0
023384-22-7	0
023757-42-8	0
024095-80-5	0
026675-46-7	0
026799-34-8	0
028462-90-0	0
028523-86-6	0
030184-88-4	0
030184-89-5	0
031185-53-2	0
031185-59-8	0
031185-61-2	0
031185-65-6	0
031185-66-7	0
031185-67-8	0
031185-68-9	0
031185-69-0	0
031224-45-0	0
042818-60-0	0
056973-16-1	0
061988-37-2	0
063979-48-6	0
067205-67-8	0
067319-83-9	0
101834-51-9	0
105923-30-6	1
105923-79-3	1
107349-85-9	1
107350-42-5	0
