Compound Id	Binary fingerprint descriptor of the presence of C-F bond at topological distance of 4
000098-08-8	1
000098-16-8	1
000098-56-6	1
000121-17-5	1
000335-76-2	1
000337-28-0	1
000350-57-2	1
000360-53-2	0
000360-54-3	0
000360-58-7	1
000376-53-4	1
000376-89-6	1
000378-75-6	1
000382-93-4	1
000422-05-9	0
000422-63-9	0
000424-40-8	1
000431-46-9	1
000559-11-5	1
000706-79-6	0
000920-66-1	0
001547-36-0	1
001835-49-0	1
001929-68-6	1
002368-64-1	1
002946-73-8	1
013838-16-9	1
015700-73-9	1
020404-94-8	0
023384-22-7	1
023757-42-8	1
024095-80-5	1
026675-46-7	1
026799-34-8	1
028462-90-0	1
028523-86-6	1
030184-88-4	1
030184-89-5	1
031185-53-2	1
031185-59-8	1
031185-61-2	1
031185-65-6	1
031185-66-7	1
031185-67-8	1
031185-68-9	1
031185-69-0	1
031224-45-0	1
042818-60-0	1
056973-16-1	1
061988-37-2	1
063979-48-6	1
067205-67-8	1
067319-83-9	1
101834-51-9	1
105923-30-6	1
105923-79-3	1
107349-85-9	1
107350-42-5	1
