Compound Id	Randic index (order 3)
1	3.003
2	2.305
3	0
4	2.302
5	2.091
6	2.121
7	0.707
8	2.305
9	2.302
10	2.305
11	2.305
12	0.5
13	0.5
14	0.943
15	2.199
16	1.894
17	1.894
18	1.894
19	0
20	1.894
21	2.713
22	0.707
23	0.707
24	1.321
25	0.957
26	0.957
27	1.5
28	1.207
29	1.207
30	1.457
31	1.707
32	2.54
33	2.86
34	4.098
35	1.732
36	0.866
37	2.563
38	1.333
39	3.802
40	0.5
41	0.866
42	0.707
43	3.933
44	1.061
45	0.866
46	3.626
47	4.197
48	3.377
49	1.894
50	2.414
51	2.414
52	3.377
53	4.098
54	2.92
55	2.199
56	0
57	4.293
58	2.86
59	3.003
60	2.414
61	2.86
62	0.707
63	1.894
64	1.635
65	1.207
66	1.061
67	0
68	0
69	0
70	0
71	0
72	2.302
73	0.5
74	0.707
75	0.957
76	1.5
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0.817
86	0.817
87	0.817
88	1.333
89	3.114
90	3.587
91	2.814
92	2.814
93	2.814
94	3.933
95	3.686
96	3.702
97	2.54
98	2.54
99	3.43
100	1.394
101	2.593
102	2.92
103	3.582
104	3.003
