Compound Id	HDSA H-donors surface area (MOPAC PC)
1	22.902
2	0
3	0
4	0
5	89.7
6	29.582
7	0
8	22.902
9	0
10	0
11	22.902
12	0
13	0
14	0
15	22.902
16	0
17	0
18	0
19	0
20	22.902
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	29.582
29	0
30	0
31	29.582
32	49.621
33	22.902
34	52.961
35	0
36	29.105
37	55.347
38	0
39	20.994
40	28.628
41	0
42	0
43	21.948
44	0
45	0
46	68.707
47	24.811
48	74.432
49	0
50	48.667
51	48.667
52	26.719
53	58.687
54	26.719
55	0
56	0
57	22.902
58	22.902
59	26.719
60	24.811
61	22.902
62	0
63	49.621
64	0
65	0
66	0
67	29.582
68	27.674
69	29.582
70	23.856
71	0
72	26.719
73	27.674
74	29.582
75	27.674
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	62.981
84	0
85	0
86	0
87	0
88	0
89	19.085
90	57.256
91	0
92	23.856
93	23.856
94	22.902
95	20.039
96	15.268
97	0
98	22.902
99	21.948
100	0
101	0
102	0
103	69.661
104	0
