Compound Id	Rot entropy (300K)
1	29.41
2	27.99
3	27.27
4	27.9
5	31.08
6	30.1
7	26.81
8	29.48
9	28.07
10	29.36
11	28.67
12	27.9
13	26.02
14	27.9
15	28.11
16	26.99
17	27.79
18	27.3
19	17.48
20	26.93
21	29.43
22	25.97
23	25.91
24	28.84
25	27.25
26	28.63
27	26.33
28	28.26
29	27.74
30	29.21
31	30
32	27.9
33	30.31
34	31.38
35	28.15
36	27.28
37	32.58
38	29.55
39	29.77
40	24.21
41	26.79
42	27.65
43	29.7
44	26.68
45	29.58
46	30.07
47	32.07
48	30.21
49	27.26
50	29.11
51	29.11
52	31.42
53	31.85
54	30.35
55	29.7
56	28.55
57	31.2
58	30.19
59	30.92
60	30.6
61	29.53
62	25.79
63	26.95
64	29.84
65	29.71
66	29.41
67	22.33
68	23.9
69	19.04
70	24.39
71	24.16
72	28.04
73	24.32
74	25.93
75	27.17
76	25.68
77	27.93
78	21.03
79	26.51
80	24.19
81	25.34
82	24.38
83	21.3
84	30.18
85	27.64
86	25.71
87	28.29
88	29.51
89	30.1
90	30.6
91	29.34
92	28.81
93	28.83
94	29.73
95	30.2
96	31.21
97	29.36
98	28.66
99	31.37
100	29.34
101	28.6
102	30.35
103	30.25
104	30.19
