Compound Id	MATS1p
1	-0.062
2	-0.001
3	-0.001
4	-0.001
5	-0.02
6	-0.4
7	-1
8	-0.009
9	-0.429
10	-0.167
11	0
12	0
13	0
15	0
17	0
18	0
20	0
21	0
22	0
23	0.042
24	0.061
25	0.069
26	0.036
27	0.055
28	0.041
29	0.062
31	0.067
32	0.065
34	0.039
35	0.055
36	0.061
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0.042
60	0.027
61	0.017
62	0.017
64	0.004
65	0.004
66	0.009
69	0.017
70	0.017
71	0.004
72	0.017
74	0.017
75	0.007
76	0.007
79	0.036
84	0.011
86	0.001
89	0.007
90	0.001
92	0.001
93	0.004
96	0.001
98	0.006
102	0.001
105	0.001
107	0
108	0.001
109	0.002
110	0.002
111	0.007
112	0
114	-0.053
115	-0.045
116	0.039
117	-0.058
118	-0.001
119	-0.036
121	-0.045
123	-0.068
124	-0.045
127	0.06
128	-0.003
129	-0.017
130	0.012
131	-0.014
132	0.151
137	0.103
138	0.06
139	0.242
140	0.113
141	0.031
142	0.06
144	0.031
145	0.244
146	0.083
147	0.141
149	0.191
150	0.036
151	0.087
152	0.108
153	0.351
154	0.029
155	0.179
156	0.179
157	0.171
159	0.042
160	0.199
162	0.061
165	0.282
168	0.227
169	0.282
171	-0.432
172	-0.181
173	-0.15
174	-0.074
175	-0.024
176	-0.03
177	-0.063
178	-0.031
179	-0.03
180	-0.22
181	-0.34
182	-0.237
183	-0.176
184	-0.054
185	-0.013
186	-0.055
187	-0.026
188	-0.024
189	0.283
193	0.252
194	0.252
198	0.156
199	0.181
204	0.218
205	0.181
206	0.389
207	0.218
208	0.073
209	0.278
210	-0.023
211	0.127
212	-0.127
213	-0.078
214	-0.054
215	0.161
216	-0.071
217	0.065
218	-0.142
219	-0.023
220	0.049
221	-0.033
222	-0.011
223	-0.092
224	-0.205
225	-0.008
226	0.016
227	0
228	0
229	0
230	0
231	0.002
232	0.002
233	0.003
234	-0.009
235	0.008
236	0.004
237	0.01
238	0.008
14	0
16	0
19	0
30	0.055
33	0.055
37	0
46	0
59	0.017
63	0.017
67	0.004
68	0.025
73	0.011
77	0.007
78	0.011
80	0.017
81	0.007
82	0.017
83	0.011
85	0.007
87	0.007
88	0.007
91	0.007
94	0.004
95	0.004
97	0.001
99	0.001
100	0.004
101	0.001
103	0
104	0.001
106	0.001
113	-0.058
120	-0.045
122	-0.023
125	-0.036
126	-0.05
133	0.102
134	0.132
135	0.141
136	0.16
143	0.058
148	0.058
158	0.179
161	0.199
163	0.23
164	0.23
166	0.23
167	0.23
170	0.375
190	0.283
191	0.283
192	0.283
195	0.218
196	0.156
197	0.278
200	0.181
201	0.181
202	0.156
203	0.181
