Compound Id	IDDM
1	1.971
2	1.971
3	2.556
4	2.291
5	2.294
6	2.556
7	2.294
8	2.78
9	2.975
10	3.294
11	2.585
12	2.796
13	2.978
15	2.984
17	2.981
18	3.143
20	3.148
21	4.138
22	3.974
23	3.308
24	3.573
25	3.573
26	3.563
27	3.787
28	3.441
29	3.68
31	4.301
32	3.985
34	3.883
35	3.886
36	4.147
38	2.984
39	2.981
40	2.984
41	3.152
42	3.149
43	3.301
44	3.151
45	3.3
47	3.438
48	3.3
49	3.563
50	2.796
51	2.984
52	2.981
53	3.563
54	2.984
55	3.149
56	3.3
57	3.151
58	4.148
60	3.441
61	3.567
62	3.565
64	3.787
65	3.786
66	3.678
69	3.785
70	3.779
71	4.061
72	3.782
74	3.784
75	3.978
76	3.974
79	4.437
84	3.879
86	4.145
89	3.977
90	4.144
92	4.299
93	4.063
96	4.148
98	4.37
102	4.3
105	4.299
107	4.225
108	4.146
109	3.883
110	4.144
111	3.779
112	3.977
114	4.065
115	4.147
116	4.437
117	3.976
118	4.369
119	4.223
121	4.146
123	3.787
124	4.145
127	4.369
128	3.68
129	4.061
130	4.298
131	4.145
132	3.143
137	2.981
138	3.43
139	2.981
140	3.433
141	3.434
142	3.434
144	3.433
145	3.438
146	3.149
147	2.984
149	3.301
150	3.967
151	3.675
152	3.301
153	3.563
154	4.216
155	2.981
156	2.984
157	2.796
159	3.678
160	3.149
162	4.062
165	3.438
168	3.974
169	3.438
171	2.554
172	3.778
173	3.965
174	4.771
175	4.726
176	4.83
177	4.489
178	4.778
179	4.673
180	2.968
181	2.554
182	2.973
183	2.774
184	3.433
185	3.433
186	4.357
187	3.975
188	4.063
189	3.781
193	3.299
194	3.299
198	3.296
199	3.435
204	3.56
205	3.436
206	3.783
207	3.559
208	4.219
209	3.676
210	4.142
211	4.218
212	4.219
213	4.059
214	4.429
215	3.769
216	3.971
217	4.361
218	4.141
219	4.297
220	3.305
221	3.879
222	3.557
223	3.876
224	1.971
225	3.973
226	3.787
227	3.563
228	3.563
229	3.563
230	3.434
231	3.787
232	4.226
233	4.063
234	4.147
235	4.221
236	4.144
237	4.14
238	4.218
14	2.978
16	2.984
19	3.146
30	3.788
33	3.883
37	2.796
46	3.301
59	3.566
63	3.564
67	3.785
68	3.675
73	3.881
77	3.973
78	3.882
80	3.784
81	3.978
82	3.785
83	3.884
85	3.975
87	3.977
88	3.975
91	3.976
94	4.063
95	4.064
97	4.147
99	4.145
100	4.063
101	4.146
103	4.223
104	4.144
106	4.298
113	3.975
120	4.145
122	4.298
125	4.223
126	3.158
133	2.984
134	2.796
135	2.984
136	3.149
143	3.559
148	3.559
158	2.984
161	3.149
163	3.301
164	3.3
166	3.301
167	3.301
170	3.563
190	3.296
191	3.299
192	3.299
195	3.559
196	3.299
197	3.675
200	3.433
201	3.434
202	3.299
203	3.436
