Compound Id	GATS1e
1	0.539
2	1.015
3	0.816
4	0.866
5	0.639
6	1.5
7	2.5
8	1.152
9	2
10	1.25
11	0.917
12	1
13	0.937
15	1.063
17	1.063
18	1
20	1.111
21	1.306
22	0.938
23	0.805
24	0.72
25	0.802
26	0.837
27	0.758
28	0.868
29	0.778
31	0.689
32	0.7
34	0.455
35	0.807
36	0.732
38	0.481
39	0.481
40	0.481
41	0.536
42	0.536
43	0.618
44	0.536
45	0.618
47	0.736
48	0.504
49	0.917
50	0.471
51	0.465
52	0.465
53	0.917
54	0.465
55	0.508
56	0.585
57	0.508
58	0.805
60	0.453
61	0.453
62	0.453
64	0.514
65	0.514
66	0.477
69	0.457
70	0.457
71	0.526
72	0.457
74	0.457
75	0.494
76	0.494
79	0.837
84	0.47
86	0.565
89	0.494
90	0.565
92	0.672
93	0.526
96	0.565
98	0.745
102	0.672
105	0.672
107	0.614
108	0.565
109	0.459
110	0.538
111	0.46
112	0.474
114	0.753
115	0.773
116	1.016
117	0.751
118	0.926
119	0.808
121	0.773
123	0.831
124	0.773
127	0.879
128	0.787
129	0.654
130	0.796
131	0.686
132	0.932
137	0.919
138	0.992
139	1.07
140	0.942
141	0.884
142	0.992
144	0.884
145	0.921
146	0.985
147	0.836
149	0.843
150	1.018
151	0.943
152	0.946
153	1.052
154	1.034
155	0.82
156	0.82
157	1.423
159	1.146
160	0.734
162	1.094
165	0.788
168	0.836
169	0.788
171	0.73
172	0.736
173	0.713
174	0.697
175	0.689
176	0.679
177	0.684
178	0.66
179	0.662
180	0.987
181	0.91
182	0.919
183	0.722
184	0.71
185	0.775
186	0.699
187	0.644
188	0.653
189	0.433
193	0.519
194	0.519
198	0.282
199	0.369
204	0.466
205	0.369
206	0.762
207	0.466
208	0.51
209	0.589
210	0.993
211	0.959
212	1.097
213	0.821
214	0.99
215	1.141
216	1.137
217	0.671
218	1.01
219	0.896
220	0.851
221	0.762
222	0.644
223	0.775
224	0.5
225	0.59
226	0.714
227	0.586
228	0.586
229	0.586
230	1
231	0.794
232	0.582
233	0.56
234	0.664
235	0.495
236	0.57
237	0.481
238	0.495
14	1.063
16	1.063
19	1
30	0.758
33	0.807
37	0.459
46	0.618
59	0.453
63	0.453
67	0.514
68	0.471
73	0.47
77	0.494
78	0.47
80	0.457
81	0.494
82	0.457
83	0.47
85	0.494
87	0.494
88	0.494
91	0.494
94	0.526
95	0.526
97	0.565
99	0.565
100	0.526
101	0.565
103	0.614
104	0.565
106	0.672
113	0.751
120	0.773
122	0.858
125	0.808
126	0.805
133	0.985
134	0.988
135	0.836
136	0.811
143	0.9
148	0.9
158	0.82
161	0.734
163	0.738
164	0.738
166	0.738
167	0.738
170	0.877
190	0.387
191	0.387
192	0.387
195	0.466
196	0.282
197	0.589
200	0.369
201	0.369
202	0.282
203	0.369
