Compound Id	WNSA1
1	13.7719
2	28.2869
3	34.8423
4	8.1811
5	14.418
6	15.9521
7	9.3894
8	135.6173
9	18.0577
10	23.8245
11	16.6331
12	34.1237
13	28.4554
14	7.5075
15	60.4182
16	27.6745
17	27.3334
18	49.074
19	31.9565
20	36.0076
21	37.3707
22	52.0544
24	31.0228
25	19.5273
26	24.2223
27	55.3044
28	23.1247
29	30.7433
30	28.9122
31	60.4661
32	13.7623
33	107.1783
34	22.9734
35	20.7511
36	14.6286
37	58.2154
38	32.6894
39	37.5242
40	99.2918
41	64.385
42	23.6703
43	24.7792
44	42.6723
45	79.8252
46	58.7412
47	28.2698
48	51.2589
49	133.8365
50	30.6501
51	39.7506
52	86.5591
53	33.3153
54	10.0326
55	99.4337
56	60.1706
57	47.244
58	48.5554
59	108.4793
60	69.7793
61	51.5535
62	65.1637
63	20.3152
64	31.8726
65	35.5372
67	34.8711
68	11.5355
69	37.0801
70	37.9585
71	59.4821
72	57.0614
73	51.2439
74	26.5284
75	41.2207
76	56.3484
77	28.3531
78	14.2529
79	65.0437
80	27.9306
81	45.1968
82	59.4272
83	64.6438
84	22.6916
85	64.9824
86	33.8257
87	32.3712
88	35.1389
89	52.3729
90	30.5855
91	7.0431
92	47.7385
93	21.6495
94	48.9722
95	45.8524
96	59.6525
97	71.7468
98	62.0121
99	27.0311
100	30.9864
101	64.3727
102	51.2184
103	31.5236
104	60.0755
105	74.2707
106	15.4875
107	54.1389
108	29.827
109	41.6642
110	80.7731
111	40.8857
112	42.7
113	69.9631
114	63.6569
116	60.0739
117	26.9702
118	144.278
119	89.5829
120	67.6659
121	89.7196
122	40.1658
123	31.0521
124	56.3301
125	42.5844
126	64.2748
127	73.2869
128	65.046
129	102.7199
130	56.6757
131	99.6384
132	62.8194
133	84.3989
134	84.6168
135	104.6749
136	71.0567
137	85.6246
138	69.8318
139	85.2855
140	64.5453
141	108.5328
142	52.8555
143	90.2648
144	48.7036
145	69.0883
146	32.5674
147	53.2473
148	49.6683
149	91.6738
150	44.4498
151	53.7931
152	32.9099
154	77.2837
155	53.6951
156	72.0938
157	103.4973
158	55.1138
159	67.4149
160	65.8311
161	33.9028
162	49.3301
163	50.2804
164	44.6673
165	129.906
166	116.6163
167	177.4082
168	24.7262
169	29.2854
170	90.1141
172	85.4171
173	67.18
174	91.247
175	102.3354
176	71.9125
177	23.5695
178	29.7471
179	83.8703
180	160.095
181	29.1246
182	66.2676
183	87.6652
184	34.9274
185	71.353
186	83.3088
187	53.2551
189	160.095
190	87.5712
191	119.4994
192	14.0393
193	31.8276
194	96.4217
195	57.1128
196	81.4634
197	116.6232
198	85.0107
199	26.4516
200	78.7863
201	158.5732
202	33.2527
203	92.7753
204	32.8426
205	77.9815
206	87.3128
207	154.7859
208	20.1295
209	108.1137
211	92.7827
213	52.9658
214	16.9159
215	42.1732
216	94.0947
217	29.9114
218	55.7206
220	135.2487
221	166.0701
222	63.1597
223	64.2554
224	104.8965
225	93.5836
226	38.9241
228	90.8255
229	47.7059
231	72.1145
232	145.0284
233	55.2302
234	217.9342
235	214.9631
237	127.0986
238	128.0315
239	137.1056
240	137.071
242	150.4625
243	228.2669
244	182.9176
247	93.2508
249	158.4148
250	226.9767
253	246.528
