Compound Id, Global half-life index (GHLI)
2, 2.42
4, -1.51
6, -0.48
7, 2.42
8, 2.86
14, -1.51
16, -0.57
18, -1.36
19, -1.6
22, -2.3
25, 2.68
26, -1.6
28, -2.3
30, -0.82
31, -0.12
33, 0.94
34, 0.47
35, -1.84
37, 2.2
39, -1.04
42, -2.3
45, 0.7
47, -0.09
49, 2.68
50, -1.84
54, -0.57
55, -1.04
56, 1.16
57, -1.07
61, -1.6
64, -0.12
66, -1.42
68, -1.77
72, 0.22
73, -3.13
74, 1.97
76, -2.79
78, 0.22
79, 2.54
80, -0.36
83, -1.27
87, -0.44
88, -0.9
89, 0.22
92, -0.48
96, -1.84
97, 0.22
98, 1.97
100, -1.07
105, -2.3
107, -0.48
108, -1.6
109, -1.27
111, -1.6
115, 0.22
117, 1.73
118, -0.48
120, 0.94
122, -2.79
123, -2.3
124, -1.27
128, 0.22
130, -2.54
131, -1.6
132, -0.82
138, -0.48
139, -1.07
140, 0.94
142, -1.77
144, -0.48
145, 0.22
147, -2.3
151, -0.48
152, 0.32
155, 0.7
156, -0.79
158, -1.84
159, 1.97
162, -1.07
167, -2.79
168, -1.6
169, -0.57
170, 0.22
171, -2.1
172, 0.47
174, -0.34
180, -1.07
181, -1.6
182, 2.42
184, 2.42
187, -0.48
190, 3.09
192, 0.22
193, 1.27
194, -0.82
197, 0.36
199, -0.48
200, -0.12
201, 1.73
202, -1.27
205, -1.6
209, -1.07
212, 2.54
216, -1.07
219, 2.1
221, -0.23
222, 4.98
223, 2.4
224, 0.55
228, 3.78
230, -0.48
231, -1.16
233, -0.37
234, 3.68
235, 4.25
238, 4.5
240, 0.22
242, 3.01
243, 1.06
244, 3.35
246, 1.06
247, 2.34
248, 2.1
249, 1.03
250, 4.73
1, 2.76
3, 2.42
5, 2.68
9, 3.09
10, -0.48
11, -1.51
12, 2.86
13, -1.42
15, -1.04
17, -2.3
20, -1.6
21, -2.06
23, -0.56
24, 2.2
27, -2.3
29, -2.3
32, 3.78
36, -2.79
38, 0.94
40, 0.9
41, 2.68
43, 1.97
44, -1.69
46, -1.84
48, -1.6
51, -0.34
52, -0.57
53, 1.16
58, 0.36
59, -0.44
60, -0.9
62, -1.84
63, -0.12
65, -0.57
67, -0.57
69, -1.14
70, -1.27
71, 0.7
75, -0.57
77, 0.22
81, -0.82
82, 1.97
84, 0.22
85, -0.79
86, 0.3
90, -1.07
91, -2.3
93, -0.48
94, 0.22
95, -1.6
99, -1.77
101, -2.79
102, 2.2
103, 0.48
104, -1.27
106, -2.3
110, -1.6
112, -1.27
113, 0.22
114, -0.48
116, 1.97
119, 0.22
121, 1.73
125, -1.84
126, 0.94
127, -1.6
129, -1.07
133, -0.82
134, -0.2
135, -1.27
136, 0.22
137, -0.48
141, -2.3
143, -0.48
146, -1.07
148, -0.48
149, 0.22
150, -0.73
153, 4.73
154, -1.6
157, 1.16
160, -0.9
161, -0.44
163, -2.17
164, 0.47
165, -1.07
166, -2.79
173, 2.42
175, 0.13
176, -1.42
177, -0.34
178, -2.79
179, -1.6
183, 2.42
185, 2.42
186, -0.48
188, -0.48
189, 2.36
191, 0.22
195, -0.12
196, 0.22
198, 1.97
203, -1.6
204, -1.07
206, 3.45
207, -1.04
208, -1.84
210, -1.6
211, 2.54
213, -1.07
214, -1.16
215, -0.12
217, 1.03
218, -0.48
220, 0.59
225, -0.37
226, 0.36
227, 3.35
229, 1.4
232, 3.78
236, 2.4
237, 4.5
239, 2.1
241, 1.06
245, 1.06
