Compound Id	40-h Tetrahymena toxicity as log(1/IGC50)
1	-0.88
2	-0.90
3	-0.71
4	-0.67
5	-0.57
6	-0.70
7	-0.81
8	-0.69
9	-0.58
10	-0.48
11	-0.48
12	0.28
13	-0.22
14	0.62
15	0.21
16	0.61
17	1.70
18	2.06
19	2.33
20	NTAS
21	NTAS
22	-0.91
23	-0.81
24	-0.68
25	-0.98
26	-0.91
27	-1.01
28	-0.84
29	-0.82
30	-0.81
31	-0.72
32	-0.98
33	-0.96
34	-0.67
35	-0.99
36	-0.92
37	-0.59
38	-0.96
39	-0.66
40	-0.62
41	-0.72
42	-0.76
43	-0.76
44	-0.77
45	-0.80
46	-0.77
47	-0.76
48	-1.03
49	-1.06
