Compound Id, pEC3
1, 0.55
2, 1.92
3, 1.79
4, 1.25
5, 1.31
6, 1.47
7, 1.26
8, 1.29
9, 1.23
10, 1.60
11, 1.51
12, 1.92
13, 1.64
14, 1.82
15, 1.11
16, 1.76
17, 1.83
18, 1.44
19, 2.54
20, 0.05
21, 0.63
22, 1.63
23, 1.85
24, 1.27
25, 1.30
26, nan
27, 0.98
28, 1.27
29, 1.07
30, nan
31, nan
32, 1.44
33, 1.25
