Compound Id	Topological polar surface area
1	37.3
2	0
3	106.51
4	37.3
5	0
7	0
8	20.23
9	20.23
10	9.23
11	114.76
12	26.02
13	54.57
14	83.47
15	0
16	40.46
17	0
18	0
19	24.06
20	0
21	37.3
22	57.53
23	54.57
24	17.07
25	0
26	0
27	0
28	0
29	18.46
30	177.54
31	88.77
32	17.07
33	34.14
34	95.42
35	52.6
36	69.67
37	109
38	0
39	0
40	20.23
41	68.54
42	88.77
43	43.14
44	69.16
45	106.51
46	26.02
47	171.75
48	109
49	23.55
50	0
51	12.89
52	0
53	52.04
54	92.34
55	20.23
56	37.33
57	67.86
58	0
59	0
60	26.02
61	26.02
62	26.02
63	20.23
64	0
65	32.59
66	65.76
67	78.39
68	0
69	0
70	105.89
71	37.3
72	0
73	26.02
74	69.16
75	63.37
76	52.04
77	20.23
78	9.23
79	47.91
80	63.93
81	9.23
82	9.23
83	12.03
84	3.24
85	0
86	0
87	20.23
88	0
89	0
90	0
91	116.73
92	0
93	0
94	12.89
95	0
96	28.24
97	58.2
98	24.06
99	49.69
100	64.07
101	9.23
102	0
103	59.61
104	0
105	74.6
106	20.23
107	54.57
108	52.6
109	12.03
110	0
111	40.46
112	17.07
113	77.32
114	171.86
115	112.73
116	12.03
117	0
118	27.69
119	42.52
120	54.57
121	54.57
122	0
123	20.23
124	54.37
125	28.24
126	121.26
127	0
128	0
129	121.94
130	110.96
131	12.03
132	111.96
133	0
134	76.57
135	3.24
136	32.34
137	95.37
138	37.3
139	87.66
140	62.75
141	0
142	58.2
143	0
144	0
145	12.03
146	38.91
147	46.53
148	54.57
149	74.6
150	106.51
151	6.25
152	0
153	20.23
154	86.28
155	12.03
156	43.14
157	12.03
158	0
159	0
161	36.6
162	12.03
163	20.23
164	0
165	0
166	24.06
167	0
168	121.62
169	20.23
170	0
171	20.23
172	18.46
173	29.1
174	88.03
176	54.57
178	17.07
179	54.57
180	53.84
181	0
182	18.46
183	20.23
184	20.23
185	0
186	46.53
187	47.58
188	20.23
189	20.23
190	30.33
191	34.14
192	38.33
193	20.23
194	7.76
195	38.8
196	0
197	103.77
198	40.46
199	78.9
200	29.46
201	0
202	114.78
203	105.87
204	38.33
205	69.59
206	58.92
207	0
208	0
209	20.23
210	52.9
211	0
212	63.37
213	50.6
214	0
215	141.78
216	246.92
217	36.92
218	0
219	74.6
220	54.57
221	12.47
222	67.26
223	50.6
224	49.33
225	0
226	70.64
227	40.46
228	0
229	0
230	105.74
231	20.23
232	0
233	51.13
234	0
235	20.23
236	45.61
237	52.6
239	20.23
240	0
241	18.46
242	9.23
243	0
244	0
245	0
246	9.23
247	0
248	121.19
249	23.79
250	0
251	62.75
252	395.43
253	74.6
254	9.23
255	89.62
256	9.23
257	41.28
258	37.3
259	13.14
260	9.23
261	177.54
264	0
265	41.46
266	50.42
267	70.64
268	76.21
269	62.68
270	93.45
271	82.91
272	46.53
273	38.33
274	85.62
275	149.06
276	38.33
277	38.33
278	87.43
279	67.43
280	62.6
281	17.07
282	140.83
283	74.3
284	37.81
285	99.74
286	45.61
287	102.62
288	39.94
289	20.23
290	47.56
291	54.5
292	54.74
293	75.99
294	76.66
295	57.65
296	79.77
297	35.01
298	165.84
299	78.9
300	22.12
301	106.34
302	49.33
303	55.24
304	62.58
305	58.04
306	74.88
307	112.58
308	67.87
309	124.61
310	86.71
312	43.24
313	74.94
314	126.08
315	76.66
316	76.66
317	51.22
318	63.97
319	67.43
320	106.51
321	83.56
322	57.12
323	17.07
