Compound Id	Molecular Linear Free Energy Relation overall solute hydrogen bond basicity
1	0.402
2	0.355
3	-0.147
4	0.468
5	0.024
7	0.317
8	0.021
9	0.372
10	0.296
11	2.524
12	0.401
13	1.852
14	1.38
15	0.178
16	0.247
17	0.073
18	0.159
19	1.839
20	0.007
21	0.399
22	1.052
23	1.848
24	0.474
25	0.082
26	0.073
27	0.117
28	0.163
29	0.705
30	2.589
31	1.456
32	0.591
33	0.816
34	1.674
35	0.807
36	0.879
37	1.686
38	0.131
39	-0.085
40	0.051
41	0.344
42	1.392
43	-0.045
44	0.126
45	-0.133
46	0.603
47	2.58
48	1.663
49	1.163
50	0.197
51	0.507
52	0.186
53	0.787
54	1.795
55	0.515
56	1.219
57	1.105
58	0.122
59	0.125
60	0.393
61	0.329
62	0.393
63	0.17
64	0.108
65	0.592
66	0.935
67	0.252
68	0.013
69	0.002
70	0.864
71	0.506
72	0.152
73	0.625
74	0.164
75	0.185
76	0.749
77	0.477
78	0.392
79	1.211
80	1.645
81	0.337
82	0.392
83	0.548
84	0.793
85	0.129
86	0.069
87	0.376
88	0.062
89	0.155
90	0.125
91	1.313
92	0.115
93	0.089
94	0.436
95	0.078
96	0.158
97	1.261
98	1.153
99	0.932
100	1.574
101	0.282
102	0.085
103	1.152
104	0.108
105	0.908
106	0.76
107	1.827
108	0.843
109	0.608
110	-0.091
111	0.859
112	0.515
113	1.303
114	2.191
115	1.775
116	1.011
117	0.205
118	1.118
119	0.739
120	1.833
121	1.848
122	0.071
123	0.523
124	0.736
125	0.278
126	1.883
127	0.355
128	0.295
129	2.718
130	2.104
131	1.12
132	2.341
133	0.071
134	2.014
135	0.484
136	0.82
137	2.559
138	0.333
139	1.442
140	0.972
141	0.162
142	1.567
143	0.121
144	0.093
145	0.648
146	0.669
147	1.043
148	1.848
149	0.75
150	-0.151
151	0.563
152	0.189
153	0.306
154	-0.24
155	0.544
156	-0.069
157	0.544
158	-0.034
159	-0.051
161	-0.374
162	0.544
163	0.574
164	0.121
165	0.253
166	1.051
167	0.185
168	1.895
169	0.553
170	0.253
171	0.227
172	0.129
173	0.715
174	1.591
176	1.962
178	0.427
179	1.917
180	1.085
181	0.107
182	0.145
183	0.573
184	0.429
185	0.129
186	0.596
187	0.244
188	0.443
189	0.528
190	1.029
191	0.887
192	0.488
193	0.609
194	0.892
195	0.078
196	0.121
197	2.759
198	0.7
199	1.196
200	0.26
201	0.242
202	2.181
203	2.755
204	0.488
205	2.249
206	1.212
207	0.151
208	0.256
209	0.433
210	0.923
211	0.137
212	0.192
213	0.637
214	0.215
215	2.375
216	3.527
217	1.137
218	0.151
219	0.784
220	1.896
221	1.08
222	1.524
223	0.421
