Compound Id	Logarithm of octanol/water partition coefficient
1	2.23
2	5.97
3	1.67
4	3.46
5	2.77
7	5.76
8	4.45
9	3.1
10	0.89
11	0.78
12	0.9
13	1.43
14	0.55
15	4.14
16	7.54
17	2.44
18	6.51
19	5.04
20	2.77
21	1.33
22	2.3
23	0.8
24	1.7
25	2.42
26	3.59
27	2.39
28	4.22
29	5.5
30	-1.7
31	-1.16
32	4.81
33	4.5
34	1.27
35	4.5
36	7.1
37	-0.86
38	4.05
39	5.74
40	3.69
41	0.84
42	0.9
43	2.24
44	1.85
45	3.56
46	1.33
47	0.18
48	-0.86
49	3.87
50	3.3
51	2.03
52	3.9
53	3.51
54	1.75
55	3.2
56	4.15
57	1.64
58	3.42
59	3.63
60	1.84
61	2.69
62	1.83
63	3.72
64	2.27
65	0.63
66	7.35
67	1.86
68	3.01
69	3.6
70	0.01
71	3.85
72	3.48
73	1.16
74	1.37
75	1.91
76	3.91
77	3.47
78	4.21
79	1.66
80	-1
81	4.36
82	3.31
83	2.16
84	1.98
85	4.58
86	3.44
87	2.39
88	1.96
89	4.55
90	3.42
91	-1.37
92	2.99
93	3.61
94	1.22
95	2.64
96	1.81
97	15.68
98	-1.5
99	-0.42
100	-2.08
101	1.29
102	5.65
103	-1.34
104	6.78
105	2.05
106	5.02
107	1.44
108	7.45
109	3.45
110	5.73
111	6.25
112	3.18
113	4.08
114	2.8
115	3.3
116	3.5
117	5.22
118	0.67
119	-0.77
120	4.29
121	4
122	3.4
123	5.1
124	3.52
125	4.38
126	1.73
127	6.44
128	5.16
129	1.73
130	4.02
131	5.73
132	3.69
133	4.1
134	0.3
135	9.93
136	2.68
137	3.81
138	4.93
139	9.43
140	3.68
141	4.54
142	3.72
143	4
144	4.62
145	1.53
146	0.49
147	4.74
148	-0.65
149	1
150	2.13
151	-0.18
152	4.42
153	3.62
154	2.08
155	2.16
156	2.58
157	2.52
158	4.51
159	5.13
161	0.28
162	2.19
163	6.06
164	3.56
165	5.07
166	5.04
167	4.73
168	-2.68
169	1.94
170	5.08
171	1.66
172	4.86
173	2.92
174	2.54
176	5.73
178	3.17
179	1.76
180	0.79
181	5.35
182	6.8
183	2.74
184	5.22
185	4.8
186	7.21
187	3.05
188	3.4
189	2.69
190	3.96
191	4.4
192	2.31
193	6.36
194	1.38
195	9.17
196	4.51
197	1.04
198	1.06
199	10.43
200	4.76
201	3.77
202	7.59
203	2.7
204	2.78
205	2.67
206	6.06
207	3.96
208	7.29
209	6.64
210	0.94
211	5.5
212	2.47
213	6.53
214	4.72
215	8.06
216	7.68
217	6.53
218	5.62
219	3.48
220	1.22
221	1.17
222	5.69
223	9.91
224	2.15
225	4.97
226	3.21
227	5.34
228	10.46
229	-2.97
230	4.39
231	2.02
232	5.88
233	4.8
234	5.75
235	3.79
236	2.45
237	9.69
239	5.38
240	3.66
241	5.54
242	4.38
243	5.86
244	5.41
245	6.09
246	5.74
247	6.18
248	4.89
249	6.24
250	5.62
251	7.84
252	5.13
253	1.11
254	5.53
255	6.07
256	6.38
257	9.83
258	3.92
259	5.44
260	6.11
261	2.04
264	6.03
265	0.69
