Compound Id	Wiener index
1	144
2	680
3	240
4	152
5	16
7	553
8	140
9	84
10	20
11	218
12	42
13	168
14	825
15	58
16	860
17	16
18	603
19	956
20	9
21	42
22	474
23	166
24	109
25	18
26	29
27	29
28	98
29	848
30	1350
31	322
32	503
33	442
34	671
35	912
36	2598
37	406
38	82
39	174
40	110
41	144
42	183
43	114
44	114
45	486
46	86
47	745
48	409
49	899
50	109
51	109
52	144
53	440
54	2420
55	252
56	279
57	188
58	60
59	84
60	84
61	84
62	84
63	111
64	31
65	31
66	1464
67	193
68	114
69	148
70	240
71	252
72	88
73	88
74	117
75	120
76	552
77	329
78	264
79	495
80	138
81	188
82	436
83	94
84	126
85	125
86	62
87	62
88	10
89	66
90	84
91	84
92	42
93	42
94	42
95	20
96	15
97	11559
98	27
99	108
100	56
101	56
102	120
103	120
104	286
105	540
106	744
107	343
108	2388
109	236
110	174
111	1432
112	307
113	2125
114	1002
115	540
116	264
117	211
118	84
119	39
120	910
121	616
122	29
123	392
124	442
125	219
126	226
127	654
128	364
129	424
130	356
131	971
132	694
133	216
134	127
135	4131
136	321
137	720
138	1248
139	7362
140	988
141	220
142	752
143	109
144	109
145	61
146	42
147	876
148	64
149	121
150	286
151	1512
152	179
153	84
154	234
155	86
156	150
157	127
158	84
159	111
161	142
162	88
163	620
164	74
165	326
166	472
167	230
168	573
169	88
170	322
171	111
172	271
173	328
174	318
176	1596
178	240
179	343
180	62
181	126
182	571
183	117
184	482
185	176
186	1697
187	272
188	150
189	154
190	899
191	696
192	308
193	844
194	271
195	1140
196	102
197	1818
198	88
199	5730
200	536
201	189
202	8694
203	540
204	374
205	230
206	1928
207	176
208	468
209	690
210	121
211	216
212	152
213	1179
214	319
215	8768
216	15558
217	894
218	368
219	525
220	254
221	126
222	1065
223	1771
224	162
225	287
226	483
227	860
228	907
229	160
230	760
231	112
232	196
233	1031
234	263
235	212
236	390
237	4140
239	444
240	196
241	408
242	524
243	402
244	298
245	412
246	454
247	408
248	4050
249	1002
250	403
251	2011
252	25683
253	234
254	467
255	1581
256	618
257	3082
258	481
259	329
260	609
261	1250
264	657
265	150
266	1225
267	651
268	226
269	567
270	341
271	339
272	993
273	41
274	5454
275	1884
276	335
277	537
278	44
279	3276
280	3758
281	10
282	2556
283	564
284	554
285	218
286	288
287	964
288	1203
289	364
290	384
291	1341
292	552
293	233
294	3429
295	1766
296	3100
297	1384
298	151
299	30600
300	809
301	179
302	706
303	673
304	1748
305	555
306	636
307	1695
308	2231
309	1498
310	276
312	1141
313	3340
314	1417
315	1241
316	1221
317	2094
318	1158
319	1314
320	472
321	1473
322	1234
323	604
324	1661
325	293
326	184
327	268
328	1688
329	816
330	425
331	458
332	1818
333	337
334	352
335	148
336	4014
337	333
339	1829
340	944
342	993
343	555
344	1098
345	365
346	684
347	296
348	282
349	572
350	394
351	434
352	1385
353	284
354	456
355	2820
356	1350
357	532
358	400
359	959
360	1515
361	337
362	936
363	448
364	59
365	382
366	1066
367	335
368	326
369	204
370	691
371	380
372	1093
373	312
374	797
375	2024
376	3860
377	914
378	714
379	396
380	248
381	122
382	586
383	280
384	542
385	1261
386	968
387	2272
388	585
389	666
390	715
391	1895
392	624
393	293
394	1791
395	1050
396	298
398	633
399	352
400	213
401	630
402	1442
403	802
405	818
406	612
407	559
408	1767
409	459
410	86
411	2244
412	20
413	376
414	1585
415	1078
416	318
417	3416
418	792
419	1064
420	2463
421	422
422	950
423	1001
424	269
425	380
426	1293
427	660
428	1000
429	520
430	1630
431	1436
432	1584
433	1268
434	4426
435	2214
436	507
437	2356
438	262
439	1272
440	2154
441	932
442	1770
443	473
444	1139
445	626
446	1358
447	345
448	1
449	4
450	220
451	2011
452	802
453	735
454	1238
455	18
456	1966
457	2494
458	2126
459	790
460	1348
461	1797
462	268
463	1412
464	1915
465	2165
466	384
467	2115
468	334
469	378
471	2502
472	728
473	782
474	240
475	2205
476	316
477	266
478	266
479	386
480	1693
481	1290
482	532
483	1350
484	1203
485	46
486	318
487	220
488	181
489	182
490	148
491	120
492	148
494	1028
495	879
496	1139
497	374
498	500
499	79
500	3020
502	117
504	661
505	26
506	280
507	9
508	9
509	18
510	4
511	4
512	4
513	9
514	16
515	42
516	42
518	2221
519	29
520	774
522	442
523	689
524	166
525	543
526	326
527	1340
528	364
529	219
530	121
531	174
532	408
533	148
534	518
535	240
536	284
537	833
538	315
539	60
540	60
541	60
542	84
543	84
544	287
545	342
546	152
547	88
548	120
