Compound Id	96-h Tetrahymena toxicity as log(1/IGC50)
1	-0.321
2	0.185
3	0.277
4	0.504
5	0.670
6	-0.274
7	0.176
8	0.346
9	0.803
10	1.239
11	1.094
12	0.031
13	0.483
14	0.078
15	-0.242
16	-0.953
17	-0.252
18	N/A
19	0.473
20	0.871
21	1.118
22	0.506
23	-0.062
24	0.229
25	0.609
26	0.730
27	1.351
28	NTAS
29	-0.065
30	0.085
31	-0.381
32	-0.145
33	-1.043
34	-0.046
35	0.478
36	0.017
37	0.545
38	0.681
39	0.854
40	0.654
41	1.926
42	-0.192
43	0.206
44	0.635
45	0.473
46	0.980
47	0.913
48	1.233
49	1.292
50	1.383
51	1.195
52	2.092
53	NTAS
54	0.618
55	0.516
56	0.266
57	N/A
58	-0.093
59	0.056
60	1.024
61	-0.384
62	-0.143
63	0.013
64	0.702
65	1.038
66	1.648
67	2.033
68	-0.819
69	-0.780
70	-0.828
71	0.084
72	0.572
73	1.655
74	1.355
75	0.122
76	1.271
77	-0.029
78	0.789
79	1.036
80	0.700
81	1.403
82	1.297
83	1.096
84	1.123
85	0.009
86	0.640
87	1.128
88	0.929
89	0.396
90	0.573
91	2.113
92	0.122
93	0.842
94	0.795
95	1.745
96	0.113
97	1.562
98	0.360
99	2.373
100	0.418
101	NTAS
102	NTAS
103	2.097
104	1.862
105	1.695
106	2.050
107	1.635
108	1.278
109	1.277
110	1.779
111	1.788
112	1.245
113	1.230
114	1.802
115	1.357
116	2.208
117	1.750
118	1.812
119	-0.155
120	1.729
121	0.930
122	1.203
123	2.699
124	1.167
125	2.222
126	2.573
127	1.631
128	2.523
129	2.664
