Compound Id	soil sorption partition coefficient, normalized to organic carbon (Koc)
225	2.2
226	2.1
227	3.1
228	2.8
229	2.3
230	2.7
231	2.3
232	2.6
233	1.9
234	2.1
235	2.8
236	1.8
237	3
238	0.5
239	2.1
240	1.2
241	1.9
242	2.5
243	4.3
244	4.8
245	2
246	3.9
247	4.1
248	2.3
249	3.3
250	1.4
251	3.5
252	2.8
253	2.3
254	2
255	1.7
256	1.5
257	1.9
258	4.2
259	2.1
260	3.2
261	2.3
262	2.1
263	1.5
264	2
265	1.8
266	0.8
267	1.8
268	5.7
269	5.4
270	6.1
271	6.3
272	6
273	5.5
274	5.4
275	4.7
276	5
277	3.8
278	5.5
279	6
280	4.4
281	5.5
282	6
283	4.1
284	3
285	3.1
286	3.1
287	2.2
288	1.1
289	4.4
290	1.7
291	2.1
292	3.3
293	3.4
294	1.7
295	2.5
296	2.8
297	1.4
298	2.8
299	2
300	1.6
301	1.8
302	1.5
303	1.6
304	3.3
305	3.6
306	3.4
307	2.8
308	4.6
309	1.5
310	1.6
311	1.5
312	2
313	2.5
314	1.5
315	2.7
316	1.7
317	3.4
318	1
319	4.1
320	2.7
321	4.1
322	2.4
323	1.8
324	1.6
325	1.9
326	2.8
327	3.1
328	1.9
329	1
330	1.8
331	3.3
332	4.4
333	3.6
334	1.5
335	1.5
336	1.5
337	4.5
338	1.4
339	2.7
340	2.6
341	1.8
342	1.9
343	2
344	3.6
345	2.4
346	1.7
347	3.3
348	3.8
349	2.6
350	3
351	3.4
352	2
353	1.5
354	1.3
355	1.5
356	2.3
357	1.8
358	3.6
359	2.2
360	2.7
361	2.9
362	3.5
363	2.4
364	1.8
365	4.8
366	3.6
367	4.7
368	4.2
369	2.6
370	3.6
371	4.2
372	2.9
373	2.1
374	1.5
375	3.6
376	3.8
377	3.3
378	2
379	4.7
380	2.1
381	3.1
382	1.3
383	4
384	2.8
385	3.8
386	1.7
387	2.5
388	2.4
389	1.6
390	3.6
391	3.6
392	2.3
393	1.6
394	4.2
395	2.6
396	2.6
397	1.2
398	0.6
399	0.7
400	2.3
401	4
402	2.1
403	2.2
404	1.5
405	3.7
406	3.9
407	3.7
408	4
409	3.2
410	2.2
411	3.1
412	2.8
413	1.5
414	1.3
415	2.3
416	2.4
417	2.7
418	2.4
419	2.6
420	1.7
421	2.2
422	2.1
423	2
424	3.5
425	2.5
426	2.9
427	0.5
428	2.3
429	4.3
430	3.5
431	4.4
432	3.6
433	3.1
434	2.5
435	3.5
436	2.3
437	3
438	2
439	1.9
440	5.9
441	3.3
442	3.4
443	2.8
444	3
445	3.6
446	2.5
447	6
448	1.7
449	1.8
450	3.4
451	2.9
452	3
453	5.2
454	2.9
455	3.1
456	2.6
457	3.9
458	3.3
459	2.8
460	2.1
461	2.1
462	3.2
463	3.8
464	2
465	5
466	3.7
467	3.9
468	2.5
469	2.6
470	2.7
471	1.7
472	1.5
473	2.2
474	3.1
475	1.2
476	2.9
477	2.3
478	2.4
479	1.7
480	1.9
481	2.1
482	3.5
483	1.7
484	2.3
485	4.2
486	2.1
487	0
488	2.3
489	4.6
490	2
491	1.3
492	3.5
493	1.5
494	1.4
495	2.7
496	2.9
497	2
498	2
499	3.1
500	1.4
501	0.7
502	2.2
503	2.4
504	2.1
505	3.9
506	2.8
507	2
508	1.7
509	1.9
510	0.9
511	1.8
512	2.7
513	3.2
514	3.4
515	2.2
516	2.7
517	2
518	5
519	2.3
520	1.8
521	2.7
522	2.7
523	2.8
524	2.5
525	2.5
526	3.1
527	3.5
528	1.7
529	3.5
530	1.8
531	1.9
532	1.9
533	4.2
534	2.3
535	2.1
536	2.5
537	2.8
538	2.1
539	1
540	3.1
541	3.3
542	2.3
543	3.4
544	1.5
545	2
546	2.8
547	2.4
548	2.1
549	2.8
550	3.9
551	4
552	2.8
553	3.3
554	1.7
555	3.3
556	3.6
557	3
558	2.6
559	0.4
560	1.6
561	1.6
562	2.7
563	4.9
564	3.6
565	4
566	4
567	1.8
568	2.1
569	2.2
570	4.1
571	5.9
572	3.8
573	4.3
574	3.7
575	4.8
576	4.9
577	1.7
578	2.2
579	4.2
580	4.8
581	4.6
582	4.7
583	5.7
584	3.1
585	3
586	3
587	2.2
588	3.1
589	2
590	3.7
591	4.9
592	2.6
593	2.5
594	1.7
595	4.2
596	4.4
597	2
598	4.6
599	4
600	6
601	5.8
602	3.8
603	0.5
604	1.6
605	2.5
606	2.2
607	1.6
608	3.8
609	2.5
610	2.8
611	3
612	3.4
613	2.6
614	4
615	2.6
616	1.6
617	2.3
618	3.7
619	4
620	5
621	2.7
622	5
623	2.8
624	5
625	2
626	2
627	1.8
628	1.7
629	2.7
630	1.9
631	2.5
632	2.6
633	1.8
634	2.4
635	3.8
636	3
637	1.7
638	2
639	2.4
640	5.4
641	2.6
642	2
643	5.3
