Compound Id	40-h Tetrahymena toxicity as log(1/IGC50)
1	-2.6656
2	-1.9912
3	-1.7464
4	-1.8819
5	-1.4306
6	-1.5420
7	-1.3724
8	-1.0304
9	-1.1596
10	-1.2437
11	-0.9959
12	-1.1729
13	-0.9528
14	-1.0359
15	-0.8702
16	-1.7911
17	-1.3743
18	-0.3789
19	-0.7368
20	-0.6372
21	0.1050
22	-0.7052
23	0.5827
24	0.0011
25	0.0309
26	0.1673
27	0.1344
28	0.8551
29	0.6183
30	-0.1691
31	1.3354
32	0.8499
33	0.3404
34	1.9547
35	2.1612
36	2.4497
37	-0.7659
38	-2.0482
39	-2.3013
40	-2.2365
41	-1.6269
42	-1.9344
43	-1.9531
44	-1.2669
45	-1.4946
46	-1.9598
47	0.7640
48	0.2240
49	-1.6952
50	-1.1848
51	-1.3889
52	-1.2151
53	-1.5172
54	-1.4204
55	-1.3114
56	-0.7772
57	-0.8091
58	-1.2948
59	-1.3226
60	-0.4815
61	-1.5849
62	-0.5530
63	-0.7540
64	-0.8411
65	-1.8390
66	-1.1750
67	-1.6324
68	-1.0243
69	-1.4043
70	-0.3231
71	-0.6160
72	0.0170
73	-0.3759
74	-0.0425
75	0.3401
76	1.1273
77	2.3768
78	-1.9178
79	-1.4719
80	-1.6628
81	-1.0529
82	-2.1495
83	-1.2392
84	-1.1052
85	-1.4010
86	-1.3475
87	-0.4718
88	-0.8113
89	-0.7767
90	0.0452
91	0.3654
92	0.7701
93	0.7520
94	1.1284
95	1.6108
96	2.0915
97	-1.5954
98	-1.2968
99	-1.2382
100	-1.5900
101	-0.4864
102	-0.6794
103	0.1625
104	-0.0087
105	-0.1202
106	1.0570
107	1.8794
108	-0.9450
109	0.1704
110	-0.6935
111	-0.8148
112	-0.4095
113	-0.4903
114	-1.2709
115	-0.8893
116	-0.3580
117	-0.7231
118	-0.4138
119	0.5157
120	0.0094
121	-0.0431
122	-0.5908
123	0.0637
124	-1.6092
125	-1.2463
126	-0.8448
127	-1.1650
128	-0.5611
129	0.1039
130	0.5358
131	1.0419
132	1.3778
133	1.4248
134	-1.4982
135	-1.0221
136	-0.9336
137	-1.3081
138	-1.3719
139	-0.3824
140	-0.7826
141	-0.8791
142	-0.6355
143	0.2128
144	0.7282
145	-0.4892
146	-0.8595
147	1.0462
148	-1.1664
149	-0.6554
150	-0.6530
151	-0.3825
152	-0.2761
153	-0.8834
154	-2.2036
155	-1.7457
156	-1.2224
157	-1.4561
158	-1.1689
159	-1.3435
160	-1.2085
161	-1.2333
162	-1.4420
163	-0.4872
164	-0.6459
165	-0.6690
166	-0.1455
167	0.6598
168	0.0744
169	0.5822
170	0.6265
171	1.5346
172	1.6696
173	2.1192
174	1.5214
175	-1.1405
176	-0.8749
177	-0.4523
178	-2.2769
179	-1.9721
180	-1.4409
181	-1.6193
182	-1.0071
183	-0.8764
184	-1.3255
185	-0.3758
186	-0.7860
187	-0.2373
188	0.2834
189	0.6247
190	1.6498
191	1.9031
192	-1.4792
193	-0.9528
194	-0.1802
195	0.4839
196	0.9370
197	1.4868
198	1.8697
199	1.1457
200	1.0460
201	0.9978
202	-0.0029
203	1.0400
204	1.0200
205	0.6261
206	-0.0040
207	1.1911
208	-2.4518
209	-1.2205
210	-0.2567
211	0.0861
212	-0.2563
213	-0.6977
214	0.6207
215	-1.6100
216	-1.2485
217	-1.0697
218	-0.7963
219	0.1025
220	-1.9749
221	-1.6500
222	-0.9663
223	-0.9975
224	1.3536
225	0.7018
226	-0.8511
227	-1.2869
228	0.7918
229	-1.0573
230	-0.1265
231	1.6536
232	1.0106
233	0.2962
234	-1.1679
235	0.4069
236	1.6556
237	-0.0728
238	0.5566
239	-0.2422
240	-0.3778
241	-0.6378
242	-0.5114
243	0.1341
244	-1.2037
245	-0.0559
246	0.5123
247	-1.4503
248	-1.3722
249	-0.6802
250	-0.0796
251	-1.5780
252	-1.6510
253	-0.4855
254	-0.3805
255	-0.4328
256	-0.0223
257	-0.3107
258	-0.1731
259	-0.4745
260	-0.0544
261	-0.3744
262	-0.0019
263	0.4829
264	0.1608
265	0.8080
266	1.2815
267	1.6904
268	1.7595
269	1.2076
270	0.9485
271	-0.1255
272	-1.7171
273	-0.7588
274	-1.5691
275	-1.2403
276	-1.2609
277	-1.1897
278	-0.3798
279	0.0142
280	0.4928
281	-0.0773
282	-1.0738
283	-0.8678
284	-0.4024
285	-1.8836
286	-1.1776
287	-0.5724
288	-0.5549
289	0.6574
290	-0.3840
291	0.5112
292	-0.1949
293	-0.4604
294	-0.2650
295	-0.1895
296	-0.0336
297	0.1944
298	0.6486
299	0.9855
300	2.3665
301	-0.0267
302	0.6173
303	0.7426
304	0.4011
305	-0.8457
306	-0.9328
307	-1.4174
308	-1.4920
309	-1.3992
310	-0.7594
311	-0.7822
312	-0.9904
313	-0.4647
314	-0.7930
315	-0.2726
316	0.4878
317	0.0074
318	1.0424
319	0.1127
320	-0.4603
321	-1.1885
322	-0.4861
323	0.3923
324	-0.1312
325	-0.0802
326	0.2933
327	0.2177
328	0.5936
329	0.1263
330	-0.4980
331	-0.2809
332	-0.0290
333	-0.4655
334	-0.2147
335	0.5120
336	-0.9986
337	-0.9303
338	-0.6345
339	0.2868
340	-0.7711
341	-0.6929
342	1.3233
343	0.0305
344	-0.0444
345	-0.6773
346	-0.3321
347	-0.2857
348	0.1221
349	-0.5845
350	-0.5492
351	-0.0423
352	0.4907
353	0.4547
355	-1.3796
356	-0.9720
357	-1.3744
354	-0.8708
358	-1.8236
359	-1.6375
360	-1.5381
361	-0.2721
362	-0.9290
363	-1.6677
364	-1.4034
365	-0.3816
366	0.1298
367	0.5058
368	-1.8855
369	-1.6917
370	-1.8202
371	-0.9752
372	-1.6491
373	-1.9315
374	-1.7649
375	-1.6842
376	-0.6718
377	-0.9246
378	-0.9580
379	-0.5848
380	-0.5852
381	-0.7178
382	-0.6594
383	-0.6191
384	-1.4955
385	-1.6730
386	-1.7941
387	-1.8124
388	-1.4275
389	-1.6763
390	-1.8338
391	-1.5341
392	-1.7488
393	-0.7075
394	-0.5735
395	-0.8087
396	-0.4848
397	-0.6784
398	-0.2197
399	0.2109
400	0.3509
401	1.7011
402	2.0555
403	2.3279
404	-0.8635
405	-0.2616
406	-0.9083
407	-0.6708
408	-0.5774
409	-0.6846
410	-0.8129
411	-0.4774
412	-0.7559
413	-0.8973
414	-0.6978
415	-0.7095
416	-0.8260
417	-0.9818
418	-1.1451
419	-0.9104
420	-1.7903
421	-1.7725
422	-1.7027
423	-0.8332
424	-0.7045
425	-0.5123
426	-0.5720
427	-0.2674
428	-0.2083
429	-0.1126
430	0.0807
431	0.3509
432	0.5063
433	0.8983
434	-0.3334
435	-0.3415
436	-0.2543
437	-0.2331
438	-0.2724
439	-0.1523
440	0.0258
441	0.0756
442	-0.6424
443	-0.2222
444	-0.7087
445	-0.9395
446	-0.6387
447	-0.6060
448	-0.5845
449	-0.6643
450	-0.5116
451	-0.2676
452	-0.0863
453	-0.5448
454	-0.2774
455	-0.1279
456	0.2089
457	0.5995
458	-0.2942
459	-0.0570
460	0.7138
461	1.6271
462	1.6925
463	1.7212
464	1.7055
465	1.7496
466	0.3529
467	2.0605
468	2.7212
469	-0.3447
470	0.3395
471	0.4592
472	0.4149
473	0.6985
474	0.8601
475	1.0570
476	1.0241
477	0.7640
478	2.2076
479	1.4377
480	0.0205
481	1.4989
482	-0.4312
483	0.6345
484	0.1523
485	0.6409
486	0.2690
487	2.3768
488	1.4437
489	1.7620
490	0.5130
491	2.1675
492	1.9245
493	-0.8631
494	0.8453
495	0.9731
496	0.6256
497	2.0458
498	1.8827
499	2.2291
500	2.3979
