Compound Id	96-h Fathead minnow toxicity as log(1/LC50)
1	-2.64
2	-2.96
3	-1.60
4	-2.49
5	-2.10
6	-1.77
7	-2.21
8	-1.44
9	-1.87
10	-1.65
11	-1.94
12	-1.00
13	-0.74
14	-0.50
15	-1.29
16	-1.25
17	-1.37
18	-0.98
19	-0.19
20	-0.64
21	-0.85
22	-1.16
23	-0.73
24	0.52
25	-0.63
26	-0.58
27	-0.02
28	-0.73
29	0.09
30	-0.13
31	-0.94
32	-0.14
33	-0.26
34	0.55
35	-0.06
36	0.25
37	0.33
38	0.22
39	0.02
40	0.17
41	0.17
42	0.42
43	0.36
44	0.55
45	0.39
46	0.98
47	0.53
48	0.66
49	1.11
50	0.66
51	0.94
52	0.98
53	1.40
54	0.97
55	1.08
56	0.96
57	1.32
58	1.19
59	1.28
60	1.44
61	1.74
62	1.90
63	1.78
64	1.40
65	2.06
66	1.96
67	1.83
68	2.19
69	1.82
70	1.94
71	2.63
72	2.74
73	2.59
74	0.21
75	-1.53
76	-1.53
77	-0.19
78	-1.22
79	1.56
80	1.38
81	3.45
82	-0.88
83	-0.24
84	-1.59
85	1.59
86	0.84
87	-0.43
88	-0.84
89	-0.73
90	-0.72
91	-0.14
92	0.82
93	-0.10
94	-0.87
95	-0.58
96	0.34
97	0.10
98	-0.56
99	1.08
100	0.65
101	-0.09
102	-0.22
103	0.63
104	0.02
105	1.63
106	0.94
107	0.60
108	0.09
109	0.13
110	-0.01
111	1.60
112	1.02
113	0.67
114	0.05
115	0.81
116	1.80
117	-0.41
118	-0.17
119	2.37
120	0.92
121	-0.31
122	0.46
123	1.24
124	0.54
125	1.18
126	0.28
127	0.23
128	0.03
129	0.73
130	1.07
131	0.96
132	1.08
133	0.60
134	1.96
135	-0.02
136	0.66
137	0.92
138	0.73
139	1.73
140	0.51
141	0.37
142	0.02
143	1.74
144	0.67
145	0.69
146	1.35
147	0.11
148	0.70
149	1.82
150	0.59
151	3.06
152	0.88
153	0.57
154	0.22
155	0.82
156	0.89
157	0.88
158	0.93
159	0.25
160	2.11
161	1.81
162	0.97
163	3.19
164	1.79
165	1.69
166	0.36
167	0.73
168	0.87
169	1.32
170	0.85
171	2.25
172	0.73
173	0.92
174	3.72
175	1.07
176	0.78
177	0.77
178	0.73
179	0.95
180	0.72
181	3.09
182	1.22
183	1.02
184	1.66
185	1.34
186	2.02
187	1.49
188	1.40
189	1.35
190	1.99
191	1.44
192	1.29
193	1.62
194	1.17
195	1.32
196	1.17
197	2.23
198	1.10
199	1.09
200	1.47
201	1.58
202	2.65
203	2.52
204	2.16
205	2.73
206	2.16
207	1.85
208	1.82
209	1.80
210	1.64
211	1.80
212	1.98
213	1.63
214	2.52
215	1.70
216	2.18
217	2.93
218	2.78
219	2.75
220	2.29
221	2.35
222	2.91
223	3.72
224	3.23
225	3.04
226	3.20
227	0.29
228	0.38
229	0.78
230	2.26
231	-0.73
232	-0.24
233	-0.42
234	-0.08
235	0.23
236	0.04
237	0.76
238	0.21
239	2.11
240	-0.45
241	-0.06
242	0.81
243	0.53
244	0.53
245	0.84
246	1.14
247	1.58
248	1.21
249	1.52
250	2.40
