Compound Id	Tf
1	-54
4	-21.1
7	-23
10	-4
13	16.1
16	35
19	31
22	58
25	71
28	100
31	148
34	-11
37	32
40	51
43	47
46	71
49	57.2
52	52
55	83
58	107
61	13
64	12
67	33.3
70	28
73	37
76	41
79	57.8
82	73
85	87.8
88	82
91	81
94	103.9
97	117.8
100	-41
103	-15
106	-20
109	-32
112	21.1
115	62.8
118	98.9
121	135
124	-18.9
127	-15
130	63
133	-20
136	26
139	44
142	18
145	36
148	60
151	54
154	55.6
157	91.1
161	110
163	-10
166	-3
169	-2
172	18
175	2
178	24
181	24
184	25
187	80
190	50
193	59
196	71
199	0
202	32.8
205	43
208	-29
211	-1
214	-23
217	4.4
220	8.9
223	12.8
226	35
229	62.8
232	85
235	101.7
238	20
241	92
244	173
247	141.1
250	24
253	106
256	-18
259	48.9
262	1.7
265	20.6
268	68
271	-1.1
274	46.1
277	126
280	46.1
283	-43
286	-32
289	23.9
292	-12.2
295	31
298	-15
301	57.2
304	78.9
307	50.6
310	90
313	78.9
316	70
319	4
322	-15
325	107.2
328	20
331	73.9
334	47.8
337	74
340	42.2
343	-1.7
346	124
349	129
352	34
355	107.2
358	87
361	113.9
364	57.2
366	196
367	66.3
370	47.2
373	35
376	59
379	77.8
382	118
385	121.1
388	121.1
391	60
394	132
397	185
400	185
2	-37
5	-34
8	-48
11	-1
14	-5
17	15
20	24
23	46
26	79
29	132
32	165
35	4
38	27
41	53.9
44	44
47	59
50	57
53	65
56	95
59	140.6
62	21
65	32.6
68	29
71	11
74	33
77	68
80	93
83	102
86	73
89	110
92	86
95	153
98	123.9
101	-37.2
104	-14
107	-18
110	-11.1
113	4.4
116	25
119	77
122	112.8
125	-30
128	-6.7
131	52
134	-7
137	7.2
140	31
143	47
146	77
149	49
152	51
155	88
158	121
160	-19
164	-8
167	-3
170	15.6
173	12
176	12
179	26.7
182	23.9
185	32
188	58
191	88
194	53
197	115.6
200	2
203	16.7
206	71.7
209	-17
212	-9
215	16
218	-6.7
221	17
224	85
227	97
230	40
233	99
236	152.8
239	26
242	110
245	168
248	28
251	87.8
254	164
257	26.7
260	-17
263	18.3
266	70
269	87.8
272	-9.4
275	76.7
278	143
281	65.8
284	-32
287	-20
290	-15
293	33
296	51
299	74
302	35
305	85
308	67
311	82.2
314	64
317	143.9
320	60
323	51.7
326	16
329	39
332	132.2
335	66.1
338	55
341	61.1
344	43.3
347	32.2
350	98
353	38
356	49
359	194
362	150
365	82
368	68.3
371	65.6
374	94
377	110
380	85
383	96
386	116.1
389	71
392	146
395	110
398	160
3	-49
6	-20
9	-29
12	-12.2
15	11.1
18	-12
21	45
24	60
27	110
30	135
33	166
36	32
39	15
42	36
45	79
48	55
51	47
54	113
57	121
60	11
63	15
66	37.8
69	24
72	51
75	43
78	60
81	70
84	81
87	75
90	79
93	86
96	103.9
99	140.6
102	-18
105	-45
108	-20
111	-9
114	51
117	115
120	135
123	-27
126	13
129	-18.3
132	44
135	-9
138	34
141	35
144	49
147	62
150	39
153	77
156	104
159	112
162	-20
165	6
168	-6
171	15.6
174	14
177	2.2
180	18
183	37
186	83
189	45
192	90.6
195	98.9
198	148
201	21
204	40.6
207	-11.1
210	2.8
213	-9
216	-13.9
219	70
222	-1
225	87
228	62.8
231	29
234	51
237	110
240	37.2
243	115.6
246	107.2
249	35.6
252	106
255	179
258	55.6
261	-20.6
264	50.6
267	41
270	-36
273	11
276	48
279	32.2
282	87.8
285	25
288	-12
291	-9.4
294	28
297	29
300	32
303	61
306	47
309	12.8
312	60.6
315	78.3
318	66.1
321	10
324	12
327	93.3
330	77.2
333	26.7
336	62.8
339	12
342	36.1
345	121.1
348	67.2
351	110
354	46
357	23.9
360	127
363	79
369	58
372	110
375	135
378	72
381	30
384	117.2
387	82
390	93.3
393	121
396	157.2
399	165.6
