Compound Id	Tb
1	34.1
4	66.1
7	68.7
10	101.1
13	128
16	132
19	150.8
22	195.8
25	216.3
28	253.6
31	302.2
34	80.1
37	144.4
40	172.2
43	159.2
46	207.6
49	183.3
52	173.4
55	226
58	262
61	78.3
64	82.4
67	113.9
70	108
73	113.5
76	102.3
79	139.8
82	175.8
85	180
88	230.2
91	191
94	219
97	287.5
100	-24.9
103	65
106	38.9
109	56
112	90.6
115	170
118	238.9
121	285
124	52.7
127	69
130	178
133	56.3
136	130.7
139	156
142	116.7
145	145.6
148	195.3
151	140.5
154	154.5
157	200.5
161	239.3
163	56.3
166	77.1
169	79.7
172	106.8
175	89.5
178	126.1
181	121.6
184	142
187	195.7
190	157.2
193	177.8
196	198
199	77.4
202	135
205	163.6
208	56.5
211	77.9
214	56.3
217	104
220	132.8
223	167.5
226	155
229	176
232	217.1
235	260
238	115.5
241	237.1
244	304
247	279
250	120.1
253	232.6
256	38
259	169
262	98.5
265	152.7
268	199
271	84
274	138
277	270
280	152.1
283	12.3
286	34.8
289	101.6
292	12.1
295	129.6
298	84.7
301	156
304	181.8
307	161.7
310	211
313	204
316	181.5
319	50.9
322	63
325	185.2
328	110.6
331	169.5
334	158.8
337	209
340	148.9
343	84.7
346	245
349	238.9
352	140.5
355	218.9
358	137
361	209.5
364	180.4
366	354.8
367	190.5
370	156
373	124
376	152.1
379	195
382	244.5
385	244.7
388	251
391	177
394	266.7
397	379.8
400	453
2	49.3
5	75.6
8	49.7
11	98.4
14	101.1
17	125.7
20	140
23	174.1
26	235.4
29	270.6
32	316.7
35	110.6
38	139.1
41	163.5
44	169.2
47	183.3
50	183.8
53	202.2
56	233
59	270
62	96.9
65	121.2
68	117.7
71	81.5
74	137.8
77	161.1
80	205.4
83	218.9
86	183.5
89	252.2
92	202.7
95	296
98	287
101	6.6
104	66
107	86
110	80
113	92.3
116	142
119	226.2
122	269.4
125	47.9
128	74.8
131	168
134	81.4
137	101.9
140	129.8
143	150.4
146	202
149	168.2
152	140.9
155	185.5
158	250
160	32
164	73.1
167	81.5
170	97.2
173	99.1
176	101.6
179	132
182	149.2
185	146.8
188	176.7
191	212.9
194	150
197	265
200	97.4
203	117.9
206	191.1
209	32.4
212	63.5
215	105.6
218	92
221	109.2
224	199.7
227	221.5
230	159.6
233	217
236	302
239	128.5
242	205
245	307
248	115
251	211
254	304
257	115
260	35
263	126.6
266	195
269	275
272	92.1
275	188.9
278	291
281	168
284	45.1
287	59.4
290	68.3
293	129.5
296	156.2
299	188.3
302	132.2
305	184.5
308	179.3
311	191.6
314	184.4
317	311.2
320	128.7
323	133.5
326	92.5
329	124.5
332	266
335	143.9
338	178.6
341	165
344	135.1
347	116.1
350	204
353	135
356	144.4
359	315
362	319
365	179
368	187.8
371	171.2
374	195
377	204
380	183
383	223.3
386	249.9
389	188
392	282.4
395	273
398	322.8
3	36.1
6	80.7
9	58
12	80.6
15	119.4
18	99.2
21	178
24	195.9
27	256.1
30	286.5
33	330.6
36	145.2
39	136.2
42	152.4
45	218
48	172.9
51	177.3
54	255.3
57	340
60	64.7
63	97.2
66	111.7
69	99.5
72	140.9
75	131.7
78	157.5
81	171
84	195.2
87	213.1
90	181.8
93	201.9
96	232.2
99	295
102	35.7
105	34.5
108	88
111	83
114	153.3
117	259
120	297
123	20.2
126	104
129	64.4
132	162.8
135	79.5
138	175
141	127.2
144	144
147	173.5
150	117.8
153	163.3
156	205.7
159	223
162	54.1
165	30.2
168	67.2
171	99.5
174	102.5
177	138
180	116
183	143.3
186	199.5
189	171.5
192	214.9
195	219
198	323.5
201	119
204	141.3
207	55.6
210	88
213	68
216	82.2
219	184.6
222	84
225	200
228	193.5
231	139.5
234	180
237	269.5
240	158.3
243	235.5
246	246
249	131.4
252	221.7
255	325
258	162.5
261	67.7
264	169.1
267	176.9
270	37.3
273	115.4
276	151
279	119
282	221
285	71
288	72.2
291	78.5
294	119
297	132
300	143.3
303	179.5
306	158.9
309	114.4
312	180
315	201
318	109.5
321	87.1
324	79.7
327	182
330	160
333	87
336	155
339	101.4
342	136.1
345	230
348	165.5
351	204.8
354	154.1
357	115
360	244.8
363	191.4
369	167.9
372	218
375	278
378	196.8
381	143
384	237
387	196
390	231.2
393	243.3
396	411
399	298
