Compound Id	Indicator descriptor for SMARTS: c[Nv3]
Tab1_1	1
Tab1_2	1
Tab1_3	1
Tab1_4	1
Tab1_5	1
Tab1_6	1
Tab1_7	1
Tab1_8	1
Tab1_9	0
Tab1_10	0
Tab1_11	0
Tab1_12	1
Tab1_13	0
Tab1_14	1
Tab1_15	1
Tab1_16	1
Tab1_17	1
Tab1_18	0
Tab1_19	0
Tab1_20	1
Tab1_21	1
Tab1_22	0
Tab1_23	0
Tab1_24	1
Tab1_25	1
Tab1_26	1
Tab1_27	0
Tab1_28	0
Tab1_29	0
Tab1_30	0
Tab1_31	0
Tab1_32	0
Tab1_33	1
Tab1_34	1
Tab1_35	0
Tab1_36	0
Tab1_37	0
Tab1_38	0
Tab1_39	1
Tab1_40	0
Tab1_41	1
Tab1_42	1
Tab1_43	0
Tab1_44	1
Tab1_45	1
Tab1_46	0
Tab1_47	0
Tab1_48	0
Tab1_49	0
Tab1_50	0
Tab1_51	1
Tab1_52	1
Tab1_53	1
Tab1_54	1
Tab1_55	1
Tab1_56	1
Tab1_57	0
Tab1_58	1
Tab1_59	1
Tab1_60	0
Tab1_61	0
Tab1_62	1
Tab1_63	0
Tab1_64	1
Tab1_65	0
Tab1_66	0
Tab1_67	0
Tab1_68	1
Tab1_69	1
Tab1_70	1
Tab1_71	0
Tab1_72	0
Tab1_73	0
Tab1_74	1
Tab1_75	1
Tab1_76	0
Tab1_77	0
Tab1_78	0
Tab1_79	1
Tab1_80	0
Tab1_81	1
Tab1_82	0
Tab1_83	0
Tab1_84	0
Tab1_85	1
Tab1_86	0
Tab1_87	0
Tab1_88	0
Tab1_89	0
Tab1_90	1
Tab1_91	1
Tab1_92	1
Tab1_93	1
Tab1_94	1
Tab1_95	0
Tab1_96	1
Tab1_97	1
Tab1_98	1
Tab1_99	1
Tab1_100	1
Tab1_101	1
Tab1_102	0
Tab1_103	0
Tab1_104	0
Tab1_105	1
Tab1_106	1
Tab1_107	0
Tab1_108	1
Tab1_109	0
A	0
B	1
C	0
D	1
E	1
F	1
G	1
H	1
I	1
J	1
