Compound Id, Vapor pressure
1165, 1.589
1873, 2.041
1875, 1.167
1879, 4.389
1880, 3.69
1881, 2.512
1899, 1.927
1925, 3.836
1927, 3.155
1931, 3.301
1938, 1.462
1943, 3.348
1951, -0.258
1952, -2.763
1954, 2.338
1956, 1.52
1970, -6.369
1985, 3.371
1986, -1.502
1988, -0.462
1989, -1.299
1990, -2.87
1991, -2.422
1992, 0.206
1996, 3.822
1997, -4.211
1998, 1.883
1999, 3.303
2000, 2.233
2001, 0.805
2002, -0.803
2003, -2.011
2004, 1.615
2005, -4.824
2006, -3.125
