Compound Id, Biotransformation half-lives in fish
9, 0.700825461
10, 1.190825461
20, 0.770825461
21, 1.230825461
26, 0.230825461
66, 0.570825461
154, -0.609174539
185, 1.253016587
190, 1.596921024
191, 1.429107846
194, 2.253016587
196, 1.336921024
197, 1.951986591
198, 1.951986591
201, 2.010996649
202, 2.031167837
204, 1.650956596
212, 1.575891028
279, -0.454174539
286, -0.039174539
290, 0.270825461
300, -0.509174539
314, 1.710825461
319, -0.814174539
332, -0.844174539
333, -1.284174539
339, -0.874174539
342, -0.829174539
362, -0.404174539
386, 1.927492161
387, 0.047492161
388, 0.210825461
390, -1.194174539
391, -0.409174539
392, 0.020825461
393, 2.365825461
394, 1.596825461
395, -0.699174539
397, 1.720825461
398, -0.779174539
401, -1.179174539
409, -0.759174539
410, 0.760825461
417, 1.705825461
418, -0.744174539
422, -0.509174539
424, -1.129174539
428, -1.064174539
430, -0.409174539
433, -0.669174539
435, 0.695825461
436, -1.029174539
437, -0.914174539
438, 0.700825461
440, -0.569174539
441, -0.479174539
446, 0.410825461
447, -1.334174539
455, -0.519174539
456, 0.504158761
457, -0.609174539
459, -0.309174539
461, 1.787492161
464, -0.529174539
468, -0.934174539
469, -1.009174539
475, -0.089174539
480, 1.095825461
481, -0.614174539
495, -1.074174539
496, 0.395825461
497, 1.186825461
498, -1.189174539
499, 0.570825461
502, -1.019174539
513, -0.844174539
514, -0.819174539
518, -0.659174539
524, -0.814174539
529, 0.260825461
533, 2.435562261
536, -1.174174539
537, 0.649575461
539, 1.200825461
540, -0.939174539
541, -0.224174539
542, -0.964174539
543, 0.290825461
544, -0.939174539
545, 0.350825461
552, 0.318825461
553, 1.345825461
554, -0.244174539
555, -1.184174539
559, -0.059174539
560, -0.015841239
561, -0.064174539
562, 0.590825461
565, 0.550825461
566, 1.365825461
567, 1.700825461
568, -1.449174539
569, -0.969174539
570, 0.065825461
573, -0.224174539
575, -0.214174539
577, 0.030825461
583, 1.874158761
588, 0.690825461
594, 0.617968361
595, -0.879174539
596, 1.779396861
597, -1.049174539
599, 2.863682561
604, 1.160825461
616, 1.020825461
618, 0.230825461
619, 1.210825461
621, 1.220825461
623, 0.430825461
625, 0.560825461
631, -0.359174539
640, -1.009174539
646, -1.389174539
647, 1.570825461
648, 2.440825461
651, -0.704174539
653, -0.719174539
656, 1.445825461
659, -1.289174539
660, -1.014174539
663, -0.166674539
669, 0.020825461
673, 0.060825461
676, 0.920825461
677, -0.204174539
680, -0.769174539
683, 0.880825461
686, -0.134174539
699, -0.719174539
700, -0.384174539
701, -1.089174539
702, -0.919174539
703, -1.139174539
706, -0.769174539
710, -0.269174539
715, -0.509174539
717, -0.879174539
721, -0.039174539
736, -0.414174539
739, -0.829174539
741, -0.682507869
751, 1.985825461
753, 0.490825461
754, 0.440825461
761, 0.034158761
767, -0.879174539
769, 0.830825461
792, 0.518325461
799, 0.032254061
802, -1.329174539
804, 1.230825461
805, 1.440825461
814, -0.084174539
821, -0.654174539
822, -0.489174539
831, -0.914174539
851, -0.269174539
865, 0.225825461
871, -0.689174539
878, -1.149174539
881, -1.019174539
883, 2.200825461
902, 0.750825461
905, 0.270825461
925, 0.015825461
931, -1.079174539
932, 1.620825461
937, 1.800825461
946, 0.772825461
960, -0.519174539
976, 1.880825461
1003, -1.099174539
1010, 0.770825461
1016, 1.260825461
1027, -0.513174539
1028, -1.200841209
1036, 0.655825461
1043, 2.651518242
1049, 2.546539761
1057, 1.865825461
1059, 2.458825461
1060, 2.308325461
1061, 2.640825461
1070, 0.690825461
1075, 2.477492161
1111, 0.340825461
1112, -0.609174539
1113, 0.080825461
1114, 2.610825461
1115, 1.660825461
1116, 2.440825461
1117, 0.360825461
1118, 0.400825461
1119, 0.290825461
1120, 0.650825461
1121, 1.650825461
1122, -0.549174539
1123, -0.149174539
1124, 0.500825461
1125, -1.094174539
1126, -0.294174539
1127, 0.770825461
1128, -0.609174539
1129, -1.199174539
1130, 0.955825461
1131, -0.009174539
1132, 0.690825461
1133, -0.689174539
1134, -0.229174539
1135, -0.594174539
1136, -0.589174539
1137, 0.860825461
1138, 2.070825461
1139, 0.430825461
1140, -0.129174539
1141, -0.314174539
1142, -0.894174539
1143, -0.579174539
1144, -0.459174539
1145, -0.569174539
1146, 0.560825461
1147, -0.959174539
1148, -0.639174539
1149, -1.059174539
1150, -0.674174539
1151, -1.044174539
1152, -1.499174539
1153, 0.380825461
1154, 0.035825461
1155, 1.570825461
1156, -1.149174539
1157, -0.859174539
1158, -0.244174539
1159, -0.989174539
1160, -0.994174539
1161, -1.129174539
1162, -1.329174539
1163, -0.369174539
1164, -0.869174539
1165, -0.479174539
1166, -0.709174539
1167, 0.640825461
1168, 0.310825461
1169, -0.709174539
1170, -0.899174539
1171, -0.794174539
1172, 0.555825461
1173, -0.484174539
1174, -0.954174539
1175, 0.600825461
1176, -0.414174539
1177, -0.154174539
1178, -0.864174539
1179, 0.950825461
1180, 0.630825461
1181, -0.649174539
1182, -0.232507869
1183, 0.630825461
1184, 0.010825461
1185, -0.009174539
1186, 0.495825461
1187, 0.310825461
1188, -0.834174539
1189, -0.929174539
1190, 0.120825461
1191, 1.480825461
1192, 1.160825461
1193, -0.709174539
1194, 0.590825461
1195, -0.849174539
1196, -0.449174539
1197, 0.970825461
1198, 0.830825461
1199, -0.759174539
1200, -0.659174539
1201, -1.059174539
1202, 0.430825461
1203, -0.364174539
1204, -0.699174539
1205, 0.025825461
1206, -0.889174539
1207, 0.750825461
1208, -0.999174539
1209, -0.909174539
1210, 0.700825461
1211, 0.515825461
1212, -0.759174539
1213, 1.035825461
1214, 0.320825461
1215, -0.364174539
1216, -0.409174539
1217, 0.085825461
1218, -0.254174539
1219, -1.339174539
1220, -1.239174539
1221, 0.580825461
1222, -0.079174539
1223, -0.139174539
1224, -0.389174539
1225, 1.330825461
1226, 0.950825461
1227, 1.810825461
1228, 1.520825461
1229, 1.670825461
1230, 0.830825461
1231, -0.734174539
1232, 1.170825461
1233, 1.410825461
1234, 1.500825461
1235, -0.469174539
1236, -1.299174539
1237, 0.070825461
1238, 2.340825461
1239, 2.737492161
1240, 0.410825461
1241, -0.449174539
1242, -1.039174539
1243, 1.880825461
1244, 0.514158761
1245, -1.124174539
1246, -0.949174539
1247, -1.569174539
1248, 1.720825461
1249, -1.299174539
1250, -1.399174539
1251, 0.830825461
1252, -0.739174539
1253, -0.564174539
1254, -0.019174539
1255, -1.274174539
1256, 0.570825461
1257, -0.814174539
1258, -0.619174539
1259, 1.650825461
1260, 1.030825461
1261, 1.490825461
1262, 1.665825461
1263, 0.280825461
1264, 0.670825461
1265, 1.345825461
1266, -0.009174539
1267, -0.789174539
1268, 1.810825461
1269, -1.279174539
1270, 0.490825461
1271, 0.065825461
1272, 0.090825461
1273, 0.630825461
1274, 0.650825461
1275, 1.120825461
1276, 1.400825461
1277, 0.117492161
1278, -1.319174539
1279, 0.720825461
1280, -0.099174539
1281, 1.795825461
1282, 1.161921024
1283, -0.149174539
1284, 0.550825461
1285, 2.700825461
1286, -1.189174539
1287, 2.790825461
1288, -1.039174539
1289, 0.910825461
1290, 1.295825461
1291, 0.420825461
1292, 1.100825461
1293, 2.670825461
1294, 2.370825461
1295, 1.710825461
1296, 0.870825461
1297, 0.997492161
1298, -0.799174539
1299, 0.610825461
1300, 0.970825461
1301, 0.230825461
