Compound Id, Global half-life index
348, -0.33858
353, -1.59781
354, -1.59781
355, -0.33858
360, -1.59781
362, -0.57294
366, -1.59781
373, -1.59781
386, 2.76447
387, 2.42434
388, 2.42434
389, -1.51495
390, 2.68194
391, -0.47674
392, 2.42434
393, 2.85689
394, 3.09125
395, -0.47674
396, -1.51495
397, 2.85689
398, -1.41537
399, -1.51495
400, -1.0383
401, -0.57294
402, -2.29678
403, -1.36345
404, -1.59781
405, -1.59781
406, -2.06242
407, -2.29678
408, -0.55838
409, 2.20366
410, 2.68194
411, -1.59781
412, -2.29678
413, -2.29678
414, -2.29678
415, -0.81686
416, -0.1179
417, 3.7764
418, 0.94443
419, 0.46615
420, -1.84173
421, -2.79419
422, 2.20366
423, 0.94443
424, -1.03667
425, 0.90374
426, 2.68194
427, -2.29678
428, 1.9693
429, -1.69494
430, 0.70051
431, -1.84173
432, -0.09466
433, 2.68194
434, -1.84173
435, 1.16423
436, -0.57294
437, -1.0383
438, 1.16423
439, -1.07035
440, 0.36039
441, -0.44468
442, -0.89972
443, -1.59781
444, -1.84173
445, -0.1179
446, -0.1179
447, -0.57294
448, -1.41537
449, -0.57294
450, -1.76844
451, -1.14365
452, -1.27102
453, 0.70051
454, 0.22223
455, -3.13431
456, 1.9693
457, -0.57294
458, -2.79419
459, 0.22223
460, 0.22223
461, 2.54378
462, -0.36015
463, -0.81686
464, 1.9693
465, -1.27102
466, 0.22223
467, -0.79274
468, 0.29552
469, -0.44468
470, -0.89972
471, 0.22223
472, -1.07035
473, -2.29678
474, -0.47674
475, -0.47674
476, 0.22223
477, -1.59781
478, -1.84173
479, 0.22223
480, 1.9693
481, -1.76844
482, -1.07035
483, -2.79419
484, 2.20366
485, 0.47983
486, -1.27102
487, -2.29678
488, -2.29678
489, -0.47674
490, -1.27102
491, -1.59781
492, -1.59781
493, -1.27102
494, 0.22223
495, -0.47674
496, 0.22223
497, 1.9693
498, 1.72538
499, -0.47674
500, 0.22223
501, 0.94443
502, 1.72538
503, -2.79419
504, -2.29678
505, -1.27102
506, -1.84173
507, 0.94443
508, 0.22223
509, -1.07035
510, -2.5407
511, -1.59781
512, -0.81686
513, -0.81686
514, -0.20076
515, -1.27102
516, 0.22223
517, -0.47674
518, -0.47674
519, -1.07035
520, 0.94443
521, -2.29678
522, -1.76844
523, -0.47674
524, -0.47674
525, 0.22223
526, -1.07035
527, -2.29678
528, -0.47674
529, 0.22223
530, -0.73023
531, -0.47674
532, 0.3218
533, 4.73296
534, -1.59781
535, 0.70051
536, -0.79274
537, 1.16423
538, -1.84173
539, 1.9693
540, -0.89972
541, -0.44468
542, -1.07035
543, -2.17322
544, 0.46615
545, -1.07035
546, -2.79419
547, -2.79419
548, -0.57294
549, 0.22223
550, -2.09522
551, 0.46615
552, 2.42434
553, 0.12603
554, -1.41537
555, -0.33858
556, -2.79419
557, -1.07035
558, -1.59781
559, 2.42434
560, 2.42434
561, 2.42434
562, 2.42434
563, -0.47674
564, -0.47674
565, -0.47674
566, 2.35948
567, 3.09125
568, 0.22223
569, 0.22223
570, 1.27122
571, -0.81686
572, -0.1179
573, 0.22223
574, 0.36039
575, 1.9693
576, -0.47674
577, -0.1179
578, 1.72538
579, -1.27102
580, -1.59781
581, -1.07035
582, -1.59781
583, 3.44598
584, -1.0383
585, -1.84173
586, -1.07035
587, -1.59781
588, 2.54378
589, 2.54378
590, -1.07035
591, -1.16188
592, -0.1179
593, -1.07035
594, 1.02729
595, -0.47674
596, 2.09756
597, 0.59495
598, -0.23282
599, 4.97688
600, 2.39699
601, 0.54901
602, -0.36976
603, 0.36039
604, 3.35341
605, 3.7764
606, 1.39859
607, -0.47674
608, -1.16188
609, 3.7764
610, -0.37139
611, 3.6802
612, 4.25468
613, 2.39699
614, 4.4986
615, 4.4986
616, 2.09756
617, 0.22223
618, 1.05847
619, 3.01329
620, 1.05847
621, 3.35341
622, 1.05847
623, 1.05847
624, 2.34148
625, 2.09756
626, 1.02729
627, 4.73296
