Compound Id, The soil sorption partition coefficient
1, 1.64
4, 3.09
5, 2.61
9, 3.39
51, 2.57
54, 1.27
56, 2.32
57, 2.11
59, 2.08
60, 2.28
66, 2.95
67, 1.61
70, 1.74
72, 1.65
98, 2.64
99, 1.69
123, 2.01
129, 1.88
149, 2.01
151, 3
153, 1.55
170, 2.13
219, 4.14
288, 4.2
328, 2.21
340, 4.14
347, 2.2
348, 1.84
355, 2
362, 3.14
370, 2.06
386, 5.33
387, 5.83
388, 6.25
389, 1.46
390, 1.85
391, 3.2
392, 5.4
394, 3
397, 4.44
398, 1.41
399, 0.78
401, 2.37
402, 0.2
404, 0
405, 1.5
406, 0.44
409, 1.65
410, 3.34
412, 0.48
413, 0.5
414, 0.7
415, 1.94
416, 4.9
417, 4.76
422, 1.44
423, 1.79
425, 0.44
428, 1.69
430, 2.02
433, 1.9
435, 4.32
436, 3.72
437, 3.08
438, 3.69
440, 3.03
442, 2.06
443, 1.07
444, 1.56
445, 3.36
446, 3.11
447, 3
449, 3.25
450, 3.46
451, 1.48
453, 3.49
454, 2.38
455, 1.34
456, 2.51
459, 3.6
460, 3.12
461, 3.2
462, 2.96
467, 1.59
468, 2.07
470, 2.06
471, 2.32
472, 2.96
473, 0.7
474, 1.54
475, 3.29
476, 2.87
477, 1.45
479, 2.47
480, 2.54
481, 1.97
483, -0.31
484, 1.54
494, 2.77
495, 1.73
496, 2.82
497, 2.85
498, 2.34
500, 2.2
502, 2.38
506, 1.43
510, 1.88
521, 1.01
524, 1.52
527, 1.56
530, 1.45
532, 1.57
533, 3.79
536, 2.67
537, 4.34
538, 2.05
539, 3.05
540, 2.75
542, 2.26
543, 2.68
544, 2.12
545, 2.78
548, 1.23
552, 4.79
553, 3.91
554, 3.51
555, 2.83
558, 1.46
559, 5.49
560, 4.71
561, 4.99
562, 5.5
565, 3
566, 4.4
568, 2.5
569, 2.81
570, 2.75
572, 3.63
573, 2.8
575, 2.48
577, 4.08
578, 3.1
583, 4.41
588, 3.76
589, 3.35
591, 2.38
592, 3.78
593, 1.61
594, 4.15
597, 2.21
598, 1.5
600, 4.42
601, 3.28
602, 3.35
603, 2.85
608, 1.3
609, 3.14
610, 2.71
617, 4
626, 2.46
628, 0.56
629, 1.4
630, 1.6
631, 3.18
632, 6.1
633, 1.03
634, 0.36
635, 5.36
636, 3.35
637, 2.79
638, 3.87
639, 1.5
640, 1.08
641, 1.54
642, 0.85
643, 1.67
644, 1.56
645, 1.43
646, 2.04
647, 4.08
648, 4.8
649, 1.34
650, 0.34
651, 2.2
652, 1.48
653, 1.81
654, 2.2
655, 1.79
656, 4.01
657, 3.17
658, 3.7
659, 1.4
660, 1.81
661, 2.96
662, 3.9
663, 4.56
664, 3.85
665, 3.57
666, 3.14
667, 4.72
668, 4.81
669, 4.92
670, 1.55
671, 1.56
672, 3.7
673, 3.68
674, 2
675, 2.25
676, 3.29
677, 3.34
678, 2.4
679, 3.03
680, 2.21
681, 2.34
682, 2.03
683, 3.52
684, 2.37
685, 2.87
686, 4.35
687, 5.81
688, 3.37
689, 3.22
690, 2.93
691, 2.1
692, 2.52
693, 1.86
694, 2.3
695, 3.16
696, 2.59
697, 2.83
698, 1.73
699, 2.55
700, 2.16
701, 2.29
702, 3.09
703, 1.98
704, 2.36
705, 1.5
706, 1.73
707, 3.35
708, 1.9
709, 1.3
710, 2.53
711, 1.56
712, 2.48
713, 1.77
714, 1.43
715, 1.88
716, 1.65
717, 2.28
718, 3.24
719, 2.65
720, 1.4
721, 3.96
722, 1.99
723, 1.89
724, 1.82
725, 4.12
726, 4.19
727, 3.22
728, 1.45
729, 1.43
730, 1.95
731, 3.4
732, 2.61
733, 3.02
734, 1.96
735, 2.41
736, 1.85
737, 1.9
738, 1
739, 1.72
740, 1.54
741, 2.18
742, 1.65
743, 1.01
744, 2.83
745, 1.14
746, 2.59
747, 3.52
748, 1.61
749, 2.79
750, 4.13
751, 3.7
752, 2.52
753, 4.05
754, 4.97
755, 4.38
756, 2.32
757, 2.72
758, 4.02
759, 3
760, 2.31
761, 2.63
762, 1.94
763, 1.77
764, 2.98
765, 0.45
766, 1.92
767, 2.47
768, 4.28
769, 4.05
770, 2.3
771, 3.27
772, 1.4
773, 2.3
774, 2.04
775, 1.66
776, 1.89
777, 2.09
778, 3.24
779, 2.25
780, 2.05
781, 1.5
782, 1.95
783, 1.75
784, 0.78
785, 1.77
786, 5.71
787, 5.38
788, 6.07
789, 6.33
790, 6.02
791, 5.36
792, 3.75
793, 6.02
794, 4.39
795, 5.46
796, 6.02
797, 4.11
798, 3.11
799, 3.13
800, 2.23
801, 1.05
802, 1.73
803, 2.11
804, 3.25
805, 3.36
806, 1.73
807, 1.43
808, 1.97
809, 1.57
810, 1.75
811, 1.48
812, 1.6
813, 3.31
814, 3.38
815, 4.62
816, 1.53
817, 1.58
818, 1.45
819, 1.97
820, 1.52
821, 2.72
822, 1.72
823, 3.38
824, 0.97
825, 4.13
826, 2.65
827, 2.42
828, 1.79
829, 1.58
830, 1.86
831, 2.83
832, 1.92
833, 0.99
834, 1.77
835, 3.25
836, 3.56
837, 1.51
838, 1.45
839, 1.54
840, 4.45
841, 1.42
842, 2.74
843, 2.55
844, 1.78
845, 1.93
846, 2.01
847, 3.62
848, 2.44
849, 1.73
