Compound Id, Vapor pressure
1, -6.36
4, -6.7
5, -7.82
7, -9.51
8, -7.19
9, -6
10, -5.56
12, -6.87
16, -5.8
17, -6.59
18, -11.56
20, -7.89
21, -5.87
22, -7.43
23, -7.52
24, -9.6
25, -9.01
26, -7.03
27, -7.4
28, -6.92
98, -5.8
109, -5.62
117, -5.54
123, -4.06
129, -10.27
131, -8.52
133, -9.2
134, -8.35
136, -6.92
137, -10.65
144, -11.12
146, -8.18
147, -6.82
