Compound Id, Inhibition of the exponential growth rate of algea
2, 3.93
4, 4.36
5, 5.16
7, 4.49
10, 5.15
11, 4.61
15, 4.69
19, 5.44
22, 6.01
23, 5.06
29, 5.5
33, 5.5
36, 6.51
39, 4.62
41, 4.98
45, 5.48
46, 4.13
47, 4.51
54, 3.6
58, 3.09
62, 3.11
65, 5.57
67, 6.72
68, 4.88
92, 3.84
93, 3.36
94, 3.28
150, 3.1
162, 4.94
163, 6.05
166, 6.12
167, 5.38
170, 3.23
171, 5.3
172, 4.75
