Compound Id, Short-term toxicity to Daphnia
1, 4.14
2, 2.84
3, 3.1
4, 3.75
5, 4.61
6, 4.88
7, 3.76
8, 3.54
9, 4.53
10, 4.62
11, 3.95
12, 5.03
13, 4.47
14, 4.64
15, 4.97
16, 4.23
17, 4.12
18, 3.11
19, 4.58
20, 5.04
21, 5.09
22, 5.17
23, 4.63
24, 5.72
25, 3.81
26, 4.88
27, 5.29
28, 4.62
29, 4.55
30, 4.88
31, 3.62
32, 3.09
33, 5.42
34, 3.69
35, 3.6
36, 3.64
37, 3.99
38, 3.67
39, 3.62
40, 3.6
41, 5.11
42, 4.49
43, 3.82
44, 3.52
45, 5.42
46, 3.55
47, 3.64
48, 4.47
49, 3.81
50, 3.63
51, 4.05
52, 3.15
53, 3.29
54, 3.74
55, 3.18
56, 4.03
57, 4.28
58, 3.09
59, 3.41
60, 3.69
61, 3.68
62, 3.19
63, 4.84
64, 5.66
65, 4.42
66, 4.69
67, 3.5
68, 4.49
69, 3.41
70, 3.41
71, 5.58
72, 2.92
73, 3.6
74, 6.22
75, 5.9
76, 4.46
77, 4.21
78, 5.55
79, 3.47
80, 3.66
81, 3.4
82, 4.49
83, 3.13
84, 4.81
85, 3.05
86, 3.08
87, 3.4
88, 3.65
89, 5.92
90, 3.48
91, 3.66
92, 3.32
93, 3.36
94, 3.28
95, 3.66
96, 3.7
97, 5.33
