Compound Id, The octanol-air partition coefficient
175, 7.34
176, 7.44
177, 8.36
178, 8.45
179, 8.13
180, 8.52
181, 8.54
182, 8.61
183, 9.3
184, 9.37
185, 9.46
186, 8.94
187, 9.18
188, 9.48
189, 9.54
190, 10.37
191, 10.55
192, 10.04
193, 9.95
194, 10.66
195, 10.86
196, 11.66
197, 11.19
198, 11.13
199, 11.2
200, 11.97
201, 11.83
202, 11.92
203, 11.97
204, 11.96
