Compound Id, Acute toxicity to fish (lethality)
300, 5.94
331, 4.8
333, 4.42
339, 4.47
346, 4.07
347, 3.82
348, 3.85
354, 3.81
360, 2.32
362, 5.45
363, 3.67
364, 4.85
365, 4.79
366, 3.23
368, 3.5
369, 3.91
370, 4.21
371, 4.71
373, 2.58
374, 4.52
375, 3.88
376, 4.38
377, 4.59
378, 4.19
379, 3.57
381, 4.17
382, 5.02
383, 4.56
384, 4.37
385, 3.89
389, 2.26
395, 1.46
398, 2.95
401, 4.36
402, 0.5
406, 0.04
407, 0.84
408, 0.91
409, 3.23
410, 5.22
412, 1.12
413, 1.63
414, 2.27
415, 3.5
421, 3.12
422, 2.41
424, 1.06
426, 4.43
427, 1.71
428, 2.95
429, 1.35
430, 3.47
433, 3.92
440, 4.61
442, 2.94
446, 4.32
454, 3.81
455, 3.89
456, 4.19
457, 4.35
459, 4.19
461, 5.8
464, 3.41
465, 1.75
467, 2.87
468, 3.02
470, 3.49
471, 4.01
472, 4.41
475, 4.63
478, 3.87
479, 4.08
480, 4.56
481, 3.61
484, 2.86
485, 1.56
493, 2.28
494, 3.82
500, 3.41
501, 2.36
502, 3.82
504, 2.15
505, 2.2
506, 3.46
507, 2.81
510, 2.44
512, 1.52
513, 3.05
515, 2.94
516, 4.54
518, 4.27
520, 2.9
521, 3.02
527, 3.98
530, 4.38
536, 4.09
538, 4.08
539, 4.78
540, 4.32
541, 3.88
542, 3.19
543, 4.37
545, 4.65
547, 3.69
548, 0.93
556, 1.47
568, 4.22
570, 4.51
574, 5.06
575, 4.26
579, 2.37
583, 6
588, 5.29
593, 5.42
595, 2.12
636, 5.35
646, 3.45
660, 3.21
664, 4.95
677, 6.08
678, 5.65
679, 4.49
684, 3.96
700, 4.05
701, 4.33
715, 3.04
717, 3.03
734, 3.56
736, 4.32
737, 2.83
745, 3.53
746, 4.82
751, 5.79
752, 3.85
767, 4
776, 4.4
781, 3.23
783, 3.05
802, 3.15
845, 3.1
851, 4.73
860, 4.41
867, 6.16
888, 5.29
920, 2.61
925, 6.61
946, 6.04
956, 5.93
1003, 4.73
1070, 8.45
1073, 7.39
1136, 7.88
1138, 6.46
1143, 3.73
1171, 3.73
1182, 6.2
1184, 4.8
1212, 4.45
1214, 5.78
1217, 4.51
1218, 3.61
1236, 4.02
1269, 4.18
1270, 4.47
1278, 2.84
1309, 4.64
1589, 2.68
1590, 4.23
1591, 1.23
1592, 3.7
1593, 3.42
1594, 3.11
1595, 2.75
1596, 4.49
1597, 3.13
1598, 3.76
1599, 4.63
1600, 0.36
1601, 7.29
1602, 3.01
1603, 1.4
1604, 2.92
1605, 3.06
1606, 2.18
1607, 1.91
1608, 2.69
1609, 1.31
1610, 1.47
1611, 4.58
1612, 5.38
1613, 4.17
1614, 4.73
1615, 4.36
1616, 2.54
1617, 4.73
1618, 4.44
1619, 5.52
1620, 3.53
1621, 5.17
1622, 4.56
1623, 4.02
1624, 3.75
1625, 4.74
1626, 3.49
1627, 3.94
1628, 2.86
1629, 4.09
1630, 2.55
1631, 3.44
1632, 3.51
1633, 1.82
1634, 3.02
1635, 4.03
1636, 2.16
1637, 2.41
1638, 0.9
1639, 3.39
1640, 4.17
1641, 3.66
1642, 3.17
1643, 5.56
1644, 3.26
1645, 3.18
1646, 2.28
1647, 4.75
1648, 1.04
1649, 3.72
1650, 3.7
1651, 2.11
1652, 2.02
1653, 4.99
1654, 3.57
1655, 2.16
1656, 2.5
1657, 2.86
1658, 3.39
1659, 3.82
1660, 3.21
1661, 1.78
1662, 1.18
1663, 3.17
1664, 3.55
1665, 4.68
1666, 3.25
1667, 3.74
1668, 3.72
1669, 1.75
1670, 5.36
1671, 4.4
1672, 5.06
1673, 4.82
1674, 2.7
1675, 5.26
1676, 4.7
1677, 3.63
1678, 2.39
1679, 3.87
1680, 3.28
1681, 3.26
1682, 3.92
1683, 3.93
1684, 4.35
1685, 2.6
1686, 3.73
1687, 2.87
1688, 6.26
1689, 2.59
1690, 3.11
1691, 4.68
1692, 3.24
1693, 2.47
1694, 3.01
1695, 4.8
1696, 3.07
1697, 3.92
1698, 4.74
1699, 5.26
1700, 3.7
1701, 3.56
1702, 3.82
1703, 4.23
1704, 3.78
1705, 4.96
1706, 3.61
1707, 5.28
1708, 3.51
1709, 3.18
1710, 3.17
1711, 3.82
1712, 3.66
1713, 4.08
1714, 4.8
1715, 3.42
1716, 3.36
1717, 4.94
1718, 2.55
1719, 3.38
1720, 4.02
1721, 4.18
1722, 2
1723, 3.67
1724, 4.76
1725, 3.57
1726, 3.22
1727, 4.42
1728, 3.61
1729, 5.74
1730, 2.49
1731, 2.85
1732, 3.81
1733, 6.72
1734, 5.59
1735, 3.92
1736, 3.6
1737, 3.85
1738, 4.91
1739, 3.46
1740, 1.69
1741, 3.13
1742, 3.75
1743, 5.09
1744, 4.76
1745, 4.09
1746, 5.25
1747, 2.73
1748, 4.4
1749, 4.51
1750, 4.7
1751, 1.78
1752, 2.46
1753, 3.98
1754, 4.83
1755, 3.25
1756, 3.84
1757, 3.78
1758, 2.98
1759, 3.69
1760, 3.72
1761, 5.49
1762, 3.97
1763, 3.92
1764, 4.58
1765, 2.76
1766, 4.42
1767, 4.99
1768, 6.3
1769, 3.41
1770, 3.29
1771, 2.42
1772, 2.57
1773, 2.9
1774, 3.98
1775, 3.37
1776, 2.99
1777, 2.83
1778, 2.86
1779, 4.42
1780, 3.54
1781, 2.74
1782, 4.31
1783, 5.68
1784, 5.23
1785, 4.74
1786, 3.95
1787, 5.52
1788, 3.89
1789, 5.67
1790, 4.54
1791, 5.18
1792, 5.03
1793, 4.7
1794, 3.38
1795, 5.73
1796, 3.92
1797, 4.21
1798, 4.42
1799, 3.78
1800, 3.6
1801, 3.76
1802, 4.22
1803, 5.63
1804, 3.1
1805, 3.3
1806, 3.69
1807, 4.58
1808, 4.32
1809, 2.96
1810, 6.48
1811, 5.04
1812, 3.59
1813, 5.3
1814, 6.04
1815, 3.85
1816, 4.26
1817, 3.6
1818, 3.53
1819, 3.52
1820, 5.75
1821, 3.09
1822, 1.65
1823, 4.8
1824, 3.4
1825, 4.56
1826, 3.01
1827, 3.88
1828, 2.98
1829, 2.26
1830, 3.73
1831, 3.12
1832, 5.19
1833, 4.47
1834, 6.09
1835, 4.68
1836, 2.57
1837, 2.32
1838, 2.65
1839, 2.62
1840, 5.19
1841, 2.94
1842, 5.91
1843, 4.8
1844, 3.73
1845, 7.75
1846, 5.99
1847, 5.05
1848, 3.02
1849, 4.11
1850, 3.25
1851, 2.88
1852, 2.92
1853, 6.23
1854, 2.78
1855, 2.12
1856, 4.56
1857, 3.46
1858, 2.39
1859, 3.33
1860, 4.06
1861, 2.44
1862, 5.69
1863, 2.94
1864, 6.58
1865, 4.81
1866, 4.47
1867, 5.77
1868, 3.75
1869, 3.78
1870, 5.84
1871, 5.95
