Compound Id, LD50_fish
348, 1.12
352, 1.03
354, 0.81
359, 2.6
360, -0.64
361, 2.4
362, 2.49
363, 0.67
364, 1.85
365, 1.79
366, 0.23
367, 1.97
368, 0.5
369, 0.93
370, 1.21
371, 1.71
372, 1.02
373, -0.42
374, 1.52
375, 0.89
376, 1.38
377, 1.59
378, 1.19
379, 0.64
380, 2.14
381, 1.17
382, 2.02
383, 1.56
384, 1.4
385, 0.9
