Compound Id, Vapour pressure
175, 0.79
176, 0.89
177, 1.78
178, 1.86
179, 1.56
180, 1.92
181, 1.95
182, 2.01
183, 2.68
185, 2.8
186, 2.34
187, 2.65
188, 2.86
189, 2.99
190, 3.5
191, 3.62
192, 3.4
193, 3.31
194, 3.81
195, 4.19
196, 4.29
197, 4.17
198, 4.43
199, 4.29
201, 5.07
207, 4.29
208, 5.17
212, 6.04
213, 6.77
214, 1.8
215, 2.68
216, 2.75
217, 2.68
218, 4.52
