Compound Id, Short-term toxicity to Daphnia
348, 0.41
349, 0.65
350, 1.02
351, 0.34
352, -0.1
356, 1.36
360, -1.14
362, 1.91
364, 1.33
373, -0.91
376, 2.17
434, 0.16
436, 2.51
754, 1.55
755, 2.34
2007, 1.59
2008, 0.65
2009, -0.24
2010, -0.54
2011, -0.49
2012, 0.43
2013, 0.64
2014, 1.19
2015, -0.7
2016, 2.04
2017, -0.76
2018, -0.82
2019, 0.05
2020, 0.47
