id,Class
c01,P
c02,P
c03,P
c04,N
c05,P
c06,P
c07,P
c10,N
c11,N
c12,P
c13,N
c14,N
c15,P
c16,P
c17,P
c18,P
c19,P
c20,P
c21,P
c22,P
c23,N
c24,P
c25,P
c26,P
c27,P
c28,P
c29,P
c30,P
c31,P
c32,N
c33,P
c34,N
c35,P
c36,P
c37,P
c38,P
c39,N
c40,N
c41,N
c42,P
c43,N
c44,N
c45,N
c46,N
c47,P
c48,P
c49,N
c50,P
c51,P
c52,N
c53,N
c54,N
c55,N
c56,N
c57,N
c58,P
c59,N
c60,P
c61,P
c62,P
c63,N
c64,P
c65,P
c66,P
c67,P
c68,P
c69,P
c70,P
c71,P
c72,P
