id	
c01	4.323
c02	2.153
c03	1.992
c04	1.332
c06	4.127
c07	3.219
c10	1.539
c12	2.872
c13	2.114
c15	2.265
c16	3.422
c17	4.505
c18	3.342
c19	3.068
c20	5.49
c21	4.446
c22	3.394
c23	1.973
c24	2.75
c25	3.125
c26	2.971
c27	3.018
c28	3.036
c29	4.054
c30	3.346
c31	2.882
c32	1.377
c33	2.945
c34	2.362
c35	3.971
c36	4.928
c37	3.364
c38	3.923
c39	1.919
c40	1.631
c41	2.25
c42	3.524
c43	1.664
c44	2.208
c45	2.208
c46	-1.2
c47	4.228
c48	3.305
c49	1.029
c50	5.163
c52	1.467
c53	0.603
c54	1.27
c55	1.68
c56	-0.167
c57	0.162
c58	4.607
c59	1.678
c60	2.823
c61	3.4
c62	2.384
c63	1.634
c64	3.81
c65	2.924
c66	3.369
c67	4.254
c68	4.639
c69	3.879
c70	1.939
c71	6.137
c72	3.411
