Compound Id	PBT Index
1	3.85
4	-1.09
6	0.53
9	2.02
10	-1.25
11	-2.5
12	2.64
13	-1.38
14	-2.2
15	-2.37
16	-0.05
19	-2.29
20	-0.59
22	-3.08
23	-2.29
24	0.33
25	2.32
26	-0.6
27	-2.94
28	-2.48
29	-1.99
30	-0.81
31	1.91
32	4.16
33	-0.23
37	0.1
39	-1.93
40	-0.4
41	1.4
42	-2.48
43	-0.01
44	-2.28
45	0.18
46	-1.88
47	-1.37
49	0.8
50	-1.45
51	0.25
52	0.96
53	2.15
54	0.77
55	-0.35
56	2.03
57	-0.09
58	1.01
59	-0.38
60	-0.59
61	-0.47
62	-0.68
63	0.57
64	0.46
65	-0.61
66	0.23
67	0.91
69	0.56
70	0.66
71	1.04
72	-0.01
73	-1.22
74	1.39
75	-0.19
76	-0.94
77	0.6
79	2.97
80	1.1
81	-0.17
82	0.33
83	-1.78
84	0.29
85	-0.19
86	-0.63
87	-0.5
88	-0.81
89	0.05
90	-0.24
91	-0.77
92	-0.23
93	0.78
95	-0.29
96	-0.19
97	0.12
98	1.63
99	-0.98
101	-0.39
102	-0.25
103	-1.56
104	-0.87
105	-0.89
107	-2.05
109	-1.44
110	-1.69
111	-1.44
112	-1.39
113	0.01
114	-0.57
115	0.88
116	2.25
117	0.82
119	-0.25
120	-0.31
121	0.82
123	-1.77
124	-1.31
125	-0.86
126	-0.13
127	-1.24
130	-2.26
132	-1.95
133	-0.98
134	-0.58
135	-0.95
137	-1.03
140	-0.3
141	-1.49
143	-0.95
144	-0.57
148	-0.55
150	0.04
152	-0.86
154	-0.22
155	0.08
156	-0.31
157	2.1
158	-0.54
159	2.1
160	-0.01
161	-0.35
162	-0.9
163	-0.42
165	0.42
166	-2.52
167	-1.63
168	-0.9
169	-2.36
172	-0.36
174	0.14
175	1.54
176	-0.42
177	-0.65
179	-1.04
181	-1.03
188	0.41
189	2.45
190	1.88
191	0.12
192	0.15
193	0.97
194	-0.57
196	0.88
197	0.18
198	1.52
201	1.17
202	-1.34
203	-1.34
205	-1.32
206	3.41
208	-1.6
210	-0.9
211	2.75
212	2.86
214	-0.74
216	0.47
218	-1.55
221	0.72
223	2.47
224	0.39
225	0.32
226	1.76
228	3.87
229	2.52
230	1.32
231	0.28
234	3.72
235	5.02
236	2.78
241	2.02
243	2.16
245	1.85
246	2.32
249	1.13
