Compound Id	21-day chronic Daphnia toxicity as log(1/EC50)
1	0.21448259
2	0.62240593
3	1.98041659
4	3.71078435
5	4.12120955
6	2.41646532
7	2.61338369
8	0.77327164
9	1.74457744
10	1.9827987
11	1.70382343
12	1.89827942
13	2.06089867
14	2.54406804
15	1.64765799
16	1.43915719
17	1.70455423
18	1.91209937
19	4.02660135
20	2.25873304
21	0.29134867
22	1.5842841
23	1.40544707
24	1.15413798
25	1.36707624
26	2.0498423
27	1.10839884
28	0.99563519
29	1.25681706
30	0.11576175
31	2.15425351
32	0.44254648
33	2.08148612
34	0.87664317
35	3.05789422
36	2.98878184
37	4.27501979
38	2.7332202
39	2.63916156
40	0.89854236
41	2.52081093
42	2.78082384
43	0.58871178
44	3.60276314
45	2.70912857
46	2.75415714
47	2.14253546
48	2.5648591
49	1.02738197
50	2.96436441
51	3.36092065
52	2.96348732
53	1.75796069
54	2.25727849
55	2.34451986
56	3.01018213
57	0.98068497
58	2.01277699
59	2.4441723
60	1.3881012
61	2.11784355
62	2.93253526
63	1.20996159
64	1.69972936
65	6.32282957
66	0.52561726
67	1.70783367
68	2.82303226
69	1.71465021
70	0.53394328
71	1.3566328
72	3.46591795
73	4.00528779
74	3.03422726
75	2.08314414
76	3.04036496
77	2.28350224
78	2.678906
79	1.25834625
80	0.42230838
81	2.07990447
82	2.30908859
83	1.84173478
84	1.83701694
85	1.82313681
86	2.20300815
87	3.25834989
88	4.65384147
89	2.6996891
90	3.09698189
91	0.98843733
92	2.23009306
93	2.69971129
94	1.1568519
95	3.56611595
96	1.66660306
97	0.85607404
98	1.93171207
99	3.34692517
100	2.83206439
101	2.70243054
102	1.47985284
103	3.11461098
104	2.58100837
105	2.9588027
106	1.35185575
107	1.34135108
108	2.84517896
109	3.44386874
110	3.73868731
111	1.32531037
112	1.31421028
113	0.24701571
114	1.35161721
115	2.80191399
116	2.51925906
117	0.34094746
118	0.97596176
119	1.93561332
120	1.16938488
121	1.49485002
122	0.95786071
123	1.38094215
124	1.11030431
125	1.48346367
126	3.07027885
127	2.19571271
128	2.27805207
129	2.89050926
130	3.62993789
131	2.33069468
132	3.45166462
133	0.54736441
134	2.33340346
135	0.16023503
136	1.27058926
137	0.33597813
138	3.14662044
139	2.74439968
140	1.57543278
141	2.34675016
142	2.86875128
143	0.41748864
144	3.73507967
145	2.49971762
146	1.50152343
147	2.72211954
148	2.67896172
149	1.05115252
150	1.76924886
151	3.34316233
152	2.05291487
153	2.55833136
154	2.66216736
155	3.2105293
156	2.48991832
157	3.42074479
158	4.22279689
159	2.17855065
160	3.53831007
161	2.67218585
162	1.41927635
163	0.18113712
164	2.97391057
165	0.90749735
166	2.547804
167	0.61750176
168	2.03118805
169	0.95795828
170	1.45802463
171	3.10566499
172	3.92695307
173	2.5102161
174	2.07043943
175	2.25922122
176	3.11241347
177	2.28416207
178	2.25282068
179	0.39281416
180	4.1057826
181	2.33825385
182	3.7835633
183	2.24167499
184	2.93737458
185	1.45813403
186	1.91466043
187	0.28544753
188	0.86103631
189	1.4296673
190	3.13091828
191	2.53589347
192	3.00346053
193	2.76610502
194	2.0548683
195	0.90955603
196	2.1701965
197	3.15079736
198	1.86501933
199	2.65835835
200	2.70490412
201	2.37670917
202	0.75605409
203	2.21648637
204	3.20068217
205	2.12035454
206	4.72134588
207	1.99504989
208	4.25002334
209	2.04560744
210	2.73179484
211	3.43643114
212	2.61241526
213	1.70773082
214	3.71425989
215	0.53816863
216	1.7955788
217	2.18374422
218	1.4850608
219	2.50504618
220	1.25231546
221	2.15647646
222	0.18102028
223	2.49794462
224	2.44900284
225	0.96361077
226	2.82823011
227	0.21387302
228	2.44470625
229	1.63271753
230	1.97656159
231	1.06976897
232	3.69354502
233	3.57700182
234	2.68299072
235	0.8943853
236	1.13708619
237	0.91504789
238	1.84953223
239	3.47231414
240	3.03347737
241	1.70306861
242	1.33341674
243	1.36180875
244	2.58401695
