Compound Id	2-day Tetrahymena toxicity as log(1/IGC50)
1	2.5229
2	2.6990
3	2.2218
4	2.3733
5	2.0969
6	1.7447
7	1.5686
8	0.2765
9	0.9586
10	0.5452
11	-0.2114
12	NTAS
13	NTAS
14	1.8861
15	1.6360
16	0.9299
17	0.2707
18	0.3530
19	0.6696
20	-0.2228
21	2.3943
22	1.6970
23	1.8788
24	1.2570
25	0.7520
26	0.4727
