Compound Id	48-h Tetrahymena toxicity as log(1/IGC50)
1	-0.46
2	-0.19
3	-1.75
4	-2.00
5	1.23
7	0.45
8	0.68
9	0.77
10	0.76
11	1.05
12	-0.29
13	1.74
14	2.10
15	-0.39
16	-0.63
17	0.08
18	0.56
19	1.93
20	-0.82
21	1.41
22	-0.57
23	-0.43
24	-0.58
25	-0.50
26	-0.84
27	1.35
28	-1.01
29	-1.02
30	0.58
31	-0.84
32	-0.49
33	0.73
34	0.92
35	-0.95
36	-0.24
37	-1.00
38	0.02
39	-0.02
40	0.62
41	0.08
42	-0.83
43	1.99
44	1.79
46	1.35
47	-0.48
48	1.13
49	-0.12
50	-0.52
51	-0.59
52	0.57
53	0.10
54	0.23
55	-1.04
56	1.51
58	0.64
59	0.46
60	-0.19
61	1.55
62	0.42
63	0.05
64	1.26
66	0.49
67	1.80
68	-0.10
69	0.28
70	-0.88
71	-0.21
72	0.51
73	1.51
74	-0.76
75	1.80
76	-0.89
77	-0.68
78	2.03
79	-0.72
80	0.87
81	-1.54
82	0.34
83	2.21
84	1.21
