Compound Id	Henry's law constant as lnH
1	3.6
2	3.82
3	3.81
4	4.13
5	4.35
6	3.59
7	4.21
8	3.35
9	4.54
10	4.35
11	3.14
12	5.91
13	5.81
14	5.65
15	5.88
16	5.8
17	5.59
18	5.68
19	5.12
20	5.73
21	5.56
22	5.36
23	5.82
24	5.52
25	5.7
26	5.66
27	5.5
28	5.28
29	5.59
30	5.68
31	5.48
32	5.64
33	5.56
34	4.93
35	5.51
36	5.31
37	5.24
38	5.84
39	5.66
40	5.74
41	4.45
42	5.76
43	5.6
44	5.41
45	5.82
46	5.73
47	5.74
48	5.6
49	4.99
50	5.76
51	5.52
52	5.69
53	3.83
54	4.29
55	4.33
56	4.86
57	5.58
58	5.72
59	4.66
60	4.65
61	5.7
62	5.56
63	5.71
64	5.62
65	5.59
66	5.78
67	5.5
68	5.66
69	5.21
70	5.69
71	5.31
72	5.68
73	5.52
74	5.7
75	5.67
76	4.3
77	4.53
78	3.34
79	4.21
80	4.5
81	4.19
82	3.63
83	4.2
84	4.31
85	5.36
86	5.28
87	5.67
88	5.55
89	4.98
90	3.15
91	5.91
92	5.78
93	5.63
94	5.74
95	5.86
96	5.81
97	5.69
98	4.28
99	5.36
100	5.73
101	5.01
102	5.78
103	5.77
104	5.77
105	5.58
106	5.73
107	5.53
108	5.7
109	5.7
110	4.45
111	5.92
112	5.78
113	5.89
114	5.67
115	5.75
116	5.81
117	5.76
118	5.71
119	5.73
120	5.56
121	5.38
122	5.8
123	5.78
124	5.61
125	5.75
126	5.59
127	5.69
128	5.58
129	5.16
130	3.32
131	5.86
132	4.46
133	4.45
134	4.29
135	5.42
136	5.31
137	5.23
138	5.71
139	5.57
140	4.82
141	5.56
142	5.72
143	5.73
144	5.66
145	5.76
146	5.78
147	5.69
148	5.52
149	5.81
150	5.75
151	5.76
152	5.57
153	5.71
154	5.72
155	4.47
156	4.54
157	4.29
158	5.36
159	5.72
160	5.75
161	4.29
162	5.66
163	5.71
164	5.69
165	4.12
166	4.56
167	4.32
168	4.1
169	4.54
170	4.31
171	4.43
172	4.81
173	4.06
174	4.88
175	3.71
176	4.71
177	5.07
178	5.17
179	4.86
180	5.53
181	4.85
182	4.58
183	4.11
184	4.55
185	4.31
186	4.11
187	4.53
188	4.31
189	4.32
