Compound Id	WienerNumbers [WPATH]
13837650	10.0
29015	27.0
258	20.0
7714	20.0
7882	220.0
7837	84.0
7812	56.0
932	120.0
6040	35.0
1004	10.0
10445	66.0
6320	18.0
6312	18.0
6146	16.0
21011	32.0
3644	9.0
29000	32.0
175	9.0
6102	4.0
236	27.0
7224	64.0
7673	42.0
6321	18.0
29012	79.0
5730	16.0
7676	42.0
5977	9.0
7787	27.0
7679	42.0
14840	165.0
8569	120.0
121365	200.0
6104	4.0
3168	20.0
12181	67.0
7890	286.0
682	4.0
8525	32.0
7219	64.0
9614	42.0
8560	56.0
7767	35.0
864	1.0
6335	18.0
14672	28.0
7674	42.0
7641	61.0
11752	32.0
11815	20.0
13014	60.0
6334	18.0
28994	10.0
12814	40.0
7849	120.0
349	84.0
6967	60.0
7712	20.0
7636	41.0
7521	62.0
29080	39.0
7737	15.0
1108	42.0
13619	220.0
