Compound Id	ChiCluster [VC-3]
13837650	0.0
29015	0.0
258	0.0
7714	0.0
7882	0.0
7837	0.0
7812	0.0
932	0.0
6040	0.0
1004	0.0
10445	1.969
6320	0.183
6312	0.408
6146	1.171
21011	0.183
3644	0.258
29000	0.408
175	0.204
6102	0.0
236	0.0
7224	0.083
7673	0.327
6321	0.144
29012	0.083
5730	2.916
7676	0.189
5977	0.842
7787	0.0
7679	0.102
14840	0.0
8569	0.0
121365	0.072
6104	0.0
3168	0.0
12181	0.203
7890	0.0
682	0.0
8525	0.083
7219	0.118
9614	0.063
8560	0.0
7767	0.0
864	0.0
6335	0.083
14672	1.112
7674	0.289
7641	0.333
11752	0.102
11815	0.0
13014	0.223
6334	0.102
28994	0.0
12814	0.223
7849	0.0
349	0.0
6967	0.289
7712	0.0
7636	0.201
7521	0.333
29080	0.558
7737	0.0
1108	0.167
13619	0.0
