Compound Id	logarithm of octanol-water partition coefficient
1	0.95
2	0.6
3	1.39
4	0.42
5	0.41
6	1.09
7	1.39
8	0.26
9	0.42
10	1.16
11	0.77
12	2.24
13	1.34
14	1.58
15	1.08
16	1.19
17	1.83
18	1.19
19	1.65
20	2.06
21	1.03
22	1.51
23	2.06
24	0.91
25	0.27
26	1.05
27	1.02
28	1.67
29	1.63
30	2.06
31	2
32	1.05
33	1.44
34	1.55
35	1.71
36	1.61
37	2.17
38	2.61
39	1.97
40	2.61
41	2
42	2.61
43	1.68
44	2.61
45	2.61
46	2.55
47	0.88
48	0.67
49	2.16
50	1.74
51	2.55
52	2.55
53	1.39
54	3.15
55	3.15
56	2.52
57	2.4
58	1.49
59	3.15
60	1.83
61	0.91
62	2.7
63	2.73
64	2.01
65	1.91
66	2.49
67	1.61
68	2.58
69	2.16
70	2.49
71	2.46
72	2.95
73	1.91
74	2.97
75	1.94
76	2.48
77	2.68
78	2.4
79	3.25
80	3.07
81	2.7
82	3.42
83	2.8
84	2.65
85	2.24
86	2.7
87	2.97
88	3
89	2.68
90	2.8
91	3.42
92	3.15
93	2.78
94	3.46
95	2.46
96	2.67
97	2.8
98	3.7
99	2.9
100	3.2
101	3.28
102	2.8
103	2.36
104	2.4
105	4.52
106	3.25
107	3.44
108	3.91
109	3.5
110	3.59
111	3.84
112	3.42
113	3.97
114	3.54
115	3.47
116	3.28
117	3.56
118	3.29
119	3.45
120	3.52
121	3.89
122	3.3
123	4.33
124	2.8
125	5.33
126	3.79
127	2.8
128	3.69
129	5.03
130	4.16
131	4.18
132	4.54
133	5.28
134	4.17
135	4.34
136	3.45
137	5.99
138	5.93
