Compound Id	AutocorrelationMass [ATSm3]
13839199	8.499
13835459	6.665
11793	6.332
10534	7.0
9326	11.828
63863	21.674
659	3.664
7459	6.332
10787	7.664
12228	10.677
18688	12.771
10795	9.0
55130	11.103
11086	8.0
11841	9.664
12012	7.107
4489	11.328
48024	8.665
11024	6.332
512621	19.976
66655	21.799
21106032	7.903
6330	5.052
11035	7.0
13439	13.0
7021	6.467
7018	7.948
120464	13.855
11864	6.0
4444608	5.332
10948	5.996
11761	13.679
12229	8.997
24099	4.498
22453	10.771
12499	24.482
7833	6.0
7657	10.771
7013	12.807
13837281	29.232
5708	7.218
7703	6.332
4512642	6.0
4516601	6.0
11244	7.467
4516599	6.0
11846	5.166
7812	5.332
10652594	51.533
7766	9.653
844	9.877
13816	6.052
19953955	5.858
7776	5.670
1141	12.685
11857	7.0
66021	13.059
10497	12.566
70715	22.209
21106520	8.332
66809	10.218
10452	40.712
10433	10.771
29107	7.052
10265264	10.0
13874733	8.332
11911	37.945
7811	5.166
13836399	6.996
7676	11.903
7064	9.439
349	6.0
10488	9.771
4514549	0.0
11193	11.439
4512361	6.0
11739	9.996
8552	8.439
8908	7.0
28986	7.664
10526	6.952
17443	10.550
68832	9.328
21800	10.0
10179173	10.0
81815	13.211
29016	10.771
7003	10.771
59447	8.831
13839109	10.435
13865426	11.435
7678	8.664
13842613	10.665
71430	13.877
7760	7.664
971	8.664
10420	9.771
11695	9.380
12643	8.664
7219	9.0
11784	12.236
7482	9.771
13838404	132.774
7679	8.664
15443	9.332
11434292	26.674
65936	9.997
13835209	4.664
7677	8.332
6342	29.232
15438	9.0
1348	7.692
11216	9.996
68328	24.137
4517338	9.282
11194	10.996
11819	8.664
13402	10.0
20843	10.997
55091	39.045
10487	11.903
15954	8.664
11045	9.771
11210	9.996
7521	10.0
7641	10.0
11543	8.664
13638	8.332
11752	6.218
7242	9.499
11843	9.771
7530	10.665
15765	10.0
10101	18.383
16791	6.0
11029	7.664
9633	7.582
28992	10.997
18717	10.664
6106	111.639
99440	10.664
7838	6.332
120621	8.384
9581	12.828
15413	20.331
7710	14.305
7536	9.439
7689	12.726
10710415	11.877
14751	9.0
7073	12.771
24533	9.831
7238	9.664
13835293	8.664
13866593	5.332
13875196	12.828
120489	10.799
10197150	10.877
374462	6.665
13839575	8.328
8569	7.664
11600	11.660
5889	8.332
191367	8.605
6967	10.0
192642	8.052
1078	10.877
23101	33.031
17558	8.0
55123	8.107
68179	7.720
733	6.328
11042	10.499
21132380	10.499
9349	11.496
73412	11.604
235	9.332
7827	8.340
68156	5.498
773	5.692
17880	7.0
20119	7.218
70714	19.998
7225	9.499
7786	10.679
7224	9.166
13448	14.0
7673	19.305
10940	10.499
10939	10.664
13842993	41.990
29025	7.0
1664	8.665
7128	11.0
455420	7.332
11866	6.166
21105905	9.332
10772050	39.432
26765	7.052
7681	11.340
7837	6.332
553642	8.0
21106560	9.332
11830	13.566
7810	10.653
7815	6.670
13842001	7.831
21169510	41.764
11930	10.467
10437135	11.689
7835	6.166
19956441	6.858
78	9.499
67991	32.467
455353	7.996
13875281	13.903
2039535	11.882
13837686	14.568
7240	9.499
123993	9.664
7849	7.0
7803	9.439
11783	19.638
13839441	5.664
18219	12.467
83866	11.328
13875160	13.903
11865	7.952
11077	10.332
21106586	13.435
13835772	10.664
83850	11.328
7221	9.332
11699	10.380
7385	10.0
7391	10.996
7670	11.664
13860335	9.332
19231	10.550
29005	10.771
7443	12.329
22191	10.328
7802	8.664
7389	10.886
7241	9.665
6179	49.610
7694	10.771
24972	13.163
62489	9.997
6286	19.720
7528	10.997
11660	11.0
62230	10.996
8568	10.771
7129	11.0
69371	27.487
10784857	62.439
21105871	10.664
13839082	10.664
63889	14.9
21109330	13.993
10937	10.332
7236	9.664
1577	8.772
122090	35.370
8909	8.0
11716	10.771
12231	11.218
10384035	12.131
6270	25.329
156255	9.665
7659	12.0
11409	11.0
6402	16.0
11919	15.353
7856	7.332
13257	10.997
21106036	19.098
13840690	10.952
7765	15.305
7538	10.439
71787	10.519
441	7.332
2606	39.432
11795	7.052
6287	22.380
14692	8.0
7223	9.166
7685	20.743
123860	9.328
7672	19.305
9970	9.664
13857694	17.807
16159	16.759
7088	14.0
28969	14.103
12069	9.605
11265	11.551
13648	12.163
13876539	10.332
7533	9.332
7131	11.664
7434	8.332
13866817	17.807
6977	12.0
13854136	10.332
447	12.328
13837760	11.328
13835151	10.332
191	12.877
7234	9.332
71628	8.665
7132	11.664
11087	27.132
18801	6.498
13837988	17.807
10696	54.283
76894	39.274
12456	8.0
12445	11.550
69569	46.038
12809	8.0
7138	12.771
10236	12.0
13863618	11.996
4446445	7.332
3954	20.265
55205	8.218
11021	11.332
14198	16.0
29026	7.166
5976	15.570
13875258	21.305
9903	13.0
7183	13.0
21181	8.052
13839416	6.664
7851	7.166
18410	11.0
13865680	11.664
21112023	14.828
503239	12.025
4878	11.328
932	7.332
12010	14.566
63908	12.661
5830	10.332
13839308	10.166
14680	7.670
28682	12.495
14169248	9.052
63310	16.685
11671339	47.727
391428	15.0
122446	11.052
238	12.439
7239	12.340
11863	11.653
2041618	42.716
13851576	14.653
13854248	14.236
10437215	12.882
8070	14.439
370	10.439
455090	12.412
11632	9.218
14840	8.0
2656	21.993
78828	37.708
10422	12.380
20939	13.0
69914	47.727
9976	9.664
73479	14.329
924	11.332
6883	13.439
5979	69.987
577	12.325
13658	15.329
21106366	12.664
7419	11.0
14299946	55.5
331	15.103
7448	12.0
7509	11.771
12632	9.664
61001	25.916
28982	11.664
11604	11.664
62534	12.886
62408	12.886
123207	22.302
75951	11.328
13837787	15.435
13839123	12.664
59483	37.478
18724	14.332
7850	8.952
13875432	14.568
8665	12.328
13839128	12.664
13875219	14.568
456015	13.919
55084	11.771
6974	21.970
8657	12.328
13849981	13.996
26824	46.712
72793	11.328
21106014	15.236
6296	15.664
14256731	16.993
13860775	11.997
7140	14.439
13869339	14.236
13647	12.771
764	11.328
7800	11.439
8071	18.342
13835932	9.993
7809	16.305
4449	10.665
13839110	12.664
29029	8.332
21106525	11.332
7142	15.103
132	15.103
12220	9.664
20570	11.859
21106144	14.771
7190	14.439
8140	20.471
13869451	14.236
15461	15.0
76394	12.163
7518	25.209
8520	46.602
8883	18.0
6079	18.342
2931	34.332
10536	10.340
25552	12.997
13848808	16.103
10181341	13.439
10328	29.796
15846	8.166
5596	10.997
4962	11.996
13869462	12.332
11871	12.679
10265270	14.0
222538	14.131
768	17.796
2849146	14.463
8674	13.328
13869480	11.997
12635	9.0
65523	14.270
6999	14.0
2441	21.664
7662	23.710
13856352	10.166
7506	11.332
6897	14.771
8186	13.664
15431	22.305
58234	21.664
21106146	14.771
15387	8.166
8574	8.332
1015	14.911
26325090	8.831
13842573	21.970
9564	13.328
221226	13.993
8912	14.657
7848	12.653
13875441	21.970
13863774	14.771
13871718	11.332
10179239	14.0
10227261	20.657
776	13.499
906	14.0
21168813	13.664
4366810	13.380
7170	16.0
12821	11.830
13619	9.0
392	10.997
8097	14.0
299166	14.661
21106013	18.674
13869414	11.997
21111817	22.637
7511	12.771
24641	12.328
21106020	18.674
17131	27.011
10756	16.996
7984	11.328
10404	12.0
13853953	18.674
12218	10.664
21105897	17.435
