Compound Id	WienerNumbers [WPOL]
692	0.0
6153	0.0
127983	0.0
291	0.0
21106179	0.0
16425	0.0
23208	0.0
6105	0.0
11148	0.0
274	0.0
6086	0.0
9256	6.0
923	0.0
937	0.0
6085	0.0
217	0.0
9484	0.0
22814	0.0
22408	0.0
9286	4.0
12577	3.0
6084	0.0
6128	0.0
9243	0.0
62827	9.0
6132	0.0
391	0.0
38403	10.0
1087	0.0
16641	0.0
7954	0.0
864	0.0
11153	0.0
748	0.0
6095	0.0
6094	0.0
518	0.0
16841	6.0
6148	0.0
2056044	16.0
6151	0.0
6087	0.0
9095782	9.0
4514529	0.0
10675065	8.0
21106169	3.0
172	0.0
763	0.0
7956	0.0
7577	1.0
6089	0.0
6111	0.0
29040	6.0
10606755	15.0
6098	0.0
6120	0.0
13837650	1.0
13853215	9.0
61149	21.0
12197	1.0
682	0.0
61346	6.0
7558	1.0
7556	1.0
454215	6.0
7557	1.0
278	0.0
7957	0.0
654	0.0
9461	5.0
6130	0.0
7555	1.0
11727	1.0
1114	0.0
14441700	3.0
8960	0.0
6083	0.0
454209	3.0
56442	1.0
6101	0.0
6097	0.0
175	0.0
4449912	1.0
6102	0.0
9016	6.0
7559	1.0
2018165	2.0
7733	2.0
3644	0.0
6156	0.0
512	1.0
171	0.0
9646	0.0
9254	6.0
7734	2.0
9411	9.0
13835550	1.0
6135	0.0
13837190	2.0
10325078	9.0
7732	2.0
6335	2.0
7738	0.0
14829	0.0
4481813	1.0
10765	2.0
71390	0.0
6149	0.0
13872989	1.0
9391	6.0
6146	0.0
3631	10.0
6121	0.0
61213	3.0
3441	6.0
11099	2.0
11806	2.0
6308	2.0
3168	2.0
6104	0.0
1004	1.0
66567	18.0
1039	0.0
7713	2.0
73583	9.0
6103	0.0
7566	1.0
9994	0.0
10709	2.0
6309	2.0
6088	0.0
13299573	6.0
13836674	1.0
13835316	0.0
6092	0.0
14694	3.0
6313	2.0
11230	2.0
7564	1.0
7616	3.0
2062437	6.0
7712	2.0
4483639	2.0
10437	1.0
30713	4.0
2282428	6.0
6188	9.0
4483638	2.0
7330	0.0
12442	1.0
7546	2.0
9251	6.0
18971812	9.0
71433	3.0
10113	2.0
11755	3.0
7790	3.0
107412	9.0
56144	15.0
56020	2.0
13835977	1.0
256	2.0
10054	0.0
1005	2.0
553742	1.0
558883	2.0
99596	6.0
6333	2.0
6321	2.0
23055	3.0
8525	3.0
6125	0.0
4514586	0.0
11526	4.0
6322	2.0
6320	2.0
13836549	21.0
6163	3.0
62826	9.0
6108	0.0
11729	1.0
14672	3.0
6118	0.0
7730	2.0
11756	3.0
8544	0.0
23255	2.0
6312	2.0
6338	2.0
12201	3.0
62597	2.0
8329688	3.0
13837797	4.0
10653	4.0
13835336	1.0
7782	3.0
21106015	1.0
7727	2.0
558928	1.0
6093	0.0
693	0.0
11110	3.0
6311	2.0
8896	0.0
5977	0.0
7728	2.0
2340753	3.0
6340	4.0
9253	6.0
7626	4.0
7604	3.0
7553	1.0
12209	3.0
394562	2.0
10325184	3.0
83734	6.0
6315	2.0
7627	4.0
7717	2.0
387	4.0
60524	2.0
11109	3.0
63631	4.0
6100	0.0
13866746	17.0
7010	4.0
14998	4.0
12446	3.0
7560	1.0
258	2.0
10053	0.0
124968	5.0
7716	2.0
7552	1.0
7737	0.0
10571	6.0
17619	4.0
11809	2.0
13836713	1.0
13836589	3.0
11833	3.0
13835235	1.0
7767	3.0
7030	2.0
13836021	2.0
10124	4.0
59573	6.0
10777	4.0
6341	4.0
10018	3.0
558020	5.0
12626	3.0
13836591	3.0
11996	4.0
6165	3.0
7714	2.0
13862665	4.0
6042	0.0
7630	4.0
259	3.0
7607	3.0
5894	2.0
21108550	7.0
7772	3.0
21111806	7.0
236	3.0
9614	5.0
62808	5.0
10492	4.0
7736	0.0
11055	4.0
10446	5.0
7463	5.0
7619	4.0
7016	4.0
13871721	2.0
7739	0.0
7706	4.0
7028	2.0
5730	0.0
6316	2.0
8903	3.0
24590970	6.0
21011	3.0
9325	8.0
415	2.0
55090	3.0
10947	4.0
10772140	2.0
28994	1.0
13839553	2.0
3973	9.0
71312	6.0
3951	4.0
592	4.0
8904	3.0
8899	0.0
60329	3.0
6406	6.0
2916	0.0
2293678	6.0
6119	0.0
29015	3.0
11680	5.0
7624	4.0
7615	3.0
7090	11.0
6122	0.0
7024	2.0
55188	6.0
11117	3.0
13835224	2.0
6176	6.0
62249	8.0
13803	9.0
10755	6.0
9377	4.0
15077490	6.0
7823	4.0
11125	4.0
6307	2.0
7787	3.0
6334	2.0
13255	4.0
109838	4.0
11849	4.0
173	0.0
66656	5.0
13837280	2.0
11845	4.0
11094	4.0
13854944	3.0
29000	3.0
8398	4.0
10791	6.0
8733	2.0
10786	6.0
8554	3.0
92731	12.0
7788	3.0
9233	2.0
1020	3.0
11992	6.0
6187	9.0
8158	6.0
11023	5.0
11731	1.0
11207996	6.0
1609	3.0
7721	2.0
1095	0.0
11121	4.0
10498	2.0
7065	7.0
7791	3.0
109705	27.0
7636	4.0
7621	4.0
11551	6.0
13835836	6.0
7711	2.0
8543	2.0
6040	3.0
10445	5.0
11351244	2.0
7770	3.0
23150	6.0
12161	12.0
13874867	6.0
31029	1.0
4444456	2.0
7769	3.0
18607	2.0
10001	4.0
7747	5.0
10788	6.0
23621376	3.0
5993	2.0
8560	4.0
555074	4.0
10437074	5.0
13861343	6.0
7705	4.0
8141	2.0
10512	3.0
11180	6.0
7701	4.0
62589	5.0
7686	5.0
5439	3.0
11056	4.0
7026	2.0
66675	9.0
2005981	0.0
7622	4.0
7684	5.0
8900	0.0
11025	5.0
7475	6.0
59674	3.0
21171407	1.0
11095	4.0
13837537	3.0
10614293	5.0
6326	2.0
56117	8.0
7466	5.0
29036	0.0
7761	5.0
21168808	2.0
11104	5.0
16778	4.0
13835376	5.0
127750	5.0
10790	6.0
2018460	8.0
68503	12.0
13863629	4.0
7674	5.0
1143	0.0
1108	5.0
7029	2.0
29001	4.0
11788	5.0
11732	4.0
7688	5.0
7515	6.0
11794	4.0
13836520	5.0
11678	5.0
2038738	7.0
8562	4.0
29012	5.0
21106535	4.0
13875283	7.0
13867413	5.0
13837702	3.0
5949	4.0
71089	5.0
7551	1.0
11706	6.0
66996	5.0
61487	3.0
10797	8.0
26325086	9.0
7478	6.0
11799	4.0
13839199	5.0
13835459	3.0
11793	4.0
10534	7.0
9326	8.0
63863	6.0
659	0.0
7459	5.0
10787	6.0
12228	5.0
18688	9.0
10795	8.0
55130	7.0
11086	5.0
11841	6.0
12012	5.0
4489	7.0
48024	5.0
11024	5.0
512621	10.0
66655	9.0
21106032	3.0
6330	2.0
11035	6.0
13439	6.0
7021	4.0
7018	4.0
120464	6.0
11864	5.0
4444608	4.0
10948	4.0
11761	4.0
12229	5.0
24099	3.0
22453	9.0
12499	21.0
7833	5.0
7657	7.0
7013	4.0
13837281	4.0
5708	6.0
7703	4.0
4512642	5.0
4516601	5.0
11244	4.0
4516599	5.0
11846	4.0
7812	4.0
10652594	20.0
7766	3.0
844	4.0
13816	4.0
19953955	4.0
7776	3.0
1141	7.0
11857	7.0
66021	5.0
10497	2.0
70715	5.0
21106520	5.0
66809	7.0
10452	15.0
10433	7.0
29107	4.0
10265264	7.0
13874733	5.0
11911	3.0
7811	4.0
13836399	5.0
7676	5.0
7064	7.0
349	5.0
10488	5.0
4514549	0.0
11193	9.0
4512361	5.0
11739	5.0
8552	5.0
8908	7.0
28986	6.0
10526	4.0
17443	7.0
68832	6.0
21800	8.0
10179173	7.0
81815	6.0
29016	6.0
7003	8.0
59447	5.0
13839109	6.0
13865426	7.0
7678	5.0
13842613	7.0
71430	8.0
7760	5.0
971	5.0
10420	7.0
11695	6.0
12643	5.0
7219	7.0
11784	5.0
7482	7.0
13838404	0.0
7679	5.0
15443	7.0
11434292	10.0
65936	7.0
13835209	3.0
7677	5.0
6342	4.0
15438	5.0
1348	2.0
11216	7.0
68328	12.0
4517338	4.0
11194	9.0
11819	5.0
13402	12.0
20843	8.0
55091	6.0
10487	5.0
15954	7.0
11045	7.0
11210	9.0
7521	7.0
7641	7.0
11543	7.0
13638	8.0
11752	3.0
7242	7.0
11843	6.0
7530	7.0
15765	8.0
10101	9.0
16791	5.0
11029	6.0
9633	6.0
28992	7.0
18717	8.0
6106	0.0
99440	5.0
7838	5.0
120621	4.0
9581	9.0
15413	12.0
7710	2.0
7536	7.0
7689	5.0
10710415	8.0
14751	7.0
7073	9.0
24533	7.0
7238	7.0
13835293	6.0
13866593	4.0
13875196	9.0
