Compound Id	EccentricConnectivityIndex
692	2
6153	12
127983	2
291	0
21106179	9
16425	18
23208	6
6105	6
11148	2
274	6
6086	2
9256	29
923	6
937	0
6085	2
217	0
9484	12
22814	0
22408	0
9286	24
12577	24
6084	2
6128	9
9243	6
62827	41
6132	9
391	0
38403	72
1087	6
16641	6
7954	6
864	2
11153	6
748	2
6095	6
6094	6
518	0
16841	29
6148	12
2056044	88
6151	12
6087	2
9095782	34
4514529	0
10675065	63
21106169	24
172	6
763	2
7956	6
7577	14
6089	2
6111	6
29040	29
10606755	55
6098	6
6120	9
13837650	14
13853215	34
61149	84
12197	14
682	6
61346	52
7558	14
7556	14
454215	29
7557	14
278	6
7957	9
654	6
9461	56
6130	9
7555	14
11727	14
1114	9
14441700	24
8960	2
6083	2
454209	24
56442	14
6101	6
6097	6
175	9
4449912	14
6102	6
9016	29
7559	14
2018165	19
7733	24
3644	9
6156	12
512	14
171	9
9646	12
9254	29
7734	24
9411	63
13835550	14
6135	9
13837190	24
10325078	34
7732	24
6335	19
7738	20
14829	12
4481813	14
10765	19
71390	9
6149	12
13872989	14
9391	29
6146	12
3631	72
6121	9
61213	24
3441	29
11099	24
11806	24
6308	19
3168	24
6104	6
1004	14
66567	62
1039	6
7713	24
73583	34
6103	6
7566	14
9994	16
10709	24
6309	19
6088	2
13299573	52
13836674	14
13835316	9
6092	6
14694	24
6313	19
11230	19
7564	14
7616	31
2062437	29
7712	24
4483639	24
10437	14
30713	24
2282428	29
6188	34
4483638	24
7330	20
12442	14
7546	25
9251	29
18971812	34
71433	24
10113	19
11755	31
7790	36
107412	41
56144	55
56020	24
13835977	14
256	24
10054	12
1005	19
553742	14
558883	24
99596	29
6333	19
6321	19
23055	24
8525	31
6125	9
4514586	0
11526	29
6322	19
6320	19
13836549	102
6163	24
62826	41
6108	6
11729	14
14672	24
6118	9
7730	24
11756	31
8544	20
23255	19
6312	19
6338	19
12201	31
62597	24
8329688	24
13837797	54
10653	29
13835336	14
7782	38
21106015	14
7727	24
558928	14
6093	6
693	6
