Compound Id	LargestChain
692	1
6153	5
127983	1
291	0
21106179	4
16425	7
23208	3
6105	3
11148	1
274	2
6086	1
9256	7
923	3
937	0
6085	1
217	0
9484	5
22814	0
22408	0
9286	6
12577	6
6084	1
6128	4
9243	3
62827	8
6132	4
391	0
38403	10
1087	3
16641	3
7954	3
864	1
11153	3
748	1
6095	3
6094	3
518	0
16841	7
6148	5
2056044	12
6151	5
6087	1
9095782	8
4514529	0
10675065	9
21106169	6
172	3
763	1
7956	3
7577	4
6089	1
6111	0
29040	7
10606755	10
6098	3
6120	4
13837650	4
13853215	8
61149	12
12197	4
682	3
61346	9
7558	4
7556	4
454215	7
7557	4
278	2
7957	4
654	2
9461	8
6130	4
7555	4
11727	4
1114	3
14441700	6
8960	1
6083	1
454209	6
56442	4
6101	3
6097	3
175	4
4449912	4
6102	3
9016	7
7559	4
2018165	5
7733	5
3644	4
6156	5
512	4
171	4
9646	5
9254	7
7734	5
9411	9
13835550	4
6135	4
13837190	5
10325078	8
7732	5
6335	5
7738	0
14829	5
4481813	4
10765	5
71390	4
6149	5
13872989	4
9391	7
6146	5
3631	10
6121	4
61213	6
3441	7
11099	5
11806	5
6308	5
3168	5
6104	3
1004	4
66567	11
1039	2
7713	5
73583	8
6103	3
7566	4
9994	0
10709	5
6309	5
6088	1
13299573	9
13836674	4
13835316	4
6092	3
14694	6
6313	5
11230	5
7564	4
7616	6
2062437	7
7712	5
4483639	5
10437	4
30713	6
2282428	7
6188	8
4483638	5
7330	0
12442	4
7546	1
9251	7
18971812	8
71433	6
10113	5
11755	6
7790	0
107412	8
56144	10
56020	5
13835977	4
256	5
10054	5
1005	5
553742	4
558883	5
99596	7
6333	5
6321	5
23055	6
8525	6
6125	4
4514586	0
11526	6
6322	5
6320	5
13836549	0
6163	6
62826	8
6108	2
11729	4
14672	6
6118	4
7730	5
11756	6
8544	0
23255	5
6312	5
6338	5
12201	6
62597	5
8329688	6
13837797	7
10653	6
13835336	4
7782	6
21106015	4
7727	5
558928	4
6093	3
693	3
11110	6
6311	5
8896	0
5977	4
