Compound Id	ALOGP [ALogp2]
692	0.782
6153	5.941
127983	0.016
291	0.0
21106179	1.055
16425	1.423
23208	0.668
6105	0.228
11148	0.339
274	0.022
6086	0.882
9256	2.896
923	0.154
937	0.0
6085	0.897
217	0.0
9484	2.071
22814	0.0
22408	0.0
9286	1.458
12577	2.526
6084	0.465
6128	0.893
9243	0.693
62827	2.518
6132	1.498
391	0.0
38403	5.001
1087	0.002
16641	0.780
7954	1.316
864	0.128
11153	0.601
748	0.322
6095	1.979
6094	0.034
518	N/A
16841	3.999
6148	2.676
2056044	9.332
6151	9.066
6087	0.717
9095782	1.179
4514529	0.0
10675065	1.820
21106169	0.422
172	0.033
763	0.848
7956	0.003
7577	0.003
6089	0.419
6111	0.746
29040	4.890
10606755	2.242
6098	1.004
6120	1.025
13837650	2.286
13853215	6.706
61149	4.8
12197	2.168
682	0.012
61346	4.431
7558	1.149
7556	0.222
454215	4.420
7557	2.002
278	0.095
7957	3.225
654	0.047
9461	1.304
6130	2.018
7555	0.224
11727	0.755
1114	0.102
14441700	1.120
8960	1.418
6083	0.982
454209	0.094
56442	1.814
6101	0.158
6097	1.203
175	0.060
4449912	1.814
6102	0.002
9016	5.279
7559	0.167
2018165	1.849
7733	0.048
3644	0.167
6156	10.087
512	0.011
171	0.053
9646	4.832
9254	4.825
7734	0.037
9411	1.849
13835550	2.180
6135	0.182
13837190	0.010
10325078	7.803
7732	0.148
6335	0.0
7738	0.024
14829	3.358
4481813	0.020
10765	1.639
71390	2.638
6149	10.875
13872989	0.067
9391	0.408
6146	0.329
3631	6.422
6121	0.634
61213	1.687
3441	6.296
11099	2.183
11806	0.349
6308	0.113
3168	0.304
6104	1.151
1004	0.470
66567	3.574
1039	0.632
7713	0.528
73583	5.003
6103	0.746
7566	0.015
9994	0.175
10709	0.077
6309	3.465
6088	2.318
13299573	5.330
13836674	2.142
13835316	2.849
6092	1.541
14694	4.205
6313	0.294
11230	0.325
7564	0.951
7616	0.011
2062437	3.951
7712	0.580
4483639	0.450
10437	0.270
30713	3.252
2282428	5.798
6188	7.763
4483638	0.450
7330	0.996
12442	1.937
7546	0.185
9251	5.761
18971812	1.915
71433	9.365
10113	3.983
11755	0.012
7790	0.199
107412	3.427
56144	7.226
56020	2.608
13835977	0.001
256	0.155
10054	3.161
1005	0.024
553742	1.117
558883	2.608
99596	4.162
6333	0.130
6321	0.028
23055	1.575
8525	0.074
6125	2.374
4514586	0.0
11526	0.441
6322	0.120
6320	0.485
13836549	8.284
6163	3.471
62826	3.983
6108	2.727
11729	1.093
14672	0.964
6118	0.885
7730	0.081
11756	1.092
8544	0.477
23255	0.972
6312	0.015
6338	0.622
12201	1.803
62597	0.001
8329688	2.083
13837797	1.649
10653	0.009
13835336	1.409
7782	0.148
21106015	0.094
7727	0.606
558928	1.117
6093	1.650
693	0.495
11110	3.710
6311	0.591
8896	2.074
5977	2.615
7728	0.239
2340753	4.819
6340	1.313
9253	6.222
7626	0.002
7604	0.350
7553	2.585
12209	0.092
394562	0.370
10325184	5.083
83734	5.727
6315	0.259
7627	0.001
7717	0.028
387	0.360
60524	0.041
11109	0.192
63631	0.073
6100	3.143
13866746	5.753
7010	0.116
14998	5.536
12446	0.960
7560	0.082
258	0.948
10053	3.696
124968	0.011
7716	1.595
7552	0.440
7737	0.5
10571	0.556
17619	0.480
11809	0.0
13836713	1.513
13836589	0.006
11833	0.319
13835235	0.805
7767	1.101
7030	0.233
13836021	0.570
10124	5.326
59573	1.129
10777	0.231
6341	0.245
10018	0.322
558020	0.056
12626	0.051
13836591	0.057
11996	1.518
6165	0.011
7714	0.053
13862665	0.407
6042	4.118
7630	0.038
259	0.195
7607	0.208
5894	0.008
21108550	0.920
7772	0.466
21111806	0.920
236	0.0
9614	0.230
62808	0.230
10492	0.180
7736	0.177
11055	1.910
10446	0.907
7463	0.121
7619	1.460
7016	0.008
13871721	0.210
7739	0.349
7706	0.094
7028	0.515
5730	12.849
6316	2.253
8903	0.0
24590970	4.772
21011	0.968
9325	0.920
415	3.114
55090	1.214
10947	0.968
10772140	0.092
28994	0.362
13839553	1.405
3973	4.592
71312	6.821
3951	0.836
592	0.649
8904	0.0
8899	0.349
60329	0.279
6406	1.357
2916	2.238
2293678	7.402
6119	3.316
29015	0.069
11680	0.036
7624	0.1
7615	0.044
7090	1.206
6122	2.168
7024	0.005
55188	0.093
11117	2.093
13835224	0.825
6176	1.696
62249	2.457
13803	2.181
10755	2.335
9377	0.371
15077490	7.322
7823	0.365
11125	0.453
6307	2.171
7787	2.986
6334	0.273
13255	0.530
109838	0.029
11849	0.099
173	0.391
66656	5.874
13837280	3.037
11845	0.0
11094	0.092
13854944	0.048
29000	0.027
8398	0.305
10791	0.310
8733	2.176
10786	0.221
8554	0.990
92731	6.283
7788	0.162
9233	1.680
1020	0.0
11992	0.002
6187	8.898
8158	1.148
11023	0.007
11731	1.920
11207996	0.972
1609	1.137
7721	0.0
1095	0.001
11121	0.023
10498	0.681
7065	0.992
7791	1.591
109705	10.852
7636	0.223
7621	0.125
11551	1.033
13835836	0.758
7711	0.141
8543	1.498
6040	1.591
10445	6.004
11351244	1.267
7770	0.207
23150	17.258
12161	1.720
13874867	0.043
31029	1.428
4444456	2.305
7769	2.406
18607	0.219
10001	0.135
7747	0.253
10788	0.038
23621376	1.430
5993	0.249
8560	1.789
555074	0.407
10437074	0.554
13861343	14.131
7705	0.291
8141	0.593
10512	0.003
11180	0.499
7701	0.532
62589	0.705
7686	1.618
5439	0.072
11056	0.023
7026	2.765
66675	18.562
2005981	0.074
7622	0.136
7684	0.0
8900	0.0
11025	0.144
7475	0.004
59674	1.080
21171407	4.576
11095	0.553
13837537	0.279
10614293	6.004
6326	3.824
56117	2.444
7466	0.138
29036	4.1
7761	0.019
21168808	1.061
11104	2.746
16778	0.666
13835376	0.177
127750	0.166
10790	0.030
2018460	8.048
68503	2.762
13863629	0.120
7674	0.048
1143	0.394
1108	0.412
7029	0.111
29001	0.224
11788	0.526
11732	1.858
7688	0.193
7515	0.053
11794	1.618
13836520	0.147
11678	1.618
2038738	0.001
8562	0.758
29012	0.353
21106535	1.002
13875283	1.258
13867413	0.007
13837702	4.213
5949	0.941
71089	0.003
7551	3.243
11706	0.229
66996	0.090
61487	1.553
10797	1.452
26325086	0.019
7478	1.357
11799	0.006
13839199	0.193
13835459	0.631
11793	0.008
10534	2.149
9326	0.0
63863	1.581
659	0.1
7459	0.088
10787	0.317
12228	0.0
18688	3.304
10795	1.636
55130	0.058
11086	0.431
11841	1.030
12012	0.924
4489	0.0
48024	0.067
11024	0.706
512621	7.254
66655	17.987
21106032	0.876
6330	0.301
11035	0.139
13439	12.735
7021	0.179
7018	0.041
120464	0.181
11864	0.075
4444608	0.035
10948	1.431
11761	0.483
12229	0.154
24099	3.108
22453	0.102
12499	3.757
7833	0.019
7657	0.756
7013	4.865
13837281	5.899
5708	0.350
7703	0.635
4512642	0.256
4516601	0.123
11244	0.179
4516599	0.256
11846	0.552
7812	2.401
10652594	1.919
7766	0.008
844	0.198
13816	0.199
19953955	3.145
7776	0.084
1141	0.564
11857	0.013
66021	0.285
10497	0.823
70715	0.253
21106520	0.412
66809	0.003
10452	9.215
10433	0.336
29107	0.177
10265264	1.662
13874733	0.412
11911	5.974
7811	3.382
13836399	1.219
7676	0.554
7064	0.005
349	2.642
10488	0.385
4514549	0.0
11193	0.963
4512361	0.123
11739	0.018
8552	1.036
8908	4.064
28986	0.446
10526	0.119
17443	0.003
68832	0.157
21800	0.041
10179173	1.662
81815	0.436
29016	0.046
7003	3.175
59447	0.648
13839109	0.020
13865426	0.002
7678	3.805
13842613	0.773
71430	0.324
7760	1.065
971	0.212
10420	0.052
11695	0.386
12643	0.132
7219	0.094
11784	0.554
7482	0.268
13838404	4.967
7679	1.120
15443	0.476
11434292	27.812
65936	0.001
13835209	2.171
7677	5.019
6342	5.756
15438	0.124
1348	0.013
11216	0.274
68328	18.731
4517338	0.386
11194	0.001
11819	0.007
13402	0.736
20843	0.773
55091	1.110
10487	0.557
15954	0.094
11045	0.268
11210	2.118
7521	1.649
7641	1.649
11543	0.214
13638	3.375
11752	0.074
7242	0.056
11843	0.778
7530	0.077
15765	0.041
10101	0.043
16791	0.232
11029	2.434
9633	1.405
28992	0.773
18717	0.654
6106	5.290
99440	1.344
7838	1.583
120621	0.328
9581	0.183
15413	4.964
7710	2.289
7536	0.588
7689	0.285
10710415	0.867
14751	0.802
7073	1.507
24533	0.056
7238	0.003
13835293	0.0
13866593	5.478
13875196	0.183
120489	0.003
10197150	0.051
374462	4.738
13839575	0.045
8569	1.393
11600	0.009
5889	0.562
191367	0.133
6967	1.649
192642	0.041
1078	0.168
23101	26.690
17558	0.074
55123	1.560
68179	3.795
733	1.983
11042	1.170
21132380	1.170
9349	0.073
73412	1.167
235	0.037
7827	0.020
68156	4.207
773	0.177
17880	0.315
20119	0.722
70714	0.790
7225	0.001
7786	3.559
7224	0.001
13448	10.479
7673	0.790
10940	1.170
10939	0.065
13842993	3.320
29025	0.181
1664	0.562
7128	0.328
455420	2.042
11866	1.063
21105905	0.094
10772050	2.098
26765	0.539
7681	0.261
7837	3.376
553642	0.030
21106560	0.094
11830	0.383
7810	0.040
7815	0.334
13842001	0.079
21169510	3.802
11930	0.048
10437135	0.039
7835	4.524
19956441	4.250
78	0.001
67991	10.532
455353	1.938
13875281	1.922
2039535	0.039
13837686	0.081
7240	0.501
123993	2.331
7849	3.661
7803	1.705
11783	0.790
13839441	3.103
18219	3.906
83866	4.724
13875160	1.922
11865	0.4
11077	1.649
21106586	0.092
13835772	0.033
83850	4.724
7221	0.501
11699	0.002
7385	0.030
7391	0.039
7670	0.906
13860335	0.201
19231	0.658
29005	0.267
7443	0.234
22191	0.469
7802	1.742
7389	0.403
7241	0.001
6179	8.339
7694	0.650
24972	1.738
62489	0.003
6286	0.007
7528	0.666
11660	0.9
62230	1.439
8568	1.370
7129	1.331
69371	24.0
10784857	6.622
21105871	0.033
13839082	0.033
63889	0.124
21109330	0.072
10937	1.649
7236	1.033
1577	0.562
122090	31.823
8909	5.308
11716	0.650
12231	0.050
10384035	0.039
6270	5.351
156255	6.074
7659	3.709
11409	0.9
6402	2.299
11919	8.757
7856	2.093
13257	0.063
21106036	2.623
13840690	0.571
7765	1.5
7538	1.112
71787	0.442
441	2.391
2606	0.810
11795	1.265
6287	0.920
14692	0.599
7223	0.545
7685	0.555
123860	0.541
7672	0.362
9970	5.012
13857694	2.216
16159	6.381
7088	2.422
28969	0.007
12069	0.427
11265	0.0
13648	0.064
13876539	0.025
7533	0.127
7131	0.211
7434	1.589
13866817	2.216
6977	3.709
13854136	0.012
447	0.262
13837760	0.848
13835151	0.012
191	0.972
7234	0.101
71628	0.640
7132	0.064
11087	2.017
18801	5.471
13837988	2.216
10696	16.383
76894	12.203
12456	0.721
12445	0.167
69569	18.124
12809	0.509
7138	0.436
10236	3.709
13863618	0.426
4446445	0.151
3954	0.014
55205	1.295
11021	0.037
14198	1.876
29026	1.740
5976	0.705
13875258	2.343
9903	0.027
7183	1.476
21181	1.045
13839416	4.2
7851	5.832
18410	0.861
13865680	0.024
21112023	0.051
503239	0.047
4878	0.848
932	4.517
12010	0.110
63908	0.197
5830	0.037
13839308	0.005
14680	0.750
28682	0.064
14169248	0.857
63310	0.499
11671339	19.898
391428	4.594
122446	1.048
238	0.058
7239	0.480
11863	0.238
2041618	36.004
13851576	0.811
13854248	0.0
10437215	0.144
8070	0.162
370	2.540
455090	0.047
11632	0.318
14840	4.846
2656	1.718
78828	28.513
10422	0.728
20939	4.590
69914	19.898
9976	1.547
73479	0.025
924	0.047
6883	0.0
5979	11.4
577	1.898
13658	3.091
21106366	0.048
7419	0.214
14299946	16.431
331	0.490
7448	0.377
7509	0.647
12632	2.585
61001	0.713
28982	0.024
11604	0.024
62534	0.0
62408	0.0
123207	0.247
75951	0.946
13837787	0.257
13839123	0.678
59483	5.003
18724	2.422
7850	0.848
13875432	0.081
8665	0.262
13839128	0.678
13875219	0.081
456015	0.480
55084	1.197
6974	0.184
8657	0.262
13849981	6.097
26824	58.255
72793	0.370
21106014	0.305
6296	3.798
14256731	0.230
13860775	0.643
7140	0.162
13869339	0.0
13647	0.888
764	0.848
7800	1.803
8071	0.255
13835932	3.682
7809	0.878
4449	7.577
13839110	0.678
29029	3.365
21106525	0.196
7142	0.490
132	0.490
12220	3.085
20570	0.047
21106144	1.695
7190	0.162
8140	1.057
13869451	0.0
15461	1.491
76394	0.128
7518	2.667
8520	38.169
8883	0.723
6079	0.255
2931	1.068
10536	0.190
25552	0.224
13848808	0.202
10181341	0.042
10328	0.921
15846	2.583
5596	1.465
4962	0.826
13869462	0.285
11871	0.534
10265270	0.550
222538	0.0
768	2.177
2849146	0.0
8674	0.011
13869480	0.643
12635	1.003
65523	0.0
6999	6.595
2441	0.940
7662	4.986
13856352	0.233
7506	4.175
6897	0.068
8186	0.151
15431	2.548
58234	0.890
21106146	1.695
15387	7.306
8574	5.824
1015	0.177
26325090	2.090
13842573	0.184
9564	0.078
221226	0.037
8912	0.274
7848	0.603
13875441	0.184
13863774	1.695
13871718	0.455
10179239	0.550
10227261	0.683
776	0.177
906	0.0
21168813	0.151
4366810	0.319
7170	1.313
12821	0.181
13619	6.197
392	1.465
8097	0.204
299166	0.417
21106013	1.972
13869414	0.643
21111817	0.485
7511	1.193
24641	0.804
21106020	1.972
17131	1.859
10756	1.260
7984	4.685
10404	0.563
13853953	1.972
12218	3.594
21105897	0.039
13862559	4.986
5593	0.177
123	0.426
11773	0.005
13846663	1.201
10451	25.599
7852	1.332
7872	3.050
13662	0.072
12637	8.104
376	1.623
6780	0.0
6794	0.516
21106018	0.857
72551	1.590
15427	0.929
13859497	0.245
11576	1.090
6635	13.206
21111781	0.060
11080	1.465
13835630	1.685
105291	0.602
14846	2.659
13868640	3.160
