Compound Id	ChiCluster [SC-3]
692	0.0
6153	2.0
127983	0.0
291	0.0
21106179	0.577
16425	8.165
23208	0.0
6105	0.0
11148	0.0
274	0.0
6086	0.0
9256	1.655
923	0.0
937	0.0
6085	0.0
217	0.0
9484	2.0
22814	0.0
22408	0.0
9286	0.667
12577	1.561
6084	0.0
6128	0.577
9243	0.0
62827	1.339
6132	0.577
391	0.0
38403	1.978
1087	0.0
16641	0.0
7954	0.0
864	0.0
11153	0.0
748	0.0
6095	0.0
6094	0.0
518	N/A
16841	1.655
6148	2.0
2056044	3.065
6151	2.0
6087	0.0
9095782	2.5
4514529	0.0
10675065	0.977
21106169	1.561
172	0.0
763	0.0
7956	0.0
7577	0.0
6089	0.0
6111	0.0
29040	1.655
10606755	2.366
6098	0.0
6120	0.577
13837650	0.0
13853215	2.5
61149	2.232
12197	0.0
682	0.0
61346	3.121
7558	0.0
7556	0.0
454215	1.655
7557	0.0
278	0.0
7957	0.577
654	0.0
9461	1.561
6130	0.577
7555	0.0
11727	0.0
1114	0.577
14441700	1.561
8960	0.0
6083	0.0
454209	1.561
56442	0.0
6101	0.0
6097	0.0
175	0.577
4449912	0.0
6102	0.0
9016	1.655
7559	0.0
2018165	0.408
7733	0.0
3644	0.577
6156	2.0
512	0.0
171	0.577
9646	2.0
9254	1.655
7734	0.0
9411	1.570
13835550	0.0
6135	0.577
13837190	0.0
10325078	2.5
7732	0.0
6335	0.408
7738	0.0
14829	2.0
4481813	0.0
10765	0.408
71390	0.577
6149	2.0
13872989	0.0
9391	1.655
6146	2.0
3631	1.978
6121	0.577
61213	1.561
3441	1.655
11099	0.0
11806	0.0
6308	0.408
3168	0.0
6104	0.0
1004	0.0
66567	3.25
1039	0.0
7713	0.0
73583	2.5
6103	0.0
7566	0.0
9994	0.0
10709	0.0
6309	0.408
6088	0.0
13299573	3.121
13836674	0.0
13835316	0.577
6092	0.0
14694	1.561
6313	0.408
11230	0.408
7564	0.0
7616	0.408
2062437	1.655
7712	0.0
4483639	0.0
10437	0.0
30713	0.667
2282428	1.655
6188	2.5
4483638	0.0
7330	0.0
12442	0.0
7546	0.204
9251	1.655
18971812	2.5
71433	1.561
10113	0.408
11755	0.408
7790	0.0
107412	1.339
56144	2.366
56020	0.0
13835977	0.0
256	0.0
10054	2.0
1005	0.408
553742	0.0
558883	0.0
99596	1.655
6333	0.408
6321	0.408
23055	1.561
8525	0.408
6125	0.577
4514586	0.0
11526	0.289
6322	0.408
6320	0.408
13836549	1.155
6163	1.561
62826	1.339
6108	0.0
11729	0.0
14672	1.561
6118	0.577
7730	0.0
11756	0.408
8544	0.0
23255	0.408
6312	0.408
6338	0.408
12201	0.408
62597	0.0
8329688	1.561
13837797	0.0
10653	0.289
13835336	0.0
7782	0.0
21106015	0.0
7727	0.0
558928	0.0
6093	0.0
693	0.0
11110	0.0
6311	0.408
8896	0.0
5977	0.577
7728	0.0
2340753	1.561
6340	0.667
9253	1.655
7626	0.816
7604	0.408
7553	0.0
12209	0.0
394562	0.0
10325184	1.561
83734	1.655
6315	0.408
7627	0.816
7717	0.0
387	0.667
60524	0.408
11109	0.0
63631	0.667
6100	0.0
13866746	1.049
7010	0.289
14998	1.561
12446	0.408
7560	0.0
258	0.0
10053	2.0
124968	0.289
7716	0.0
7552	0.0
7737	0.0
10571	0.569
17619	N/A
11809	0.0
13836713	0.0
13836589	0.0
11833	0.0
13835235	0.0
7767	0.0
7030	0.289
13836021	0.0
10124	0.667
59573	1.207
10777	0.667
6341	0.667
10018	0.0
558020	0.289
12626	0.0
13836591	0.0
11996	1.561
6165	1.561
7714	0.0
13862665	0.408
6042	2.0
7630	0.816
259	0.408
7607	0.408
5894	0.408
21108550	0.577
7772	0.0
21111806	0.577
236	0.0
9614	0.289
62808	0.289
10492	0.408
7736	0.0
11055	1.561
10446	1.969
7463	0.289
7619	0.816
7016	0.289
13871721	0.0
7739	0.0
7706	0.408
7028	0.289
5730	2.0
6316	0.408
8903	0.0
24590970	1.655
21011	0.408
9325	0.471
415	0.0
55090	1.561
10947	0.289
10772140	0.408
