Compound Id	TPSA
692	17.07
6153	0.0
127983	17.07
291	0.0
21106179	0.0
16425	0.0
23208	40.130
6105	0.0
11148	0.0
274	34.14
6086	0.0
9256	0.0
923	51.210
937	0.0
6085	0.0
217	0.0
9484	0.0
22814	0.0
22408	0.0
9286	0.0
12577	0.0
6084	0.0
6128	0.0
9243	0.0
62827	0.0
6132	0.0
391	0.0
38403	9.23
1087	34.14
16641	29.43
7954	0.0
864	20.23
11153	0.0
748	23.79
6095	0.0
6094	0.0
518	0.0
16841	0.0
6148	0.0
2056044	0.0
6151	0.0
6087	0.0
9095782	0.0
4514529	0.0
10675065	0.0
21106169	20.23
172	17.07
763	40.46
7956	9.23
7577	26.3
6089	26.02
6111	0.0
29040	0.0
10606755	20.23
6098	0.0
6120	0.0
13837650	0.0
13853215	0.0
61149	0.0
12197	0.0
682	20.23
61346	0.0
7558	0.0
7556	0.0
454215	0.0
7557	0.0
278	37.3
7957	0.0
654	12.03
9461	9.23
6130	0.0
7555	0.0
11727	29.43
1114	3.24
14441700	0.0
8960	52.04
6083	0.0
454209	0.0
56442	0.0
6101	26.02
6097	0.0
175	17.07
4449912	0.0
6102	23.79
9016	0.0
7559	17.07
2018165	0.0
7733	9.23
3644	20.23
6156	0.0
512	17.07
171	37.3
9646	0.0
9254	0.0
7734	26.3
9411	26.3
13835550	52.04
6135	43.14
13837190	18.46
10325078	0.0
7732	9.23
6335	26.3
7738	13.14
14829	0.0
4481813	32.59
10765	0.0
71390	0.0
6149	0.0
13872989	20.23
9391	20.23
6146	20.23
3631	9.23
6121	0.0
61213	0.0
3441	0.0
11099	0.0
11806	0.0
6308	0.0
3168	9.23
6104	0.0
1004	20.23
66567	20.23
1039	25.3
7713	0.0
73583	0.0
6103	38.8
7566	23.79
9994	9.23
10709	9.23
6309	0.0
6088	0.0
13299573	0.0
13836674	0.0
13835316	0.0
6092	0.0
14694	0.0
6313	17.07
11230	3.24
7564	26.02
7616	26.3
2062437	0.0
7712	0.0
4483639	0.0
10437	0.0
30713	0.0
2282428	0.0
6188	0.0
4483638	0.0
7330	0.0
12442	0.0
7546	12.53
9251	0.0
18971812	0.0
71433	0.0
10113	0.0
11755	26.3
7790	27.69
107412	0.0
56144	0.0
56020	0.0
13835977	26.02
256	17.07
10054	0.0
1005	37.3
553742	0.0
558883	0.0
99596	0.0
6333	37.3
6321	17.07
23055	0.0
8525	26.3
6125	0.0
4514586	0.0
11526	35.53
6322	17.07
6320	20.23
13836549	0.0
6163	0.0
62826	0.0
6108	64.18
11729	25.3
14672	9.23
6118	0.0
7730	12.03
11756	52.370
8544	0.0
23255	26.02
6312	20.23
6338	43.14
12201	0.0
62597	20.23
8329688	0.0
13837797	9.23
10653	26.3
13835336	46.25
7782	26.3
21106015	20.23
7727	35.25
558928	0.0
6093	0.0
693	43.09
11110	0.0
6311	23.79
8896	0.0
5977	0.0
7728	29.46
2340753	0.0
6340	0.0
9253	0.0
7626	9.23
7604	0.0
7553	0.0
12209	0.0
394562	17.07
10325184	0.0
83734	0.0
6315	0.0
7627	26.3
7717	23.79
387	43.14
60524	32.59
11109	0.0
63631	3.24
6100	0.0
13866746	0.0
7010	0.0
14998	9.23
12446	0.0
7560	38.8
258	20.23
10053	0.0
124968	25.78
7716	26.02
7552	0.0
7737	9.23
10571	26.3
17619	9.23
11809	20.23
13836713	38.8
13836589	18.46
11833	9.23
13835235	40.46
7767	0.0
7030	35.53
13836021	32.26
10124	0.0
59573	18.46
10777	17.07
6341	37.3
10018	18.46
558020	25.78
12626	20.23
13836591	29.46
11996	9.23
6165	20.23
7714	0.0
13862665	26.3
6042	0.0
7630	43.370
259	37.3
7607	17.07
5894	32.67
21108550	0.0
7772	17.07
21111806	0.0
236	0.0
9614	0.0
62808	25.78
10492	26.3
7736	15.79
11055	0.0
10446	26.3
7463	26.3
7619	0.0
7016	17.07
13871721	20.23
7739	28.24
7706	26.3
7028	9.23
5730	0.0
6316	0.0
8903	25.78
24590970	0.0
21011	20.23
9325	0.0
415	52.04
55090	0.0
10947	20.23
10772140	37.3
28994	29.1
13839553	40.46
3973	9.23
71312	0.0
3951	37.3
592	57.53
8904	25.78
8899	41.130
60329	35.25
6406	26.3
2916	0.0
2293678	0.0
6119	0.0
29015	18.46
11680	26.3
7624	12.03
7615	43.14
7090	0.0
6122	0.0
7024	0.0
55188	9.23
11117	0.0
13835224	40.46
6176	17.07
62249	26.3
13803	27.69
10755	0.0
9377	0.0
15077490	0.0
7823	9.23
11125	26.3
6307	0.0
7787	0.0
6334	29.1
13255	9.23
109838	18.46
11849	9.23
173	43.09
66656	9.23
13837280	0.0
11845	0.0
11094	0.0
13854944	23.47
29000	20.23
8398	20.23
10791	17.07
8733	46.25
10786	0.0
8554	9.23
92731	0.0
7788	0.0
9233	25.3
1020	12.89
11992	26.3
6187	0.0
8158	3.24
11023	0.0
11731	50.6
11207996	40.130
1609	35.25
7721	38.8
1095	25.3
11121	0.0
10498	23.79
7065	26.3
7791	12.03
109705	0.0
7636	35.53
7621	17.07
11551	0.0
13835836	18.46
7711	0.0
8543	0.0
6040	20.23
10445	0.0
11351244	0.0
7770	23.79
23150	9.23
12161	36.92
13874867	43.370
31029	0.0
4444456	0.0
7769	26.02
18607	25.3
10001	37.3
7747	26.3
10788	17.07
23621376	41.46
5993	20.310
8560	0.0
555074	0.0
10437074	25.78
13861343	43.14
7705	29.46
8141	17.07
10512	0.0
11180	20.23
7701	37.3
62589	12.03
7686	12.03
