Compound Id	XLogP
61487	2.786
10797	1.277
26325086	1.178
7478	1.258
11799	1.532
13839199	1.897
13835459	-0.772
11793	1.928
10534	2.768
9326	1.792
63863	1.262
659	-0.718
7459	1.717
10787	1.608
12228	2.591
18688	1.411
10795	4.709
55130	1.946
11086	2.96
11841	2.176
12012	1.924
4489	-0.228
48024	-0.533
11024	1.928
512621	2.767
66655	3.61
21106032	2.456
6330	-0.555
11035	4.831
13439	5.413
7021	-0.65
7018	-0.406
120464	2.806
11864	3.757
4444608	1.85
10948	-0.39
11761	2.621
12229	0.639
24099	-0.559
22453	1.779
12499	1.628
7833	4.526
7657	1.994
7013	2.379
13837281	3.026
5708	0.571
7703	-0.355
4512642	4.376
4516601	4.481
11244	-1.026
4516599	4.376
11846	1.991
7812	1.989
10652594	3.06
7766	3.232
844	-0.299
13816	-0.037
19953955	0.362
7776	2.801
1141	-0.878
11857	3.467
66021	0.485
10497	2.863
70715	1.323
21106520	1.512
66809	1.456
10452	3.42
10433	1.572
29107	-0.148
10265264	4.43
13874733	1.723
11911	2.811
7811	1.922
13836399	0.661
7676	3.103
7064	1.604
349	4.892
10488	0.577
4514549	1.05
11193	1.236
4512361	4.481
11739	2.297
8552	1.880
8908	3.983
28986	1.829
10526	3.463
17443	0.060
68832	0.484
21800	4.43
10179173	4.43
81815	0.381
29016	2.099
7003	1.329
59447	-0.312
13839109	0.474
13865426	0.710
7678	1.329
13842613	2.394
71430	0.494
7760	2.145
971	2.044
10420	2.055
11695	0.727
12643	1.079
7219	4.954
11784	1.496
7482	1.844
13838404	3.088
7679	0.920
15443	2.247
11434292	3.131
65936	-0.260
13835209	-0.492
7677	1.262
6342	2.576
15438	4.491
1348	0.13
11216	2.086
68328	3.968
4517338	0.944
11194	1.814
11819	2.388
13402	5.437
20843	0.998
55091	0.302
10487	2.64
15954	2.177
11045	1.844
11210	1.875
7521	4.708
7641	4.708
11543	1.966
13638	1.615
11752	0.133
7242	2.255
11843	2.16
7530	-0.294
15765	4.43
10101	-0.690
16791	3.787
11029	2.238
9633	4.464
28992	0.998
18717	1.792
6106	2.595
99440	2.425
7838	2.863
120621	0.593
9581	2.311
15413	1.953
7710	2.774
7536	2.201
7689	1.881
10710415	0.94
14751	4.491
7073	1.865
24533	0.859
7238	2.563
13835293	-0.158
13866593	-0.268
13875196	2.311
120489	0.52
10197150	-0.416
374462	-0.762
13839575	-0.36
8569	2.72
11600	1.554
5889	1.977
191367	2.101
6967	4.708
192642	0.256
1078	-0.71
23101	4.392
17558	5.4
55123	2.493
68179	4.042
733	-1.880
11042	2.009
21132380	2.22
9349	1.725
73412	2.794
235	3.080
7827	2.743
68156	-0.201
773	-0.109
17880	4.326
20119	0.491
70714	0.903
7225	0.748
7786	2.282
7224	2.777
13448	5.982
7673	3.441
10940	2.009
10939	1.213
13842993	2.214
29025	5.095
1664	0.370
7128	5.462
455420	3.077
11866	2.56
21105905	2.081
10772050	1.030
26765	0.532
7681	3.010
7837	2.558
553642	4.036
21106560	2.292
11830	3.432
7810	3.801
7815	3.370
13842001	0.2
21169510	1.774
11930	-0.366
10437135	0.448
7835	2.491
19956441	0.931
78	0.748
67991	3.22
455353	1.230
13875281	3.215
2039535	0.483
13837686	1.929
7240	2.258
123993	2.535
7849	5.461
7803	2.449
11783	1.834
13839441	-0.134
18219	1.821
83866	0.517
13875160	3.426
11865	4.032
11077	1.624
21106586	0.924
13835772	2.156
83850	0.517
7221	2.292
11699	1.085
7385	5.523
7391	2.986
7670	2.845
13860335	2.409
19231	-0.784
29005	2.624
7443	1.368
22191	1.053
7802	2.714
7389	4.266
7241	1.136
6179	3.229
7694	2.413
24972	1.495
62489	0.956
6286	0.99
7528	0.148
11660	5.277
62230	2.444
8568	2.729
7129	5.016
69371	3.423
10784857	3.672
21105871	2.367
13839082	2.367
63889	0.735
21109330	0.546
10937	1.835
7236	1.163
1577	-0.533
122090	4.75
8909	4.552
11716	2.413
12231	0.029
10384035	0.943
6270	1.9
156255	-0.404
7659	5.031
11409	5.277
6402	4.177
11919	3.544
7856	2.524
13257	0.962
21106036	2.601
13840690	3.883
7765	3.132
7538	2.770
71787	-0.465
441	3.432
2606	0.802
11795	0.583
6287	0.579
14692	5.298
7223	2.342
7685	2.219
123860	1.392
7672	2.978
9970	1.898
13857694	2.988
16159	2.272
7088	6.068
28969	2.784
12069	2.670
11265	1.491
13648	1.29
13876539	3.494
7533	2.794
7131	2.869
7434	2.855
13866817	2.988
6977	5.031
13854136	2.089
447	1.389
13837760	1.299
13835151	2.3
191	0.006
7234	2.367
71628	0.56
7132	2.931
11087	3.641
18801	0.157
13837988	2.988
10696	4.560
76894	4.476
12456	4.895
12445	1.010
69569	4.36
12809	5.664
7138	2.894
10236	5.031
13863618	2.124
4446445	2.988
3954	-0.545
55205	1.06
11021	2.732
14198	4.222
29026	3.129
5976	-1.629
13875258	3.764
9903	4.937
7183	5.785
21181	1.101
13839416	0.224
7851	3.060
18410	5.629
13865680	2.725
21112023	2.257
503239	0.068
4878	0.870
932	3.127
12010	4.001
63908	0.195
5830	3.189
13839308	3.191
14680	3.939
28682	-0.106
14169248	2.488
63310	-0.591
11671339	4.494
391428	4.181
122446	0.457
238	2.666
7239	3.374
11863	4.37
2041618	5.004
13851576	4.221
13854248	1.862
10437215	0.841
8070	2.989
370	3.018
455090	0.563
11632	1.287
14840	6.030
2656	2.595
78828	5.108
10422	1.382
20939	3.729
69914	4.494
9976	2.967
73479	1.48
924	2.606
6883	2.987
5979	3.882
577	-0.648
13658	1.992
21106366	3.345
7419	6.092
14299946	3.565
331	1.71
7448	5.846
7509	3.193
12632	3.283
61001	3.623
28982	2.936
11604	2.936
62534	4.589
62408	4.378
123207	1.073
75951	1.622
13837787	2.578
13839123	2.479
59483	2.832
18724	3.406
7850	4.601
13875432	1.929
8665	1.389
13839128	2.479
13875219	1.929
456015	1.256
55084	2.982
6974	2.267
8657	1.389
13849981	2.468
26824	5.532
72793	1.306
21106014	2.754
6296	1.982
14256731	-0.039
13860775	1.322
7140	2.989
13869339	1.862
13647	2.076
764	0.870
7800	3.339
8071	2.34
13835932	-2.552
7809	3.49
4449	-0.046
13839110	2.69
29029	4.001
21106525	2.869
7142	1.07
132	1.07
12220	3.858
20570	1.499
21106144	3.006
7190	2.989
8140	2.025
13869451	1.862
15461	6.637
76394	-0.013
7518	3.326
8520	5.532
8883	4.766
6079	2.129
2931	1.207
10536	3.881
25552	1.714
13848808	2.031
10181341	3.08
10328	2.467
15846	3.698
5596	1.232
4962	1.453
13869462	2.412
11871	2.998
10265270	5.228
222538	0.027
768	-0.34
2849146	0.127
8674	1.908
13869480	1.322
12635	6.233
65523	-0.050
6999	5.354
2441	2.127
7662	3.084
13856352	3.122
7506	3.591
6897	3.41
8186	3.254
15431	4.333
58234	2.734
21106146	3.217
15387	3.629
8574	3.696
1015	-0.134
26325090	1.152
13842573	2.267
9564	1.622
221226	0.618
8912	-0.760
7848	4.939
13875441	2.267
13863774	3.217
13871718	3.758
10179239	5.228
10227261	-0.91
776	2.45
906	5.938
21168813	3.254
4366810	2.162
7170	6.862
12821	1.181
13619	6.599
392	0.803
8097	5.506
299166	0.141
21106013	2.779
13869414	1.322
21111817	3.092
7511	3.762
24641	1.875
21106020	2.779
17131	2.747
10756	1.947
7984	-2.422
10404	6.661
13853953	2.779
12218	3.852
21105897	2.454
13862559	3.084
5593	1.693
123	1.484
11773	1.703
13846663	4.050
10451	5.7
7852	4.508
7872	3.867
13662	0.526
12637	4.33
376	0.575
6780	3.028
6794	3.452
21106018	2.041
72551	2.191
15427	3.691
13859497	1.486
11576	3.312
6635	4.452
21111781	2.214
11080	0.803
13835630	-2.064
105291	0.110
14846	3.908
13868640	3.664
21105859	1.332
11862	3.848
8910	5.690
14227	2.394
10437210	0.767
11589	3.558
64699	0.775
8098	3.065
589165	2.205
6781	2.239
12933	1.470
13853758	3.377
9893	3.753
6621	2.255
558878	2.701
8855	2.097
10980	2.467
206561	0.197
15855	1.756
13835126	2.394
5882	1.92
13864445	3.084
21170967	2.239
12478	1.181
21105870	3.808
13229	1.881
13849989	2.524
24535	2.433
18019	6.672
73390	0.373
6674	2.678
11591	1.684
67360	4.267
553578	2.701
10437335	0.550
14593	-1.139
10432	2.467
7745	-2.166
21159695	3.438
7891	6.802
10972	2.467
11557190	6.248
8183	1.92
12219	5.508
880	2.253
1446	0.536
2923	2.336
6775	1.914
12954	2.425
8576	4.198
21105848	1.469
68109	5.5
7882	4.265
120548	0.238
10181339	3.649
6788	6.261
13853943	2.511
11672	1.492
57726	2.379
10892	1.8
6898	2.977
1905	-0.269
21106470	1.806
6950	1.804
13860434	1.04
12972	4.105
21106148	2.239
10664	1.720
7890	7.168
71876	3.771
7176	1.391
15965	3.768
67653	4.310
13487	7.23
9088156	3.909
7871	4.421
68224	5.992
18	0.965
4511751	0.043
10181338	1.589
10756390	5.992
84971	-3.224
388391	-3.224
13871489	-0.75
11629	1.04
2241	1.938
21106519	4.007
11460	2.456
7189	1.335
8521	6.672
13876103	2.484
11510	2.701
14349	5.077
7211	2.570
2937774	0.62
11584	2.788
21105998	3.556
6736	6.261
4963	1.411
6789	4.979
6737	4.768
59482	4.322
81814	3.590
14021447	7.388
71	0.536
80863	1.485
955	1.720
7145	1.653
917	1.485
3350	0.536
10616	2.131
7172	2.57
10257	2.57
953	1.003
1151	-0.636
21106571	3.18
6827	6.366
11422	2.598
21106163	3.18
10025	1.144
13835344	1.854
15853	4.836
21106140	3.003
10801109	2.006
86394	-0.136
21106145	2.185
62310	2.812
13835706	0.340
7092	1.091
1448	2.465
8182	1.481
21106518	1.268
10437239	0.533
13848793	2.703
68676	2.546
16180	7.371
7600	2.483
13846959	1.653
6773	5.426
7340	4.113
13837329	2.334
21106581	2.185
16475	1.832
7146	0.107
185	-0.664
6828	7.292
11488212	0.845
6646	-3.224
10801842	1.957
16387	0.424
11586	2.241
62472	2.241
16388	1.481
21108576	1.268
6480	2.674
23083	3.307
10628694	1.043
7892	4.834
71437	4.006
5644	0.527
10909	6.584
10918	6.584
8935	2.52
4510206	1.049
7757	4.9
13846749	1.814
2298886	1.939
6550	1.432
8341	3.920
7208	1.270
11882	7.737
4611	4.218
13835351	5.426
8374	4.337
70682	4.986
13492	7.799
13677	6.830
6739	3.709
17347	2.153
7875	5.005
11777	2.701
7310	2.847
11465	2.879
2157	2.021
8150	2.682
7302	5.106
7202	3.137
7042	1.386
6035	1.588
11776	4.098
10908	6.584
10850	6.584
556589	2.486
7299	7.861
8577	5.646
21106900	0.891
17652	1.202
5915	1.375
10106	1.653
63518	4.891
17868	3.451
6706	1.933
10851	6.584
11588	2.667
79969	4.696
6675	2.878
71193	1.481
2206	0.433
13867714	2.738
4445317	4.103
