Compound Id	PetitjeanShapeIndex [topoShape]
692	0.0
6153	1.0
127983	0.0
291	N/A
21106179	1.0
16425	1.0
23208	1.0
6105	1.0
11148	0.0
274	1.0
6086	0.0
9256	0.5
923	1.0
937	N/A
6085	0.0
217	N/A
9484	1.0
22814	N/A
22408	N/A
9286	0.5
12577	0.5
6084	0.0
6128	1.0
9243	1.0
62827	1.0
6132	1.0
391	N/A
38403	0.667
1087	1.0
16641	1.0
7954	1.0
864	0.0
11153	1.0
748	0.0
6095	1.0
6094	1.0
518	N/A
16841	0.5
6148	1.0
2056044	0.667
6151	1.0
6087	0.0
9095782	0.5
4514529	N/A
10675065	0.667
21106169	0.5
172	1.0
763	0.0
7956	1.0
7577	0.5
6089	0.0
6111	0.0
29040	0.5
10606755	1.0
6098	1.0
6120	1.0
13837650	0.5
13853215	0.5
61149	0.667
12197	0.5
682	1.0
61346	1.0
7558	0.5
7556	0.5
454215	0.5
7557	0.5
278	1.0
7957	1.0
654	1.0
9461	0.667
6130	1.0
7555	0.5
11727	0.5
1114	1.0
14441700	0.5
8960	0.0
6083	0.0
454209	0.5
56442	0.5
6101	1.0
6097	1.0
175	1.0
4449912	0.5
6102	1.0
9016	0.5
7559	0.5
2018165	0.5
7733	1.0
3644	1.0
6156	1.0
512	0.5
171	1.0
9646	1.0
9254	0.5
7734	1.0
9411	0.667
13835550	0.5
6135	1.0
13837190	1.0
10325078	0.5
7732	1.0
6335	0.5
7738	0.0
14829	1.0
4481813	0.5
10765	0.5
71390	1.0
6149	1.0
13872989	0.5
9391	0.5
6146	1.0
3631	0.667
6121	1.0
61213	0.5
3441	0.5
11099	1.0
11806	1.0
6308	0.5
3168	1.0
6104	1.0
1004	0.5
66567	1.0
1039	1.0
7713	1.0
73583	0.5
6103	1.0
7566	0.5
9994	0.0
10709	1.0
6309	0.5
6088	0.0
13299573	1.0
13836674	0.5
13835316	1.0
6092	1.0
14694	0.5
6313	0.5
11230	0.5
7564	0.5
7616	1.0
2062437	0.5
7712	1.0
4483639	1.0
10437	0.5
30713	0.5
2282428	0.5
6188	0.5
4483638	1.0
7330	0.0
12442	0.5
7546	0.5
9251	0.5
18971812	0.5
71433	0.5
10113	0.5
11755	1.0
7790	0.0
107412	1.0
56144	1.0
56020	1.0
13835977	0.5
256	1.0
10054	1.0
1005	0.5
553742	0.5
558883	1.0
99596	0.5
6333	0.5
6321	0.5
23055	0.5
8525	1.0
6125	1.0
4514586	N/A
11526	1.0
6322	0.5
6320	0.5
13836549	0.25
6163	0.5
62826	1.0
6108	1.0
11729	0.5
14672	0.5
6118	1.0
7730	1.0
11756	1.0
8544	0.0
23255	0.5
6312	0.5
6338	0.5
12201	1.0
62597	1.0
8329688	0.5
13837797	1.0
10653	1.0
13835336	0.5
7782	0.667
21106015	0.5
7727	1.0
558928	0.5
6093	1.0
693	1.0
11110	0.667
6311	0.5
8896	0.0
5977	1.0
7728	1.0
2340753	0.5
6340	0.5
9253	0.5
7626	1.0
7604	1.0
7553	0.5
12209	0.667
394562	1.0
10325184	0.5
83734	0.5
6315	0.5
7627	1.0
7717	1.0
387	0.5
60524	0.5
11109	0.667
63631	0.5
6100	1.0
13866746	0.667
7010	1.0
14998	1.0
12446	1.0
7560	0.5
258	1.0
10053	1.0
124968	0.333
7716	1.0
7552	0.5
7737	0.0
10571	1.0
17619	1.0
11809	1.0
13836713	0.5
13836589	0.667
11833	0.667
13835235	0.5
7767	0.667
7030	0.5
13836021	1.0
10124	0.5
59573	1.0
10777	0.5
6341	0.5
10018	0.0
558020	0.333
12626	0.667
13836591	0.667
11996	1.0
6165	0.5
7714	1.0
13862665	0.667
6042	1.0
7630	1.0
259	1.0
7607	1.0
5894	0.5
21108550	0.667
7772	0.667
21111806	0.333
236	0.0
9614	0.333
62808	0.333
10492	0.667
7736	0.0
11055	1.0
10446	1.0
7463	0.667
7619	1.0
7016	1.0
13871721	1.0
7739	0.0
7706	0.667
7028	0.5
5730	1.0
6316	0.5
8903	0.0
24590970	0.5
21011	1.0
9325	0.333
415	1.0
55090	0.5
10947	1.0
10772140	0.5
28994	0.5
13839553	1.0
3973	1.0
71312	0.5
3951	0.5
592	0.5
8904	0.0
8899	0.0
60329	0.667
6406	1.0
2916	1.0
2293678	0.5
6119	1.0
29015	0.0
11680	0.667
7624	1.0
7615	1.0
7090	0.667
6122	1.0
7024	0.5
55188	1.0
11117	0.0
13835224	0.5
6176	0.5
62249	1.0
13803	1.0
10755	1.0
9377	1.0
15077490	0.5
7823	1.0
11125	1.0
6307	0.5
7787	0.0
6334	0.5
13255	1.0
109838	1.0
11849	1.0
173	1.0
66656	1.0
13837280	0.5
11845	1.0
11094	0.667
13854944	1.0
29000	1.0
8398	1.0
10791	1.0
8733	1.0
10786	1.0
8554	0.0
92731	1.0
7788	0.0
9233	1.0
1020	0.0
11992	0.667
6187	0.5
8158	1.0
11023	0.667
11731	0.5
11207996	0.667
1609	0.667
7721	1.0
1095	0.0
11121	1.0
10498	1.0
7065	0.667
7791	0.0
109705	0.5
7636	1.0
7621	1.0
11551	1.0
13835836	1.0
7711	1.0
8543	1.0
6040	0.667
10445	1.0
11351244	0.5
7770	0.667
23150	1.0
12161	1.0
13874867	0.667
31029	0.5
4444456	1.0
7769	0.667
18607	1.0
10001	1.0
7747	0.667
10788	1.0
23621376	0.667
5993	0.5
8560	1.0
555074	1.0
10437074	0.333
13861343	0.5
7705	0.667
8141	0.5
10512	0.667
11180	0.5
7701	0.667
62589	0.333
7686	0.333
5439	1.0
11056	1.0
7026	0.5
66675	0.5
2005981	1.0
7622	1.0
7684	0.333
8900	0.0
11025	0.667
7475	1.0
59674	0.667
21171407	0.5
11095	0.667
13837537	0.0
10614293	1.0
6326	0.5
56117	1.0
7466	0.667
29036	1.0
7761	1.0
21168808	0.5
11104	0.667
16778	1.0
13835376	0.75
127750	0.75
10790	1.0
2018460	1.0
68503	1.0
13863629	1.0
7674	0.333
1143	1.0
1108	0.333
7029	0.5
29001	1.0
11788	0.333
11732	1.0
7688	0.333
7515	1.0
11794	0.667
13836520	1.0
11678	0.667
2038738	0.667
8562	1.0
29012	1.0
21106535	1.0
13875283	0.667
13867413	0.667
13837702	0.667
5949	1.0
71089	0.333
7551	0.5
11706	1.0
66996	0.333
61487	0.5
10797	1.0
26325086	0.333
7478	1.0
11799	0.667
13839199	0.333
13835459	0.0
11793	0.667
10534	0.0
9326	0.333
63863	1.0
659	1.0
7459	0.667
10787	1.0
12228	0.333
18688	0.667
10795	1.0
55130	1.0
11086	0.333
11841	1.0
12012	0.75
4489	0.667
48024	0.333
11024	0.667
512621	1.0
66655	0.667
21106032	0.667
6330	0.5
11035	1.0
13439	1.0
7021	1.0
7018	1.0
120464	1.0
11864	0.75
4444608	1.0
10948	1.0
11761	1.0
12229	0.333
24099	0.667
22453	1.0
12499	0.25
7833	0.75
7657	1.0
7013	1.0
13837281	0.5
5708	1.0
7703	0.667
4512642	0.75
4516601	0.75
11244	0.5
4516599	0.75
11846	1.0
7812	1.0
10652594	0.2
7766	0.667
844	1.0
13816	1.0
19953955	1.0
7776	0.667
1141	0.333
11857	0.0
66021	0.333
10497	1.0
70715	0.333
21106520	0.333
66809	0.667
10452	0.333
10433	1.0
29107	0.5
10265264	0.667
13874733	0.333
11911	0.5
7811	1.0
13836399	0.75
7676	0.333
7064	0.667
349	0.75
10488	0.333
4514549	N/A
11193	1.0
4512361	0.75
11739	0.667
8552	1.0
8908	0.0
28986	1.0
10526	1.0
17443	0.667
68832	0.667
21800	0.333
10179173	0.667
81815	1.0
29016	1.0
7003	1.0
59447	0.333
13839109	0.75
13865426	1.0
7678	0.333
13842613	0.333
71430	1.0
7760	1.0
971	0.333
10420	0.75
11695	1.0
12643	0.333
7219	0.667
11784	0.333
7482	0.75
13838404	1.0
7679	0.333
15443	0.667
11434292	1.0
65936	0.667
13835209	0.667
7677	0.333
6342	0.5
15438	0.667
1348	0.5
11216	0.667
68328	1.0
4517338	1.0
11194	1.0
11819	0.667
13402	1.0
20843	0.333
55091	0.5
10487	0.333
15954	0.667
11045	0.75
11210	1.0
7521	0.667
7641	0.333
11543	0.667
13638	0.0
11752	1.0
7242	0.667
11843	0.75
7530	0.667
15765	0.333
10101	1.0
16791	0.75
11029	1.0
9633	1.0
28992	0.667
18717	1.0
6106	1.0
99440	1.0
7838	0.75
120621	1.0
9581	0.667
15413	1.0
7710	1.0
7536	0.75
7689	0.333
10710415	1.0
14751	0.667
7073	1.0
24533	0.667
7238	0.667
13835293	1.0
13866593	1.0
13875196	1.0
120489	0.667
10197150	0.667
374462	0.5
13839575	1.0
8569	1.0
11600	0.667
5889	0.333
191367	1.0
6967	0.333
192642	1.0
1078	0.667
23101	1.0
17558	0.75
55123	1.0
68179	1.0
733	1.0
11042	0.667
21132380	0.333
9349	0.667
73412	0.667
235	0.667
7827	1.0
68156	1.0
773	0.0
17880	1.0
20119	0.667
70714	0.333
7225	0.667
7786	0.667
7224	0.667
13448	0.667
7673	0.333
10940	0.333
10939	0.333
13842993	0.5
29025	1.0
1664	0.333
7128	0.667
455420	1.0
11866	0.75
21105905	0.667
10772050	0.5
26765	0.667
7681	0.333
7837	0.75
553642	0.0
21106560	0.667
11830	0.667
7810	1.0
7815	1.0
13842001	0.667
21169510	0.667
11930	1.0
10437135	1.0
7835	0.75
19956441	0.75
78	0.667
67991	1.0
455353	1.0
13875281	0.333
2039535	1.0
13837686	0.333
7240	0.667
123993	0.667
7849	1.0
7803	0.75
11783	0.333
13839441	1.0
18219	1.0
83866	0.333
13875160	0.667
11865	0.75
11077	0.333
21106586	1.0
13835772	0.333
83850	0.333
7221	0.667
11699	0.75
7385	1.0
7391	1.0
7670	1.0
13860335	0.667
19231	0.667
29005	1.0
7443	1.0
22191	1.0
7802	0.75
7389	1.0
7241	0.667
6179	0.5
7694	1.0
24972	0.667
62489	0.667
6286	1.0
7528	0.667
11660	1.0
62230	0.667
8568	1.0
7129	0.667
69371	1.0
10784857	0.167
21105871	0.333
13839082	0.667
63889	0.667
21109330	0.5
10937	0.333
7236	0.667
1577	0.5
122090	1.0
8909	0.0
11716	1.0
12231	0.333
10384035	1.0
6270	1.0
156255	0.5
7659	0.333
11409	0.667
6402	0.333
11919	1.0
7856	1.0
13257	0.667
21106036	1.0
13840690	0.667
7765	0.667
7538	1.0
71787	0.667
441	1.0
2606	0.5
11795	0.667
6287	1.0
14692	0.8
7223	0.667
7685	0.333
123860	0.8
7672	0.333
9970	0.333
13857694	0.333
16159	1.0
7088	0.667
28969	1.0
12069	0.75
11265	1.0
13648	0.667
13876539	1.0
7533	0.667
7131	0.667
7434	1.0
13866817	0.667
6977	0.667
13854136	0.333
447	0.667
13837760	0.333
13835151	0.667
191	0.75
7234	0.667
71628	1.0
7132	0.667
11087	0.333
18801	0.75
13837988	0.333
10696	0.5
76894	1.0
12456	0.8
12445	1.0
69569	1.0
12809	0.8
7138	0.667
10236	0.333
13863618	0.667
4446445	1.0
3954	1.0
55205	1.0
11021	1.0
14198	0.333
29026	1.0
5976	0.333
13875258	0.667
9903	0.333
7183	1.0
21181	1.0
13839416	0.75
7851	1.0
18410	0.75
13865680	0.667
21112023	1.0
503239	0.667
4878	0.333
932	1.0
12010	1.0
63908	1.0
5830	1.0
13839308	1.0
14680	0.75
28682	0.667
14169248	1.0
63310	0.667
11671339	0.5
391428	0.667
122446	1.0
238	0.667
7239	0.667
11863	0.75
2041618	1.0
13851576	0.667
13854248	0.333
10437215	0.75
8070	0.667
370	1.0
455090	0.667
11632	1.0
14840	0.8
2656	0.333
78828	1.0
10422	0.75
20939	1.0
69914	0.5
9976	1.0
73479	1.0
924	0.667
6883	1.0
5979	0.5
577	0.333
13658	0.667
21106366	1.0
7419	0.75
14299946	0.5
331	0.667
7448	0.75
7509	0.8
12632	1.0
61001	1.0
28982	1.0
11604	0.667
62534	0.75
62408	1.0
123207	0.667
75951	0.75
13837787	0.667
13839123	0.667
59483	0.333
18724	0.667
7850	1.0
13875432	0.333
8665	1.0
13839128	0.667
13875219	0.667
456015	0.667
55084	0.8
6974	0.333
8657	0.667
13849981	0.75
26824	1.0
72793	0.75
21106014	0.667
6296	0.333
14256731	1.0
13860775	0.667
7140	0.667
13869339	0.667
13647	0.667
764	0.667
7800	0.8
8071	0.667
13835932	0.667
7809	1.0
4449	0.333
13839110	0.333
29029	0.8
21106525	1.0
7142	0.667
132	1.0
12220	1.0
20570	0.667
21106144	0.667
7190	1.0
8140	0.667
13869451	0.333
15461	1.0
76394	1.0
7518	0.667
8520	1.0
8883	0.333
6079	1.0
2931	1.0
10536	1.0
25552	0.667
13848808	1.0
10181341	1.0
10328	0.333
15846	0.8
5596	0.333
4962	0.667
13869462	0.667
11871	0.75
10265270	0.667
222538	1.0
768	0.333
2849146	1.0
8674	1.0
13869480	0.667
12635	1.0
65523	1.0
6999	0.667
2441	1.0
7662	0.333
13856352	1.0
7506	1.0
6897	0.75
8186	1.0
15431	1.0
58234	1.0
21106146	0.667
15387	0.8
8574	0.8
1015	0.333
26325090	0.8
13842573	0.667
9564	0.667
221226	0.75
8912	0.0
7848	1.0
13875441	0.333
13863774	1.0
13871718	0.75
10179239	0.667
10227261	0.833
776	0.333
906	0.667
21168813	0.667
4366810	1.0
7170	1.0
12821	0.667
13619	1.0
392	0.667
8097	0.667
299166	1.0
21106013	0.667
13869414	1.0
21111817	0.667
7511	1.0
24641	1.0
21106020	1.0
17131	1.0
10756	1.0
7984	1.0
