Compound Id	ChiPath [VP-0]
13839199	4.257
13835459	3.828
11793	5.146
10534	4.171
9326	4.135
63863	8.303
659	3.275
7459	5.146
10787	5.309
12228	N/A
18688	6.524
10795	6.732
55130	6.308
11086	4.906
11841	6.977
12012	5.222
4489	4.126
48024	4.776
11024	5.146
512621	N/A
66655	9.693
21106032	5.096
6330	3.193
11035	6.406
13439	7.707
7021	3.908
7018	4.020
120464	6.048
11864	5.613
4444608	4.555
10948	3.886
11761	6.379
12229	3.594
24099	3.853
22453	6.308
12499	5.337
7833	5.820
7657	6.308
7013	5.393
13837281	5.536
5708	4.717
7703	5.146
4512642	5.983
4516601	5.983
11244	3.933
4516599	5.983
11846	4.776
7812	4.983
10652594	N/A
7766	5.792
844	3.418
13816	4.115
19953955	4.477
7776	5.170
1141	3.971
11857	4.690
66021	4.260
10497	5.657
70715	5.090
21106520	4.257
66809	4.665
10452	11.725
10433	6.308
29107	4.355
10265264	5.983
13874733	4.257
11911	5.743
7811	5.113
13836399	5.391
7676	4.521
7064	5.347
349	6.243
10488	4.145
4514549	2.739
11193	5.563
4512361	5.983
11739	6.069
8552	5.184
8908	4.950
28986	5.737
10526	5.669
17443	4.535
68832	5.231
21800	5.983
10179173	5.983
81815	3.534
29016	6.308
7003	5.515
59447	4.699
13839109	5.846
13865426	5.639
7678	4.560
13842613	5.179
71430	5.794
7760	5.737
971	3.834
10420	6.145
11695	5.231
12643	4.301
7219	5.094
11784	4.391
7482	6.145
13838404	6.469
7679	4.444
15443	5.098
11434292	N/A
65936	4.074
13835209	3.723
7677	4.690
6342	5.690
15438	5.820
1348	3.626
11216	6.069
68328	9.977
4517338	4.619
11194	6.232
11819	6.016
13402	7.328
20843	5.049
55091	5.387
10487	5.247
15954	6.016
11045	6.145
11210	6.069
7521	5.309
7641	5.309
11543	6.016
13638	5.450
11752	4.115
7242	4.964
11843	6.145
7530	5.723
15765	5.983
10101	5.304
16791	5.828
11029	5.853
9633	6.328
28992	5.049
18717	6.232
6106	5.778
99440	6.232
7838	5.521
120621	4.986
9581	5.096
15413	8.846
7710	6.049
7536	6.145
7689	4.391
10710415	5.587
14751	5.820
7073	7.178
24533	4.834
7238	4.795
13835293	4.809
13866593	4.690
13875196	5.096
120489	4.535
10197150	3.866
374462	3.724
13839575	6.053
8569	6.651
11600	4.549
5889	3.964
191367	4.944
6967	5.309
192642	4.986
1078	4.125
23101	13.316
17558	7.113
55123	5.929
68179	5.891
733	3.333
11042	5.179
21132380	5.179
9349	4.265
73412	5.926
235	4.372
7827	6.053
68156	4.560
773	2.679
17880	6.320
20119	4.822
70714	5.090
7225	4.204
7786	5.534
7224	4.334
13448	8.414
7673	5.351
10940	5.179
10939	5.314
13842993	6.849
29025	6.527
1664	3.834
7128	5.964
455420	6.651
11866	5.483
21105905	4.964
10772050	5.257
26765	4.822
7681	4.728
7837	5.690
553642	5.397
21106560	4.964
11830	6.364
7810	6.499
7815	5.877
13842001	5.723
21169510	6.925
11930	5.803
10437135	5.242
7835	5.820
19956441	5.184
78	4.204
67991	9.676
455353	6.098
13875281	5.443
2039535	5.242
13837686	4.891
7240	4.541
123993	6.723
7849	6.950
7803	5.891
11783	5.221
13839441	4.430
18219	5.180
83866	4.878
13875160	5.443
11865	6.377
11077	5.179
21106586	6.509
13835772	4.757
83850	4.878
7221	4.541
11699	5.938
7385	5.801
7391	5.502
7670	7.477
13860335	4.541
19231	4.669
29005	6.852
7443	4.612
22191	5.938
7802	6.444
7389	4.742
7241	4.204
6179	6.747
7694	6.852
24972	5.972
62489	4.665
6286	7.017
7528	5.569
11660	6.017
62230	6.776
8568	6.852
7129	5.594
69371	10.225
10784857	N/A
21105871	4.757
13839082	4.757
63889	4.650
21109330	5.894
10937	5.179
7236	4.930
1577	2.996
122090	13.601
8909	5.657
11716	6.852
12231	4.665
10384035	5.242
6270	9.961
156255	4.431
7659	6.232
11409	6.017
6402	7.146
11919	8.328
7856	6.743
13257	4.517
21106036	5.103
13840690	5.228
7765	6.756
7538	6.852
71787	4.601
441	6.228
2606	5.373
11795	4.607
6287	7.425
14692	6.812
7223	4.671
7685	5.221
123860	7.059
7672	6.077
9970	5.267
13857694	5.577
16159	5.893
7088	6.887
28969	5.703
12069	5.651
11265	6.457
13648	5.165
13876539	5.079
7533	6.723
7131	5.411
7434	6.560
