Compound Id	WienerNumbers [WPATH]
692	1.0
6153	16.0
127983	1.0
291	0.0
21106179	9.0
16425	36.0
23208	4.0
6105	4.0
11148	1.0
274	4.0
6086	1.0
9256	42.0
923	4.0
937	0.0
6085	1.0
217	0.0
9484	16.0
22814	0.0
22408	0.0
9286	29.0
12577	28.0
6084	1.0
6128	9.0
9243	4.0
62827	62.0
6132	9.0
391	0.0
38403	123.0
1087	4.0
16641	4.0
7954	4.0
864	1.0
11153	4.0
748	1.0
6095	4.0
6094	4.0
518	0.0
16841	42.0
6148	16.0
2056044	188.0
6151	16.0
6087	1.0
9095782	58.0
4514529	0.0
10675065	96.0
21106169	28.0
172	4.0
763	1.0
7956	4.0
7577	10.0
6089	1.0
6111	3.0
29040	42.0
10606755	108.0
6098	4.0
6120	9.0
13837650	10.0
13853215	58.0
61149	178.0
12197	10.0
682	4.0
61346	88.0
7558	10.0
7556	10.0
454215	42.0
7557	10.0
278	4.0
7957	9.0
654	4.0
9461	71.0
6130	9.0
7555	10.0
11727	10.0
1114	9.0
14441700	28.0
8960	1.0
6083	1.0
454209	28.0
56442	10.0
6101	4.0
6097	4.0
175	9.0
4449912	10.0
6102	4.0
9016	42.0
7559	10.0
2018165	18.0
7733	20.0
3644	9.0
6156	16.0
512	10.0
171	9.0
9646	16.0
9254	42.0
7734	20.0
9411	92.0
13835550	10.0
6135	9.0
13837190	20.0
10325078	58.0
7732	20.0
6335	18.0
7738	15.0
14829	16.0
4481813	10.0
10765	18.0
71390	9.0
6149	16.0
13872989	10.0
9391	42.0
6146	16.0
3631	123.0
6121	9.0
61213	28.0
3441	42.0
11099	20.0
11806	20.0
6308	18.0
3168	20.0
6104	4.0
1004	10.0
66567	136.0
1039	4.0
7713	20.0
73583	58.0
6103	4.0
7566	10.0
9994	8.0
10709	20.0
6309	18.0
6088	1.0
13299573	88.0
13836674	10.0
13835316	9.0
6092	4.0
14694	28.0
6313	18.0
11230	18.0
7564	10.0
7616	32.0
2062437	42.0
7712	20.0
4483639	20.0
10437	10.0
30713	29.0
2282428	42.0
6188	58.0
4483638	20.0
7330	15.0
12442	10.0
7546	17.0
9251	42.0
18971812	58.0
71433	28.0
10113	18.0
11755	32.0
7790	27.0
107412	62.0
56144	108.0
56020	20.0
13835977	10.0
256	20.0
10054	16.0
1005	18.0
553742	10.0
558883	20.0
99596	42.0
6333	18.0
